K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.26,243,0.26,0.07,0.25,0.32,0.82,0.5,ATL,0.36,126,0.3,,,0.36,,,,,Matt Olson,
0.08,224,0.29,0.04,0.18,0.31,0.78,0.47,ATL,0.33,110,0.28,,,0.28,,,,,Ozzie Albies,
0.25,212,0.2,0.17,0.11,0.34,0.65,0.32,PHI,0.3,88,0.26,,,0.39,,,,,Bryce Harper,
0.16,206,0.23,0.1,0.13,0.32,0.68,0.36,STL,0.31,93,0.25,,,0.35,,,,,JJ Wetherholt,
0.29,203,0.27,0.14,0.26,0.38,0.92,0.54,PHI,0.4,155,0.34,,,0.37,,,,,Kyle Schwarber,
0.23,191,0.29,0.11,0.18,0.37,0.84,0.47,PIT,0.37,136,0.36,,,0.35,,,,,Bryan Reynolds,
0.29,189,0.18,0.08,0.11,0.25,0.54,0.29,SFG,0.24,51,0.24,,,0.32,,,,,Rafael Devers,
0.27,189,0.31,0.12,0.24,0.41,0.96,0.54,CHC,0.42,167,0.4,,,0.36,,,,,Pete Crow-Armstrong,
0.18,187,0.28,0.04,0.2,0.32,0.79,0.48,ATL,0.34,118,0.3,,,0.34,,,,,Michael Harris II,
0.16,186,0.24,0.18,0.14,0.4,0.79,0.39,STL,0.36,125,0.27,,,0.33,,,,,Iván Herrera,
0.2,184,0.25,0.08,0.16,0.32,0.72,0.4,ATL,0.32,101,0.28,,,0.37,,,,,Drake Baldwin,
0.21,184,0.22,0.08,0.2,0.29,0.71,0.42,BAL,0.31,97,0.25,,,0.32,,,,,Gunnar Henderson,
0.18,182,0.22,0.1,0.1,0.31,0.62,0.32,PHI,0.28,77,0.25,,,0.3,,,,,Trea Turner,
0.24,182,0.28,0.08,0.28,0.35,0.91,0.56,LAD,0.38,146,0.32,,,0.41,,,,,Shohei Ohtani,
0.28,181,0.24,0.07,0.23,0.32,0.78,0.47,NYY,0.34,117,0.29,,,0.37,,,,,Ben Rice,
0.11,180,0.25,0.05,0.14,0.29,0.69,0.4,ATL,0.3,88,0.26,,,0.31,,,,,Mauricio Dubón,
0.2,180,0.34,0.12,0.26,0.43,1.03,0.6,ARI,0.44,182,0.42,,,0.35,,,,,Corbin Carroll,
0.32,179,0.25,0.11,0.23,0.34,0.83,0.49,WSN,0.36,127,0.34,,,0.42,,,,,James Wood,
0.2,175,0.26,0.09,0.12,0.33,0.71,0.38,LAD,0.32,99,0.31,,,0.37,,,,,Freddie Freeman,
0.2,174,0.23,0.06,0.08,0.29,0.61,0.32,SEA,0.28,71,0.28,,,0.32,,,,,Cole Young,
0.16,172,0.28,0.16,0.32,0.39,0.98,0.59,CHW,0.42,166,0.26,,,0.39,,,,,Miguel Vargas,
0.17,172,0.22,0.05,0.09,0.25,0.56,0.31,STL,0.25,53,0.24,,,0.38,,,,,Alec Burleson,
0.12,170,0.26,0.13,0.09,0.35,0.7,0.34,ARI,0.31,97,0.29,,,0.32,,,,,Geraldo Perdomo,
0.17,169,0.29,0.05,0.1,0.34,0.73,0.4,SEA,0.32,105,0.34,,,0.32,,,,,Josh Naylor,
0.36,169,0.21,0.07,0.12,0.26,0.6,0.34,PIT,0.26,64,0.3,,,0.32,,,,,Brandon Lowe,
0.25,169,0.25,0.08,0.18,0.31,0.74,0.43,BAL,0.32,102,0.3,,,0.39,,,,,Pete Alonso,
0.22,169,0.24,0.11,0.18,0.34,0.77,0.42,CHC,0.34,115,0.28,,,0.33,,,,,Michael Busch,
0.31,167,0.25,0.05,0.2,0.29,0.74,0.45,WSN,0.32,103,0.33,,,0.34,,,,,CJ Abrams,
0.16,167,0.31,0.12,0.19,0.4,0.9,0.5,BOS,0.39,150,0.35,,,0.35,,,,,Wilyer Abreu,
0.21,165,0.24,0.19,0.14,0.38,0.76,0.38,BAL,0.34,114,0.28,,,0.34,,,,,Taylor Ward,
0.11,164,0.26,0.04,0.12,0.29,0.67,0.38,TOR,0.3,86,0.27,,,0.27,,,,,Ernie Clement,
0.29,164,0.26,0.07,0.24,0.34,0.84,0.5,CHW,0.37,132,0.32,,,0.3,,,,,Colson Montgomery,
0.2,163,0.24,0.1,0.1,0.32,0.68,0.35,DET,0.3,91,0.29,,,0.35,,,,,Kevin McGonigle,
0.19,162,0.27,0.06,0.15,0.32,0.74,0.42,MIN,0.32,104,0.31,,,0.33,,,,,Josh Bell,
0.17,162,0.29,0.11,0.25,0.37,0.9,0.54,LAD,0.39,149,0.31,,,0.34,,,,,Andy Pages,
0.24,160,0.21,0.07,0.1,0.28,0.59,0.31,MIN,0.27,66,0.26,,,0.27,,,,,Brooks Lee,
0.32,160,0.24,0.11,0.11,0.33,0.68,0.34,ATL,0.31,93,0.36,,,0.3,,,,,Austin Riley,
0.08,160,0.3,0.02,0.11,0.33,0.74,0.41,SFG,0.32,104,0.32,,,0.31,,,,,Luis Arraez,
0.17,159,0.27,0.07,0.06,0.33,0.65,0.32,PIT,0.29,84,0.32,,,0.32,,,,,Nick Gonzales,
0.15,158,0.26,0.16,0.14,0.4,0.81,0.4,MIN,0.36,132,0.3,,,0.31,,,,,Austin Martin,
0.26,157,0.22,0.06,0.14,0.27,0.63,0.36,DET,0.28,74,0.27,,,0.36,,,,,Dillon Dingler,
