Name,Tm,PA,AB,AVG,OBP,SLG,BB%,K%,wOBA,xwOBA,wRC+,ISO,BABIP,Chase%,ZCon%,OCon%,SwStr%,Barrel%,HardHit%,Launch Angle
Fernando Tatis Jr.,SDP,461.0,412.0,0.277,0.339,0.4,0.0803,0.1844,0.324,0.374,100.0,0.123,0.322,,,,,,,
Alex Bregman,CHC,460.0,407.0,0.253,0.33,0.423,0.0935,0.1609,0.332,0.315,106.0,0.17,0.273,,,,,,,
Sal Stewart,CIN,450.0,401.0,0.259,0.322,0.479,0.0844,0.2133,0.346,0.35,115.0,0.22,0.279,,,,,,,
Nico Hoerner,CHC,439.0,394.0,0.259,0.319,0.348,0.0729,0.0843,0.298,0.324,83.0,0.089,0.27,,,,,,,
Yordan Alvarez,HOU,438.0,350.0,0.337,0.466,0.649,0.1826,0.1781,0.462,0.457,193.0,0.312,0.366,,,,,,,
Otto Lopez,MIA,435.0,401.0,0.294,0.338,0.426,0.0575,0.1287,0.334,0.325,107.0,0.132,0.324,,,,,,,
Manny Machado,SDP,435.0,377.0,0.21,0.304,0.398,0.1195,0.2207,0.311,0.33,91.0,0.188,0.223,,,,,,,
Junior Caminero,TBR,433.0,388.0,0.278,0.349,0.544,0.0947,0.1963,0.382,0.364,139.0,0.266,0.286,,,,,,,
Xavier Edwards,MIA,432.0,375.0,0.293,0.372,0.376,0.1157,0.1273,0.333,0.313,106.0,0.083,0.334,,,,,,,
Michael Busch,CHC,429.0,363.0,0.242,0.354,0.386,0.1305,0.2331,0.333,0.332,106.0,0.144,0.303,,,,,,,
Bo Bichette,NYM,425.0,393.0,0.262,0.306,0.374,0.0588,0.1859,0.3,0.322,84.0,0.112,0.303,,,,,,,
Ian Happ,CHC,424.0,359.0,0.242,0.356,0.468,0.1415,0.2901,0.36,0.311,125.0,0.226,0.312,,,,,,,
Isaac Paredes,HOU,424.0,356.0,0.247,0.358,0.421,0.1179,0.125,0.348,0.324,116.0,0.174,0.247,,,,,,,
Zach Neto,LAA,423.0,377.0,0.223,0.305,0.419,0.0875,0.3215,0.32,0.306,97.0,0.196,0.298,,,,,,,
Christian Walker,HOU,421.0,387.0,0.23,0.29,0.429,0.0641,0.247,0.314,0.302,94.0,0.199,0.264,,,,,,,
Iván Herrera,STL,419.0,362.0,0.246,0.339,0.376,0.0764,0.1933,0.321,0.331,98.0,0.13,0.29,,,,,,,
Yandy Díaz,TBR,419.0,373.0,0.308,0.377,0.461,0.0835,0.148,0.368,0.355,130.0,0.153,0.339,,,,,,,
Kevin McGonigle,DET,419.0,354.0,0.294,0.401,0.455,0.148,0.1146,0.379,0.353,137.0,0.161,0.314,,,,,,,
Gunnar Henderson,BAL,418.0,368.0,0.22,0.309,0.386,0.1005,0.2201,0.307,0.316,89.0,0.166,0.254,,,,,,,
Jordan Walker,STL,417.0,386.0,0.285,0.331,0.482,0.0576,0.259,0.353,0.354,120.0,0.197,0.35,,,,,,,
Daylen Lile,WSN,417.0,384.0,0.26,0.312,0.471,0.0647,0.1751,0.338,0.324,110.0,0.211,0.279,,,,,,,
Pete Crow-Armstrong,CHC,415.0,358.0,0.268,0.36,0.575,0.1157,0.253,0.396,0.364,149.0,0.307,0.301,,,,,,,
Jonathan Aranda,TBR,414.0,360.0,0.294,0.374,0.469,0.1039,0.2126,0.368,0.349,130.0,0.175,0.347,,,,,,,
Pete Alonso,BAL,414.0,353.0,0.275,0.374,0.527,0.1232,0.2415,0.391,0.39,145.0,0.252,0.315,,,,,,,
Miguel Vargas,CHW,411.0,347.0,0.236,0.345,0.45,0.129,0.1825,0.349,0.391,117.0,0.214,0.251,,,,,,,
Ceddanne Rafaela,BOS,410.0,386.0,0.285,0.319,0.43,0.0341,0.1878,0.328,0.283,103.0,0.145,0.33,,,,,,,
Randy Arozarena,SEA,410.0,350.0,0.263,0.368,0.443,0.1024,0.2268,0.361,0.347,125.0,0.18,0.32,,,,,,,
