game_date,home_away,team,opp,team_runs,opp_runs,result
2026-07-30,home,TBR,TEX,3,2,W
2026-07-30,away,TEX,TBR,2,3,L
2026-07-30,home,MIN,KCR,4,3,W
2026-07-30,away,KCR,MIN,3,4,L
2026-07-30,home,CHW,NYY,2,1,W
2026-07-30,away,NYY,CHW,1,2,L
2026-07-30,home,STL,CHC,2,4,L
2026-07-30,away,CHC,STL,4,2,W
2026-07-30,home,CIN,PIT,3,2,W
2026-07-30,away,PIT,CIN,2,3,L
2026-07-30,home,NYM,MIA,4,2,W
2026-07-30,away,MIA,NYM,2,4,L
2026-07-30,home,ATL,WSN,5,4,W
2026-07-30,away,WSN,ATL,4,5,L
2026-07-30,home,ATH,BOS,4,5,L
2026-07-30,away,BOS,ATH,5,4,W
2026-07-30,home,SDP,SFG,1,4,L
2026-07-30,away,SFG,SDP,4,1,W
2026-07-30,home,LAD,SEA,6,2,W
2026-07-30,away,SEA,LAD,2,6,L
2026-07-31,home,CHC,NYY,0,2,L
2026-07-31,away,NYY,CHC,2,0,W
2026-07-31,home,CIN,PIT,8,7,W
2026-07-31,away,PIT,CIN,7,8,L
2026-07-31,home,BAL,PHI,6,4,W
2026-07-31,away,PHI,BAL,4,6,L
2026-07-31,home,TOR,STL,3,1,W
2026-07-31,away,STL,TOR,1,3,L
2026-07-31,home,CLE,ARI,1,4,L
2026-07-31,away,ARI,CLE,4,1,W
2026-07-31,home,TBR,CHW,1,6,L
2026-07-31,away,CHW,TBR,6,1,W
2026-07-31,home,NYM,MIA,2,5,L
2026-07-31,away,MIA,NYM,5,2,W
2026-07-31,home,ATL,WSN,6,2,W
2026-07-31,away,WSN,ATL,2,6,L
2026-07-31,home,HOU,TEX,11,2,W
2026-07-31,away,TEX,HOU,2,11,L
2026-07-31,home,COL,KCR,3,1,W
2026-07-31,away,KCR,COL,1,3,L
2026-07-31,home,LAA,MIL,2,6,L
2026-07-31,away,MIL,LAA,6,2,W
2026-07-31,home,ATH,DET,1,13,L
2026-07-31,away,DET,ATH,13,1,W
2026-07-31,home,SDP,SFG,7,0,W
2026-07-31,away,SFG,SDP,0,7,L
2026-07-31,home,LAD,BOS,4,9,L
2026-07-31,away,BOS,LAD,9,4,W
2026-07-31,home,SEA,MIN,3,5,L
2026-07-31,away,MIN,SEA,5,3,W
2026-08-01,home,TOR,STL,5,1,W
2026-08-01,away,STL,TOR,1,5,L
2026-08-01,home,SEA,MIN,4,3,W
2026-08-01,away,MIN,SEA,3,4,L
2026-08-01,home,TBR,CHW,1,0,W
2026-08-01,away,CHW,TBR,0,1,L
2026-08-01,home,NYM,MIA,2,6,L
2026-08-01,away,MIA,NYM,6,2,W
2026-08-01,home,CIN,PIT,1,4,L
2026-08-01,away,PIT,CIN,4,1,W
2026-08-01,home,BAL,PHI,0,5,L
2026-08-01,away,PHI,BAL,5,0,W
2026-08-01,home,HOU,TEX,5,4,W
2026-08-01,away,TEX,HOU,4,5,L
2026-08-01,home,CLE,ARI,8,12,L
2026-08-01,away,ARI,CLE,12,8,W
2026-08-01,home,ATL,WSN,8,3,W
2026-08-01,away,WSN,ATL,3,8,L
2026-08-01,home,CHC,NYY,5,2,W
2026-08-01,away,NYY,CHC,2,5,L
2026-08-01,home,COL,KCR,12,6,W
2026-08-01,away,KCR,COL,6,12,L
2026-08-01,home,SDP,SFG,6,5,W
2026-08-01,away,SFG,SDP,5,6,L
2026-08-01,home,LAD,BOS,2,3,L
2026-08-01,away,BOS,LAD,3,2,W
2026-08-01,home,LAA,MIL,1,3,L
2026-08-01,away,MIL,LAA,3,1,W
2026-08-01,home,ATH,DET,6,8,L
2026-08-01,away,DET,ATH,8,6,W
2026-08-02,home,BAL,PHI,0,8,L
2026-08-02,away,PHI,BAL,8,0,W
2026-08-02,home,ATL,WSN,4,2,W
2026-08-02,away,WSN,ATL,2,4,L
2026-08-02,home,TOR,STL,1,5,L
2026-08-02,away,STL,TOR,5,1,W
2026-08-02,home,CLE,ARI,5,0,W
2026-08-02,away,ARI,CLE,0,5,L
2026-08-02,home,CIN,PIT,10,2,W
2026-08-02,away,PIT,CIN,2,10,L
2026-08-02,home,TBR,CHW,1,9,L
2026-08-02,away,CHW,TBR,9,1,W
2026-08-02,home,NYM,MIA,0,2,L
2026-08-02,away,MIA,NYM,2,0,W
2026-08-02,home,HOU,TEX,7,3,W
2026-08-02,away,TEX,HOU,3,7,L
2026-08-02,home,CHC,NYY,1,2,L
2026-08-02,away,NYY,CHC,2,1,W
2026-08-02,home,COL,KCR,8,1,W
2026-08-02,away,KCR,COL,1,8,L
2026-08-02,home,LAA,MIL,3,0,W
2026-08-02,away,MIL,LAA,0,3,L
2026-08-02,home,ATH,DET,0,11,L
2026-08-02,away,DET,ATH,11,0,W
2026-08-02,home,SDP,SFG,5,4,W
2026-08-02,away,SFG,SDP,4,5,L
2026-08-02,home,SEA,MIN,7,6,W
2026-08-02,away,MIN,SEA,6,7,L
2026-08-02,home,LAD,BOS,4,8,L
2026-08-02,away,BOS,LAD,8,4,W
2026-08-03,home,PHI,WSN,6,3,W
2026-08-03,away,WSN,PHI,3,6,L
2026-08-03,home,NYY,STL,7,13,L
2026-08-03,away,STL,NYY,13,7,W
2026-08-03,home,MIL,PIT,3,4,L
2026-08-03,away,PIT,MIL,4,3,W
2026-08-03,home,CHC,LAD,10,5,W
2026-08-03,away,LAD,CHC,5,10,L
2026-08-03,home,TEX,SFG,1,5,L
2026-08-03,away,SFG,TEX,5,1,W
2026-08-03,home,HOU,TOR,1,3,L
2026-08-03,away,TOR,HOU,3,1,W
2026-08-03,home,COL,TBR,9,13,L
2026-08-03,away,TBR,COL,13,9,W
2026-08-03,home,ARI,SDP,5,1,W
2026-08-03,away,SDP,ARI,1,5,L
2026-08-04,home,BAL,LAA,3,1,W
2026-08-04,away,LAA,BAL,1,3,L
2026-08-04,home,CLE,NYM,2,6,L
2026-08-04,away,NYM,CLE,6,2,W
2026-08-04,home,CIN,ATH,5,4,W
2026-08-04,away,ATH,CIN,4,5,L
2026-08-04,home,PHI,WSN,5,0,W
2026-08-04,away,WSN,PHI,0,5,L
2026-08-04,home,NYY,STL,2,0,W
2026-08-04,away,STL,NYY,0,2,L
2026-08-04,home,BOS,CHW,14,2,W
2026-08-04,away,CHW,BOS,2,14,L
2026-08-04,home,ATL,MIA,4,2,W
2026-08-04,away,MIA,ATL,2,4,L
2026-08-04,home,KCR,MIN,8,2,W
2026-08-04,away,MIN,KCR,2,8,L
2026-08-04,home,MIL,PIT,4,2,W
2026-08-04,away,PIT,MIL,2,4,L
2026-08-04,home,CHC,LAD,5,1,W
2026-08-04,away,LAD,CHC,1,5,L
2026-08-04,home,TEX,SFG,5,4,W
2026-08-04,away,SFG,TEX,4,5,L
2026-08-04,home,HOU,TOR,7,2,W
2026-08-04,away,TOR,HOU,2,7,L
2026-08-04,home,COL,TBR,7,9,L
2026-08-04,away,TBR,COL,9,7,W
2026-08-04,home,ARI,SDP,4,9,L
2026-08-04,away,SDP,ARI,9,4,W
2026-08-04,home,SEA,DET,0,8,L
2026-08-04,away,DET,SEA,8,0,W
2026-08-05,home,HOU,TOR,4,5,L
2026-08-05,away,TOR,HOU,5,4,W
2026-08-05,home,CHC,LAD,7,6,W
2026-08-05,away,LAD,CHC,6,7,L
