hand,xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,full_name,pitch_pct,player_id,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
R,0.34,150,26.67,-0.34,1.23,Corbin Carroll,44.51,682998,ARI,41.33,14.77,4-Seam Fastball,FF,26,0.15,2326.41,87.41,95.12,59.68
R,0.18,59,28.81,0.27,0.7,Corbin Carroll,17.51,682998,ARI,45.76,37.5,Sinker,SI,15.38,0.18,2165.8,73.74,94.95,51.85
R,0.48,26,23.08,-0.18,0.13,Corbin Carroll,7.72,682998,ARI,61.54,30,Slider,SL,0,0.62,2492.38,87.88,87.46,62.5
R,0.14,25,36,0.71,0.06,Corbin Carroll,7.42,682998,ARI,40,40,Sweeper,ST,50,0,2551.4,93.98,84.24,80
R,0.27,23,17.39,-0.87,0.23,Corbin Carroll,6.82,682998,ARI,34.78,60,Split-Finger,FS,18.75,0.09,1365.83,84.55,88.39,87.5
R,0.28,22,18.18,-1.07,0.44,Corbin Carroll,6.53,682998,ARI,68.18,28.57,Changeup,CH,13.33,0,1824.95,84.62,87.75,86.67
R,0,17,11.76,0.34,0.68,Corbin Carroll,5.04,682998,ARI,23.53,15.38,Cutter,FC,0,0,2479.29,95.25,90.77,50
R,0.07,14,28.57,0.54,-0.69,Corbin Carroll,4.15,682998,ARI,28.57,10,Curveball,CU,0,0,2490.36,92.1,79.24,50
R,0,1,0,1.39,-0.52,Corbin Carroll,0.3,682998,ARI,0,100,Slurve,SV,0,0,2722,70,81,0
R,0.32,99,23.23,-0.2,1.36,Gabriel Moreno,35.61,672515,ARI,54.55,22.22,4-Seam Fastball,FF,8.7,0.32,2350.49,82.01,95.48,66.67
R,0.41,49,26.53,0.23,0.21,Gabriel Moreno,17.63,672515,ARI,30.61,32.35,Slider,SL,23.53,0.14,2343.67,85.72,88.89,40
R,0.48,40,37.5,-0.5,0.74,Gabriel Moreno,14.39,672515,ARI,65,14.29,Sinker,SI,0,0.33,2250.55,84.85,95.46,42.31
R,0.25,22,22.73,1.15,0.15,Gabriel Moreno,7.91,672515,ARI,31.82,40,Sweeper,ST,20,0.5,2511.64,75.08,84.93,57.14
R,0.5,19,26.32,0.34,0.49,Gabriel Moreno,6.83,672515,ARI,52.63,0,Cutter,FC,0,0.5,2462.58,97.84,89.76,60
R,0.35,17,23.53,-0.21,-0.67,Gabriel Moreno,6.12,672515,ARI,35.29,27.27,Curveball,CU,14.29,0,2504.12,80.03,80.24,66.67
R,0.04,16,25,0.69,0.59,Gabriel Moreno,5.76,672515,ARI,62.5,33.33,Changeup,CH,20,0,1773.38,73.59,84.84,80
R,0.27,12,0,-0.64,0.04,Gabriel Moreno,4.32,672515,ARI,25,66.67,Split-Finger,FS,0,0.5,1166,78.9,90.09,100
R,0,3,100,1.03,-0.96,Gabriel Moreno,1.08,672515,ARI,66.67,100,Knuckle Curve,KC,100,0,2548.33,0,80.67,0
R,0,1,0,1.32,-0.44,Gabriel Moreno,0.36,672515,ARI,0,0,Slurve,SV,0,0,2518,0,81.7,0
R,0.39,132,28.03,-0.31,1.25,Geraldo Perdomo,38.37,672695,ARI,56.82,17.54,4-Seam Fastball,FF,2.08,0.54,2349.58,85.18,95.43,50.67
R,0.11,39,30.77,-0.82,0.49,Geraldo Perdomo,11.34,672695,ARI,41.03,13.04,Changeup,CH,26.67,0.22,1769.9,86.22,87.67,75
R,0.34,39,38.46,-0.23,0.76,Geraldo Perdomo,11.34,672695,ARI,64.1,14.29,Sinker,SI,22.22,0.43,2249.15,87.69,95.66,64
R,0.13,39,28.21,0.09,0.18,Geraldo Perdomo,11.34,672695,ARI,35.9,40,Slider,SL,31.25,0,2468.85,78.71,87.75,42.86
R,0.19,33,27.27,0.15,0.67,Geraldo Perdomo,9.59,672695,ARI,42.42,5.26,Cutter,FC,0,0,2463.06,77.62,91.07,35.71
R,0.62,31,9.68,-0.3,0.15,Geraldo Perdomo,9.01,672695,ARI,38.71,31.58,Split-Finger,FS,0,0.5,1004.87,85.01,89.11,91.67
R,0,17,41.18,0.82,0.16,Geraldo Perdomo,4.94,672695,ARI,64.71,0,Sweeper,ST,0,0,2849,69.6,83.23,36.36
R,0.21,12,25,0.04,-0.7,Geraldo Perdomo,3.49,672695,ARI,8.33,27.27,Curveball,CU,66.67,0,2531.83,91,79.18,0
R,0,2,50,1.08,-0.48,Geraldo Perdomo,0.58,672695,ARI,50,0,Knuckle Curve,KC,0,0,2527.5,0,83.1,0
R,0.27,55,41.82,-0.1,1.33,Ildemaro Vargas,39.01,545121,ARI,56.36,62.5,4-Seam Fastball,FF,33.33,0.08,2300.13,81.12,95.61,48.39
R,0.42,27,7.41,0.02,0.16,Ildemaro Vargas,19.15,545121,ARI,44.44,20,Slider,SL,0,0.57,2420.19,85.78,88.45,83.33
