team_abbr,pitch_name,pitch_type,pitches,pitch_pct,avg_release_speed,avg_spin_rate,avg_pfx_x,avg_pfx_z,whiff_rate,csw_rate,zone_rate,chase_rate,in_zone_swing_rate,avg_launch_speed,xwoba,batting_avg
ARI,4-Seam Fastball,FF,9422,29.923460475751895,94.84061770324772,2309.1741668435575,-0.29902356187645934,1.2903406919974527,15.031170630339414,26.374442793462112,51.93164933135216,27.467432104217266,63.0901287553648,82.76360084159904,0.32955643268817203,0.23419892209701126
ARI,Sinker,SI,5284,16.78152888493664,94.32581377744133,2212.977857683573,-0.6029220287660864,0.6270912187736564,9.46483856700575,28.48221044663134,57.22937168811506,23.84955752212389,56.94444444444444,84.82018398268399,0.36289621670266375,0.30128205128205127
ARI,Slider,SL,4390,13.942261885857658,86.70788154897494,2462.107061503417,0.13885649202733485,0.10079498861047836,25.89545014520813,28.519362186788154,43.804100227790435,33.96838265099311,63.85855434217369,82.22407142857142,0.28824809211691765,0.23055028462998103
ARI,Changeup,CH,3647,11.582557881030267,86.31096791883739,1722.5574444749109,-0.364628461749383,0.3073622155196052,25.389157273215247,22.895530573073756,36.715108308198516,37.21837088388215,74.98132935026139,82.27611464968153,0.2831137904667329,0.20041753653444677
ARI,Sweeper,ST,2549,8.095404452631245,83.16363279717537,2616.1643781875246,0.5667085131424088,0.04451549627304825,28.597616865261227,30.404080031384854,43.38956453511181,30.561330561330564,58.77034358047016,81.32656934306569,0.2750021855123675,0.19488188976377951
ARI,Cutter,FC,2425,7.701591132848478,89.67727835051546,2393.4115463917524,0.10757938144329897,0.6237773195876289,17.542297417631346,26.22680412371134,50.96907216494846,26.74516400336417,65.1294498381877,82.78444180522565,0.34762878172588835,0.2983425414364641
ARI,Curveball,CU,1915,6.081875059548385,80.2111227154047,2633.859007832898,0.2629190600522193,-0.8055613577023499,26.6304347826087,30.704960835509137,38.067885117493475,31.450252951096118,49.794238683127574,81.3107822410148,0.2937955164556962,0.24324324324324326
ARI,Split-Finger,FS,1239,3.934957283958459,86.77530266343827,1364.2372881355932,-0.7363357546408394,0.2974495560936239,33.52855051244509,25.504439063761097,35.91606133979015,41.183879093198996,80.0,79.40643564356436,0.21104557058823528,0.16199376947040497
ARI,Knuckle Curve,KC,346,1.09886619874869,82.50635838150289,2565.514450867052,0.4466473988439306,-0.6535260115606937,25.903614457831324,28.034682080924856,43.93063583815029,35.051546391752574,64.47368421052632,80.71428571428571,0.31066216842105265,0.22826086956521738
ARI,Slurve,SV,133,0.4223965446057103,83.3157894736842,2493.9924812030076,-0.07105263157894737,-0.38345864661654133,22.641509433962266,19.548872180451127,24.06015037593985,34.65346534653465,56.25,81.13611111111112,0.23776267647058824,0.3225806451612903
ARI,Unknown,UNK,102,0.3239432146600184,91.6,2521.0,-0.56,0.65,25.0,3.9215686274509802,0.0,7.8431372549019605,0.0,84.66,0.22143933333333332,0.0
ARI,Other,FA,14,0.044462794169022136,64.85,1608.2142857142858,-0.7064285714285715,1.387857142857143,0.0,14.285714285714285,21.428571428571427,45.45454545454545,100.0,77.1375,0.2922,0.0
ARI,Eephus,EP,8,0.025407310953726933,56.25,1418.0,0.03750000000000002,1.545,0.0,0.0,25.0,0.0,100.0,101.0,0.373,0.0
ARI,Slow Curve,CS,7,0.022231397084511068,74.7,2978.4285714285716,1.4028571428571428,-1.0014285714285713,0.0,57.14285714285714,28.57142857142857,0.0,0.0,0.0,0.0,0.0
ARI,Forkball,FO,6,0.019055483215295203,87.73333333333333,764.6666666666666,-0.24333333333333332,-0.12333333333333334,0.0,33.33333333333333,66.66666666666666,0.0,50.0,76.0,0.0,0.0
ATH,4-Seam Fastball,FF,9227,29.705105917197862,94.4960658935732,2299.008019941476,-0.12700010837758752,1.2845995448141325,20.142527771955564,25.36035547848705,52.8232361547632,28.715828164484265,72.24045958145261,83.02984201287302,0.34322415702828196,0.24444444444444444
ATH,Sinker,SI,5894,18.974953319168115,94.29134713267729,2191.453758696759,-0.43783847980997626,0.6511265693926026,13.518138261464749,26.53545978961656,56.22667119104173,28.837209302325583,65.72118286059143,83.61220594762538,0.3190241427707199,0.27375415282392024
ATH,Slider,SL,4216,13.572854291417165,86.16885673624289,2444.543643263757,0.06144686907020873,0.09253320683111954,33.95394414502695,28.51043643263757,41.46110056925996,32.090761750405186,71.45308924485126,81.97570247933885,0.2953663852065322,0.22245540398740818
ATH,Changeup,CH,3552,11.435194127873286,85.95886824324324,1765.4570543508871,-0.08253378378378379,0.36232826576576577,29.26167209554832,23.02927927927928,37.80968468468468,35.03847894975102,79.5234549516009,79.95834046193328,0.25047532264736294,0.21436343852013057
ATH,Sweeper,ST,2411,7.7618955637112865,82.36972210700954,2593.0008295313146,0.497096640398175,0.027515553712152634,31.747404844290656,30.443799253421815,43.34301119867275,33.67496339677892,66.60287081339713,80.88522099447513,0.24685732805071317,0.18686868686868688
ATH,Cutter,FC,2324,7.48181057240358,89.72921686746989,2379.90834767642,0.09738382099827883,0.6649311531841652,23.793677204658902,26.721170395869194,51.11876075731497,30.545774647887324,71.96969696969697,81.78242424242424,0.3632290857664234,0.2971887550200803
ATH,Curveball,CU,1520,4.893438928594424,79.89118421052632,2581.434696569921,0.15591447368421052,-0.8971381578947369,34.11371237458194,32.89473684210527,41.25,28.21948488241881,55.183413078149925,82.02951807228915,0.23805431353135315,0.21453287197231835
ATH,Split-Finger,FS,1096,3.5284270169338745,86.75410583941606,1384.396897810219,-0.7680565693430657,0.19968978102189783,33.68606701940035,22.81021897810219,35.94890510948905,33.61823361823362,84.01015228426397,83.5440366972477,0.28406668932038837,0.1870748299319728
ATH,Knuckle Curve,KC,483,1.5549546069152018,83.44679089026916,2487.871635610766,0.47517598343685297,-0.824616977225673,36.574074074074076,28.778467908902694,37.060041407867494,31.25,67.59776536312849,86.19262295081967,0.2669511102362205,0.2605042016806723
ATH,Unknown,UNK,152,0.48934389285944246,85.13333333333334,2809.6666666666665,0.8633333333333333,0.20999999999999996,27.27272727272727,5.263157894736842,0.0,7.236842105263158,0.0,90.65714285714286,0.476265,0.125
ATH,Slurve,SV,101,0.32515613933423476,81.58217821782178,2381.6633663366338,-0.8597029702970297,-0.3910891089108911,21.62162162162162,24.752475247524753,35.64356435643564,20.0,66.66666666666666,80.85217391304347,0.2847562413793103,0.34615384615384615
ATH,Eephus,EP,46,0.14809091494430493,46.18695652173913,1120.2790697674418,0.021304347826086957,1.3208695652173912,0.0,4.3478260869565215,19.565217391304348,45.94594594594595,100.0,87.75384615384615,0.4664513181818182,0.4
ATH,Forkball,FO,21,0.06760672203979139,82.6047619047619,1043.7619047619048,-1.262857142857143,-0.14428571428571427,33.33333333333333,19.047619047619047,23.809523809523807,43.75,100.0,76.68333333333334,0.1018,0.2
ATH,Other,FA,11,0.035413044877985966,68.5909090909091,1500.4545454545455,-0.520909090909091,0.7845454545454544,0.0,18.181818181818183,27.27272727272727,25.0,33.33333333333333,72.83333333333333,0.391659,0.5
ATH,Slow Curve,CS,8,0.025754941729444338,66.0375,2135.25,0.97375,-0.24625000000000002,0.0,12.5,12.5,28.57142857142857,0.0,106.5,1.141238,0.6666666666666666
ATL,4-Seam Fastball,FF,9414,30.506497294144335,94.89237225114204,2321.7205741626794,-0.22998831527512217,1.2833641385171022,19.868810833685995,25.355852984916083,51.26407478223922,28.487358326068,70.8454206382097,83.70627565982406,0.32540781654201495,0.23080708661417323
ATL,Sinker,SI,5053,16.374477462004602,94.11488224816941,2208.907216494845,-0.31178903621610926,0.6323768058579062,11.724960254372018,25.50959825846032,54.22521274490401,31.86338089061824,64.92700729927007,84.0895233366435,0.35996687632508834,0.2915042868277475
ATL,Slider,SL,3509,11.37107488901131,86.56038757480765,2445.5176839703367,0.0852607580507267,0.12331433456825305,31.858902575587905,29.63807352522086,43.573667711598745,37.525252525252526,68.21451929365598,82.56872125114995,0.28405237248322146,0.23376623376623376
ATL,Changeup,CH,3408,11.043779772513691,86.33039906103286,1750.7809104258442,-0.3099882629107981,0.3466138497652582,24.353205849268843,19.688967136150236,34.21361502347418,38.35860838537021,78.73070325900514,82.24938474159147,0.2854718258977149,0.23085714285714284
ATL,Sweeper,ST,2875,9.316568910204479,82.21808695652174,2578.805081796032,0.2786504347826087,0.08480695652173913,25.50578034682081,27.82608695652174,43.37391304347826,33.96805896805897,66.63993584603047,80.73517534537726,0.2889964341736695,0.22590361445783133
ATL,Cutter,FC,2828,9.16426326193331,89.77510608203677,2402.7374202693127,0.08352192362093352,0.6488366336633664,24.893314366998577,27.970297029702973,48.691654879773694,31.495520330806343,68.91793754538853,82.54335443037975,0.3557824945226917,0.2557726465364121
ATL,Curveball,CU,1961,6.354710133186428,80.11529831718511,2625.9237851662406,0.22435492095869453,-0.8589138194798572,24.84008528784648,27.12901580826109,41.152473227944924,36.741767764298096,63.69268897149938,82.0390205371248,0.28960885305343514,0.24335378323108384
ATL,Split-Finger,FS,839,2.718817848925759,86.3969010727056,1324.6257449344457,-0.5274970202622169,0.3126340882002384,27.521008403361346,21.096543504171635,33.849821215733016,43.42342342342342,82.74647887323944,80.71528662420381,0.2794372479338843,0.2425531914893617
ATL,Knuckle Curve,KC,452,1.4647266599695388,83.77876106194691,2469.3274336283184,0.47285398230088493,-0.7666150442477876,39.02439024390244,36.50442477876106,33.4070796460177,52.49169435215947,58.27814569536424,80.50444444444445,0.21387018803418806,0.23423423423423423
ATL,Slurve,SV,279,0.9041122525033215,83.14802867383513,2563.2365591397847,-0.08118279569892474,-0.4329390681003584,26.400000000000002,25.089605734767023,37.634408602150536,32.18390804597701,65.71428571428571,81.33333333333333,0.288044296875,0.23333333333333334
ATL,Unknown,UNK,87,0.2819274765870573,95.0,0.0,-0.91,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATL,Eephus,EP,72,0.2333192909685991,40.55555555555556,1039.5277777777778,0.0175,1.5569444444444445,0.0,13.88888888888889,34.72222222222222,29.78723404255319,64.0,91.62333333333332,0.6535697857142857,0.5769230769230769
ATL,Other,FA,44,0.14258401114747724,60.98636363636364,1520.1818181818182,-0.600909090909091,0.935,9.090909090909092,22.727272727272727,40.909090909090914,30.76923076923077,77.77777777777779,88.67,0.5422857142857144,0.42857142857142855
ATL,Forkball,FO,21,0.06805145986584141,85.18571428571428,1115.2380952380952,-0.6047619047619047,0.08619047619047619,45.45454545454545,28.57142857142857,28.57142857142857,40.0,83.33333333333334,79.61666666666666,0.10957142857142856,0.14285714285714285
ATL,Knuckleball,KN,11,0.03564600278686931,81.00909090909092,327.0,-0.12545454545454546,-0.16818181818181818,0.0,0.0,18.181818181818183,11.11111111111111,50.0,86.25,0.087,0.0
ATL,Slow Curve,CS,3,0.00972163712369163,70.7,2463.0,1.3233333333333335,-0.3,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0
ATL,Pitch Out,PO,2,0.006481091415794419,90.2,2528.0,-0.7,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATL,Unknown,UN,1,0.0032405457078972097,60.5,1816.0,-1.23,-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,4-Seam Fastball,FF,9482,29.301606922126084,94.79207973001476,2290.2708289390425,-0.26320607466779156,1.3291330942839064,18.500214868929955,26.11263446530268,54.86184349293398,24.182242990654206,69.56939638600538,85.07416028285209,0.35786794206658024,0.23701138050470064
BAL,Sinker,SI,5150,15.914709517923361,94.02609708737864,2190.3708737864076,-0.37288349514563107,0.6135087378640777,11.928251121076233,27.78640776699029,56.00000000000001,22.37422771403354,59.74341192787794,84.40953984287317,0.3897890065170167,0.2973661852166525
BAL,Slider,SL,4812,14.870210135970332,86.07445968412303,2422.7479218620115,0.0780423940149626,0.1269347464671654,33.716814159292035,31.463009143807145,42.24854530340815,33.64519611370997,65.17461878996556,82.4803663003663,0.290393737704918,0.210431654676259
BAL,Changeup,CH,3827,11.826328800988875,85.99472171413639,1744.8183956101384,-0.24038411288215314,0.3175489939900705,27.77777777777778,22.28899921609616,35.32793310687222,35.15151515151515,76.77514792899409,79.71282868525897,0.2831154770459082,0.23473684210526316
BAL,Sweeper,ST,2714,8.38689740420272,82.49347826086957,2584.774134119381,0.5715585851142225,0.09218128224023582,28.268876611418047,32.01915991156964,43.883566691230655,27.708470124753777,55.75146935348446,81.01833568406207,0.2779628425324675,0.19384057971014493
BAL,Cutter,FC,2535,7.833745364647713,89.60126232741618,2358.209861932939,0.10344773175542407,0.6855621301775149,25.602660016625105,30.295857988165682,51.83431952662721,28.09172809172809,65.44901065449011,83.04785353535352,0.3370088160136286,0.23552123552123552
BAL,Curveball,CU,2053,6.3442521631644,79.7360935216756,2565.0920603994155,0.32575742815392106,-0.8727228446176327,33.00613496932515,30.54067218704335,37.79834388699464,30.54032889584965,54.76804123711341,80.96814516129032,0.25302677192982453,0.1794871794871795
BAL,Split-Finger,FS,1149,3.550679851668727,86.69773716275022,1370.135770234987,-0.8869364664926023,0.19630983463881638,30.330882352941174,22.28024369016536,32.46301131418625,32.7319587628866,77.7479892761394,81.9090909090909,0.3225678028673835,0.23552123552123552
BAL,Knuckle Curve,KC,419,1.2948084054388134,82.12076372315036,2530.073985680191,0.7046778042959427,-0.9368257756563246,37.234042553191486,35.79952267303103,42.720763723150355,36.666666666666664,55.865921787709496,83.80277777777779,0.22235226470588235,0.18181818181818182
BAL,Unknown,UNK,122,0.377008652657602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Slurve,SV,79,0.24412855377008652,80.4506329113924,2718.8987341772154,0.1558227848101266,-0.809620253164557,32.25806451612903,26.582278481012654,35.44303797468354,27.450980392156865,60.71428571428571,84.705,0.35728574999999996,0.15
BAL,Eephus,EP,9,0.027812113720642767,44.87777777777777,1256.888888888889,-0.30333333333333334,1.3055555555555556,0.0,22.22222222222222,0.0,55.55555555555556,0.0,87.26,0.49139999999999995,0.0
