xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0.35,877,30.67,-0.06,1.21,31.01,ARI,52.79,25.85,4-Seam Fastball,FF,12.64,0.22,2239.83,83.72,93.89,53.78
0.36,462,28.35,-0.67,0.43,16.34,ARI,59.52,22.99,Sinker,SI,7.96,0.29,2189.75,87.15,94.28,57.45
0.34,366,21.58,0.42,0.31,12.94,ARI,35.79,36.6,Changeup,CH,20.56,0.27,1752.93,81.99,85.16,71.76
0.29,284,23.94,0.22,0.04,10.04,ARI,40.49,30.77,Slider,SL,25.4,0.22,2402.43,82.56,84.84,64.35
0.15,269,33.46,0.26,0.14,9.51,ARI,51.67,31.54,Sweeper,ST,27.5,0.1,2694.29,80.94,83.85,56.83
0.24,214,26.64,0.25,-0.66,7.57,ARI,32.71,29.86,Curveball,CU,26.58,0.26,2789.02,80.73,79.76,51.43
0.26,177,25.42,0.09,0.51,6.26,ARI,45.76,27.08,Cutter,FC,15.07,0.3,2413.25,75.22,89.41,58.02
0.15,112,26.79,-1.05,0.28,3.96,ARI,33.93,40.54,Split-Finger,FS,25.93,0.2,1463.91,81.35,87.76,63.16
0.17,64,31.25,1.26,-0.84,2.26,ARI,37.5,50,Knuckle Curve,KC,33.33,0.27,2626.47,77.77,78.16,66.67
0,3,66.67,0.77,-0.29,0.11,ARI,33.33,0,Slurve,SV,0,0,2423.67,0,85.33,0
0.36,847,23.49,-0.32,1.35,29.98,ATH,50.06,30.97,4-Seam Fastball,FF,19.37,0.32,2325.55,83.36,95.04,73.82
0.33,541,28.47,-0.75,0.76,19.15,ATH,59.52,31.51,Sinker,SI,15.88,0.31,2191.83,82.44,93.89,64.6
0.19,454,33.26,0.1,0.2,16.07,ATH,42.51,36.4,Slider,SL,37.66,0.17,2505.47,81.85,87,70.47
0.27,294,24.15,-0.44,0.45,10.41,ATH,33.67,26.67,Changeup,CH,27.27,0.32,1810.26,77.68,86.52,69.7
0.32,243,37.86,1.03,0.15,8.6,ATH,44.44,40.74,Sweeper,ST,40.8,0.14,2598.63,75.15,81.9,64.81
