bats,team,status,throws,position,full_name,player_id,team_abbr,jersey_number,position_type
S,Arizona Diamondbacks,active,R,1B,Ildemaro Vargas,545121,ARI,6,1B
R,Arizona Diamondbacks,active,R,1B,Tim Tawa,694374,ARI,13,1B
S,Arizona Diamondbacks,active,R,2B,Ketel Marte,606466,ARI,4,2B
R,Arizona Diamondbacks,active,R,3B,Nolan Arenado,571448,ARI,28,3B
R,Arizona Diamondbacks,active,R,C,Gabriel Moreno,672515,ARI,14,C
R,Arizona Diamondbacks,active,R,C,James McCann,543510,ARI,8,C
L,Arizona Diamondbacks,active,R,DH,Lars Nootbaar,663457,ARI,21,DH
L,Arizona Diamondbacks,active,L,RF,Corbin Carroll,682998,ARI,7,OF
R,Arizona Diamondbacks,active,R,CF,Jordan Lawlar,691783,ARI,10,OF
S,Arizona Diamondbacks,active,L,CF,Jorge Barrosa,678489,ARI,1,OF
R,Arizona Diamondbacks,active,R,LF,Lourdes Gurriel Jr.,666971,ARI,12,OF
L,Arizona Diamondbacks,active,L,LF,Max Kepler,596146,ARI,22,OF
R,Arizona Diamondbacks,active,R,CF,Ryan Waldschmidt,814439,ARI,15,OF
L,Arizona Diamondbacks,active,L,P,Blake Walston,686796,ARI,48,RP
R,Arizona Diamondbacks,active,R,P,Brandon Pfaadt,694297,ARI,32,RP
L,Arizona Diamondbacks,active,L,P,Brandyn Garcia,805299,ARI,55,RP
R,Arizona Diamondbacks,active,R,P,Dennis Santana,642701,ARI,59,RP
R,Arizona Diamondbacks,active,R,P,Derek Law,571882,ARI,38,RP
L,Arizona Diamondbacks,active,L,P,Eduardo Rodriguez,593958,ARI,57,RP
R,Arizona Diamondbacks,active,R,P,Gerardo Carrillo,672629,ARI,68,RP
R,Arizona Diamondbacks,active,R,P,Jonathan Loáisiga,642528,ARI,43,RP
R,Arizona Diamondbacks,active,R,P,Jose Cabrera,703615,ARI,53,RP
R,Arizona Diamondbacks,active,R,P,Juan Morillo,666661,ARI,62,RP
R,Arizona Diamondbacks,active,R,P,Justin Martinez,679885,ARI,63,RP
L,Arizona Diamondbacks,active,R,P,Kevin Ginkel,656464,ARI,37,RP
R,Arizona Diamondbacks,active,R,P,Merrill Kelly,518876,ARI,29,RP
R,Arizona Diamondbacks,active,R,P,Taylor Clarke,664199,ARI,45,RP
S,Arizona Diamondbacks,active,R,SS,Geraldo Perdomo,672695,ARI,2,SS
L,Athletics,active,R,2B,Donovan Walton,622268,ATH,29,2B
L,Athletics,active,R,2B,Jeff McNeil,643446,ATH,22,2B
R,Athletics,active,R,2B,Michael Stefanic,683021,ATH,17,2B
R,Athletics,active,R,3B,Max Muncy,691777,ATH,3,3B
R,Athletics,active,R,3B,Tommy White,695720,ATH,47,3B
R,Athletics,active,R,3B,Zack Gelof,680869,ATH,20,3B
R,Athletics,active,R,C,Brian Serven,661531,ATH,10,C
S,Athletics,active,R,C,Jonah Heim,641680,ATH,15,C
L,Athletics,active,R,RF,Carlos Cortes,666126,ATH,26,OF
R,Athletics,active,R,CF,Denzel Clarke,672016,ATH,1,OF
R,Athletics,active,R,CF,Henry Bolte,703607,ATH,33,OF
L,Athletics,active,R,RF,Lawrence Butler,671732,ATH,4,OF
R,Athletics,active,L,P,Brady Basso,669620,ATH,66,RP
R,Athletics,active,R,P,Chris Roycroft,688297,ATH,56,RP
R,Athletics,active,R,P,Elvis Alvarado,665660,ATH,37,RP
L,Athletics,active,L,P,Gage Jump,695611,ATH,61,RP
R,Athletics,active,R,P,Geoff Hartlieb,664129,ATH,31,RP
