away,home,side,game_id,signals_fired,convergence_count,is_convergence_play,convergence_direction
BAL,MIN,away,,3,3,FALSE,lineup
BAL,MIN,home,,2,2,FALSE,profile
PHI,STL,away,,2,2,FALSE,pitching
PHI,STL,home,,4,4,TRUE,pitching
TBR,ATH,away,,4,5,TRUE,process
TBR,ATH,home,,4,4,TRUE,pitching
COL,ARI,away,,5,6,TRUE,process
COL,ARI,home,,4,5,TRUE,process
HOU,SFG,away,,2,2,FALSE,profile
HOU,SFG,home,,1,1,FALSE,profile
MIL,SDP,away,,5,6,TRUE,lineup
MIL,SDP,home,,4,4,TRUE,pitching
CLE,DET,away,,4,5,TRUE,process
CLE,DET,home,,3,3,FALSE,pitching
PIT,MIA,away,,3,3,FALSE,lineup
PIT,MIA,home,,2,2,FALSE,pitching
CHC,WSN,away,,4,5,TRUE,process
CHC,WSN,home,,3,3,FALSE,lineup
SEA,NYY,away,,3,3,FALSE,pitching
SEA,NYY,home,,3,3,FALSE,pitching
BOS,TOR,away,,5,6,TRUE,process
BOS,TOR,home,,4,5,TRUE,process
NYM,ATL,away,,2,2,FALSE,pitching
NYM,ATL,home,,1,1,FALSE,profile
CIN,CHW,away,,2,2,FALSE,pitching
CIN,CHW,home,,3,3,FALSE,lineup
KCR,LAD,away,,3,3,FALSE,pitching
KCR,LAD,home,,3,3,FALSE,lineup
TEX,LAA,away,,3,3,FALSE,pitching
TEX,LAA,home,,3,3,FALSE,pitching
