H,K,R,BB,ER,HR,IP,date,f5_er,game_pk,pitches,stadium,strikes,home_away,game_score,pitcher_id,team_result,opponent_ABQ,opponent_HvL,opponent_HvR,opponent_OBR,opponent_OOR,opponent_OSI,opponent_RCV,opponent_wRC,pitcher_hand,pitcher_name,pitcher_team,batters_faced,opponent_PALS,opponent_team,opponent_wRC_lhh,opponent_wRC_rhh,opponent_ABQ_tier,opponent_OSI_tier
4,4,1,1,1,1,6,2026-03-31,0,822836,83,Rogers Centre,56,home,39.2,453286,W,34.5,15.16,26.08,31.8,0,26.1,13.5,94.74,R,Max Scherzer,TOR,22,4.3,COL,80.16,94.74,Low,Low
2,2,2,1,2,1,2,2026-04-06,6,822832,36,Rogers Centre,24,home,32.4,453286,L,68.3,73.35,82.75,95.7,99.9,82.8,78.2,116.85,R,Max Scherzer,TOR,9,52.9,LAD,102.33,116.85,High,High
5,3,8,2,8,2,2.1,2026-04-12,8,822828,68,Rogers Centre,41,home,8.7,453286,L,39.7,45.81,47.07,33.8,44.02,47.1,67.6,108.59,R,Max Scherzer,TOR,15,40.8,MIN,91.91,108.59,Low,Low
5,1,2,1,2,0,6,2026-04-18,2,825098,74,Chase Field,50,away,35.2,453286,L,58.2,51.68,40.47,31.7,42.14,40.5,37.8,86.84,R,Max Scherzer,TOR,22,31.8,ARI,111.22,86.84,Mid,Low
6,0,7,3,7,3,2.1,2026-04-24,7,822827,82,Rogers Centre,51,home,5.3,453286,L,50,45.7,42.76,36.8,39.76,42.8,44.4,94.75,R,Max Scherzer,TOR,16,39,CLE,85.58,94.75,Mid,Low
5,4,5,3,5,2,3.1,2026-06-10,6,822804,82,Rogers Centre,51,home,16,453286,L,32.1,38.58,33.37,30.7,25.14,33.4,37.3,90.88,R,Max Scherzer,TOR,18,39.4,PHI,90.02,90.88,Low,Low
4,4,1,3,1,0,2.2,2026-07-27,2,822705,75,Nationals Park,44,away,27.2,453286,W,43.7,73.48,67.67,67,85.36,67.7,85.6,108.28,R,Max Scherzer,TOR,15,58.8,WSN,120.73,108.28,Low,High
4,5,1,1,1,0,6,2026-08-02,1,822783,84,Rogers Centre,58,home,40.2,453286,L,41,52.04,42.08,40.4,43.98,42.1,44.7,93.84,R,Max Scherzer,TOR,23,34.9,STL,94.52,93.84,Low,Low
5,4,2,0,2,2,5.1,2026-08-08,0,823426,84,Citizens Bank Park,58,away,33.4,453286,W,32.1,38.58,33.37,30.7,25.14,33.4,37.3,90.88,R,Max Scherzer,TOR,21,39.4,PHI,90.02,90.88,Low,Low
6,1,5,2,5,1,3.2,2026-03-30,8,825108,80,Chase Field,53,away,16.9,434378,L,58.2,51.68,40.47,31.7,42.14,40.5,37.8,86.84,R,Justin Verlander,DET,19,31.8,ARI,111.22,86.84,Mid,Low
8,7,5,0,5,2,4.2,2026-03-26,5,823486,80,Citizens Bank Park,55,away,16.6,543135,L,32.1,38.58,33.37,30.7,25.14,33.4,37.3,90.88,R,Nathan Eovaldi,TEX,22,39.4,PHI,90.02,90.88,Low,Low
8,5,6,3,6,1,4,2026-04-01,7,824860,88,Oriole Park at Camden Yards,55,away,7.8,543135,L,31.6,58.42,61.39,69.3,67.65,61.4,73.6,103.89,R,Nathan Eovaldi,TEX,23,70.9,BAL,101.83,103.89,Low,Mid
6,7,2,2,2,1,6,2026-04-07,2,822916,93,Globe Life Field,60,home,29.2,543135,W,43.3,45.66,49.15,45.2,45.92,49.2,57.9,104.4,R,Nathan Eovaldi,TEX,26,22.9,SEA,92.3,104.4,Low,Low
3,7,0,2,0,0,7,2026-04-13,0,825024,84,Sutter Health Park,53,away,45.3,543135,W,42.3,38.96,48.13,37.3,39.77,48.1,64.7,101.18,R,Nathan Eovaldi,TEX,26,19.5,ATH,98.82,101.18,Low,Low
8,3,4,1,2,1,5,2026-04-18,3,823151,95,T-Mobile Park,66,away,22.5,543135,L,43.3,45.66,49.15,45.2,45.92,49.2,57.9,104.4,R,Nathan Eovaldi,TEX,25,22.9,SEA,92.3,104.4,Low,Low
6,3,6,1,6,4,6,2026-04-24,6,822909,86,Globe Life Field,59,home,20.2,543135,L,42.3,38.96,48.13,37.3,39.77,48.1,64.7,101.18,R,Nathan Eovaldi,TEX,25,19.5,ATH,98.82,101.18,Low,Low
4,7,0,1,0,0,7,2026-04-29,0,822907,102,Globe Life Field,70,home,44.3,543135,W,38.8,61.44,66.36,75.1,74.8,66.4,76,104.61,R,Nathan Eovaldi,TEX,26,85.4,NYY,104.01,104.61,Low,High
3,8,1,0,1,1,8,2026-05-06,0,823550,101,Yankee Stadium,72,away,49,543135,W,38.8,61.44,66.36,75.1,74.8,66.4,76,104.61,R,Nathan Eovaldi,TEX,27,85.4,NYY,104.01,104.61,Low,High
5,8,0,2,0,0,7,2026-05-17,0,824192,94,Daikin Park,64,away,39.3,543135,W,38.5,43.27,48.82,45.2,43.76,48.8,60.3,105.24,R,Nathan Eovaldi,TEX,27,25.3,HOU,97.68,105.24,Low,Low
5,6,3,2,3,1,7,2026-05-23,3,824030,97,Angel Stadium,68,away,32.3,543135,L,22.6,35.68,27.39,13.1,17.1,27.4,47.2,94.72,R,Nathan Eovaldi,TEX,29,21.5,LAA,99.61,94.72,Low,Low
4,6,5,2,5,2,7,2026-05-28,5,822896,90,Globe Life Field,55,home,30.9,543135,L,38.5,43.27,48.82,45.2,43.76,48.8,60.3,105.24,R,Nathan Eovaldi,TEX,27,25.3,HOU,97.68,105.24,Low,Low
11,7,4,1,4,1,6,2026-06-02,2,823052,93,Busch Stadium,66,away,11.6,543135,W,41,52.04,42.08,40.4,43.98,42.1,44.7,93.84,R,Nathan Eovaldi,TEX,31,34.9,STL,94.52,93.84,Low,Low
4,3,4,3,4,1,5.2,2026-06-09,1,824105,88,Kauffman Stadium,58,away,28.3,543135,L,57,45.88,50.85,42.9,47.74,50.8,55.5,95.71,R,Nathan Eovaldi,TEX,23,71.8,KCR,94.81,95.71,Mid,Mid
6,6,3,1,3,2,7,2026-06-14,2,824751,94,Fenway Park,63,away,30.9,543135,W,43,53.79,32.87,41.3,36.4,32.9,16,86.76,R,Nathan Eovaldi,TEX,26,32.7,BOS,114.11,86.76,Low,Low
7,9,3,1,3,0,6,2026-06-21,3,822883,94,Globe Life Field,67,home,27.2,543135,W,40.5,44,53.23,52.4,48.59,53.2,63.3,97.75,R,Nathan Eovaldi,TEX,25,47.7,SDP,86.5,97.75,Low,Mid
5,9,0,1,0,0,7,2026-06-26,0,822796,92,Rogers Centre,59,away,41.9,543135,W,54.7,32.11,29.44,7.6,16.34,29.4,36.4,95.37,R,Nathan Eovaldi,TEX,26,46.4,TOR,79.82,95.37,Mid,Low
6,9,3,1,3,2,5,2026-07-02,3,822884,85,Globe Life Field,53,home,25.5,543135,W,43.2,54.49,49.69,42.5,53.26,49.7,62.5,103.93,R,Nathan Eovaldi,TEX,22,35.5,DET,91.96,103.93,Low,Low
6,10,4,2,3,0,6,2026-07-09,1,822877,99,Globe Life Field,74,home,28.2,543135,W,22.6,35.68,27.39,13.1,17.1,27.4,47.2,94.72,R,Nathan Eovaldi,TEX,27,21.5,LAA,99.61,94.72,Low,Low
6,2,4,2,4,3,4,2026-07-19,4,824897,81,Truist Park,51,away,17.8,543135,L,51.3,49.83,58.97,55.8,58.67,59,68.1,104.62,R,Nathan Eovaldi,TEX,20,77.1,ATL,91.48,104.62,Mid,Mid
3,8,1,1,1,0,7,2026-07-25,1,822869,91,Globe Life Field,61,home,45.9,543135,W,43.3,45.66,49.15,45.2,45.92,49.2,57.9,104.4,R,Nathan Eovaldi,TEX,24,22.9,SEA,92.3,104.4,Low,Low
10,5,6,1,6,2,5,2026-07-31,6,824164,94,Daikin Park,60,away,6.9,543135,L,38.5,43.27,48.82,45.2,43.76,48.8,60.3,105.24,R,Nathan Eovaldi,TEX,26,25.3,HOU,97.68,105.24,Low,Low
4,2,1,2,1,0,5.1,2026-08-07,1,822863,86,Globe Life Field,56,home,36.4,543135,W,31.6,58.42,61.39,69.3,67.65,61.4,73.6,103.89,R,Nathan Eovaldi,TEX,22,70.9,BAL,101.83,103.89,Low,Mid
6,3,4,1,4,2,4,2026-04-10,4,822829,85,Rogers Centre,52,home,19.6,571578,W,39.7,45.81,47.07,33.8,44.02,47.1,67.6,108.59,R,Patrick Corbin,TOR,21,40.8,MIN,91.91,108.59,Low,Low
4,6,1,1,1,0,5.2,2026-04-16,1,823801,79,American Family Field,50,away,39.3,571578,L,67.4,59.68,66.31,75.3,73.39,66.3,55.3,110.33,R,Patrick Corbin,TOR,20,66.6,MIL,90.66,110.33,High,High
2,3,1,2,1,0,5,2026-04-21,1,824045,65,Angel Stadium,40,away,41.5,571578,W,22.6,35.68,27.39,13.1,17.1,27.4,47.2,94.72,R,Patrick Corbin,TOR,18,21.5,LAA,99.61,94.72,Low,Low
6,4,2,2,2,0,4.2,2026-04-26,2,822824,84,Rogers Centre,52,home,26.6,571578,W,50,45.7,42.76,36.8,39.76,42.8,44.4,94.75,R,Patrick Corbin,TOR,20,39,CLE,85.58,94.75,Mid,Low
6,4,2,1,2,1,5.1,2026-05-01,2,823713,79,Target Field,53,away,28.8,571578,W,39.7,45.81,47.07,33.8,44.02,47.1,67.6,108.59,R,Patrick Corbin,TOR,23,40.8,MIN,91.91,108.59,Low,Low
5,1,2,2,2,0,5.1,2026-05-06,2,822985,61,Tropicana Field,37,away,30.8,571578,L,77.8,40.21,51.2,34.8,43.71,51.2,51,110.23,R,Patrick Corbin,TOR,22,28.8,TBR,94.03,110.23,High,Mid
