G,K,BB,GS,HR,IP,K%,Tm,BB%,ERA,TBF,HR/9,Name
2,8,6,2,2,9,0.18,ATL,0.14,8,44,2,AJ Smith-Shawver
2,11,5,2,1,11,0.24,PHI,0.11,2.45,45,0.82,Aaron Nola
1,2,0,1,0,1.2,0.33,SFG,0,0,6,0,Adrian Houser
1,1,0,1,0,1.1,0.2,BOS,0,0,5,0,Alec Gamboa
2,7,4,2,3,9,0.16,CIN,0.09,11,45,3,Andrew Abbott
3,17,8,3,2,15.2,0.26,WSN,0.12,2.37,65,1.18,Andrew Alvarez
1,0,0,1,0,1,0,MIN,0,9,5,0,Andrew Morris
3,20,3,3,0,20,0.27,PHI,0.04,1.8,73,0,Andrew Painter
3,15,5,3,3,14.4,0.21,CHW,0.07,6.88,70,1.88,Anthony Kay
1,6,0,1,1,5,0.29,SFG,0,5.4,21,1.8,Anthony Molina
2,8,5,2,1,10,0.19,MIN,0.12,1.8,42,0.9,Bailey Ober
1,0,2,1,0,0.2,0,HOU,0.4,45,5,0,Bennett Sousa
2,11,3,2,3,10.2,0.25,SFG,0.07,5.29,44,2.65,Blade Tidwell
2,16,6,2,0,11,0.35,LAD,0.13,0.82,46,0,Blake Snell
2,7,2,2,0,5.3,0.29,WSN,0.08,0,24,0,Brad Lord
2,2,0,2,1,3.1,0.11,ATH,0,14.52,18,2.9,Brady Basso
3,13,3,3,2,15.3,0.17,CIN,0.04,6.47,76,1.18,Brady Singer
2,4,3,2,2,12.2,0.08,ARI,0.06,4.43,52,1.48,Brandon Pfaadt
1,5,2,1,1,5.1,0.21,CIN,0.08,5.29,24,1.76,Brandon Williamson
2,7,4,2,2,12.2,0.14,BAL,0.08,2.21,49,1.48,Brandon Young
2,5,2,2,0,11,0.12,PIT,0.05,2.45,43,0,Braxton Ashcraft
2,12,2,2,3,10,0.28,SEA,0.05,6.3,43,2.7,Bryan Woo
2,8,3,2,2,11.1,0.15,ATL,0.06,6.49,54,1.62,Bryce Elder
2,8,8,2,2,8.3,0.19,SEA,0.19,7.59,43,2.17,Bryce Miller
1,0,3,1,1,1,0,STL,0.3,27,10,9,Brycen Mautz
3,13,7,3,2,14.2,0.2,PIT,0.11,5.07,64,1.27,Bubba Chandler
2,15,4,2,2,10,0.38,WSN,0.1,1.8,40,1.8,Cade Cavalli
1,4,3,1,0,5,0.18,BAL,0.14,1.8,22,0,Cade Povich
2,14,0,2,2,12,0.31,TEX,0,2.25,45,1.5,Cal Quantrill
3,21,8,3,1,19.2,0.28,NYY,0.11,0.94,75,0.47,Cam Schlittler
2,7,3,2,1,8.2,0.19,NYY,0.08,3.29,36,1.1,Carlos Rodón
1,3,1,1,0,2.2,0.27,SFG,0.09,0,11,0,Carson Whisenhunt
1,2,0,1,0,2.1,0.25,TBR,0,0,8,0,Casey Legumina
3,5,3,3,6,11.2,0.09,SDP,0.05,8.04,56,4.82,Casey Mize
2,12,2,2,2,8.4,0.27,CIN,0.05,7.5,44,2.14,Chase Burns
2,9,3,2,2,11.4,0.17,BAL,0.06,4.74,53,1.58,Chris Bassitt
2,17,0,2,0,15,0.29,ATL,0,1.2,59,0,Chris Sale
2,8,9,2,2,9.3,0.18,NYM,0.2,6.77,45,1.94,Christian Scott
2,13,4,2,0,13,0.27,CHC,0.08,0,48,0,Clay Holmes
3,6,3,3,3,14.3,0.09,TEX,0.04,6.29,69,1.89,Cody Bradford
2,12,3,2,1,11.1,0.25,MIN,0.06,7.3,48,0.81,Connor Prielipp
1,8,2,1,1,4,0.44,HOU,0.11,6.75,18,2.25,Cristian Javier
2,15,1,2,1,13.2,0.28,PHI,0.02,2.73,53,0.68,Cristopher Sánchez
2,5,3,2,1,7.2,0.16,KCR,0.09,5,32,1.25,Daniel Lynch IV
3,18,9,3,3,14.2,0.25,CHC,0.12,6.34,72,1.9,David Peterson
1,3,1,1,0,5.2,0.13,CHW,0.04,0,23,0,Davis Martin
3,13,8,3,2,13.1,0.21,MIN,0.13,7.56,63,1.37,Dean Kremer
3,14,8,3,2,14.4,0.21,DET,0.12,2.5,66,1.25,Drew Anderson
2,11,2,2,0,12,0.24,TBR,0.04,2.25,45,0,Drew Rasmussen
2,4,3,2,1,4.2,0.17,MIL,0.12,8.57,24,2.14,Dustin May
3,20,6,3,1,18.2,0.29,TOR,0.09,0.99,69,0.49,Dylan Cease
3,16,8,3,0,17.2,0.22,ARI,0.11,1.57,73,0,Eduardo Rodriguez
2,11,5,2,1,9.2,0.26,NYY,0.12,6.85,42,0.98,Elmer Rodríguez
2,7,0,2,4,10.2,0.14,SEA,0,7.06,50,3.53,Emerson Hancock
1,2,1,1,2,3,0.11,LAD,0.06,21,18,6,Eric Lauer
1,4,2,1,0,5,0.2,CHW,0.1,3.6,20,0,Erick Fedde
2,5,6,2,4,9.1,0.12,HOU,0.15,6.92,40,3.96,Ethan Pecko
3,12,10,3,4,12.2,0.19,MIA,0.16,8.85,62,2.95,Eury Pérez
2,8,4,2,0,10,0.2,CLE,0.1,3.6,41,0,Foster Griffin
2,5,3,2,2,12,0.1,DET,0.06,4.5,51,1.5,Framber Valdez
3,17,1,3,3,19,0.24,TBR,0.01,2.84,70,1.42,Freddy Peralta
3,9,8,3,2,14.2,0.13,COL,0.12,5.07,67,1.27,Gabriel Hughes
3,14,8,3,2,14.2,0.2,ATH,0.12,8.87,69,1.27,Gage Jump
3,27,5,3,3,13.3,0.45,CLE,0.08,4.74,60,2.03,Gavin Williams
3,14,5,3,2,15.3,0.19,SEA,0.07,7.06,73,1.18,George Kirby
1,3,3,1,0,5.1,0.12,LAA,0.12,3.53,24,0,George Klassen
3,18,3,3,2,17.1,0.25,NYY,0.04,3.68,73,1.05,Gerrit Cole
1,4,0,1,0,3,0.44,STL,0,0,9,0,Gordon Graceffo
3,7,4,3,0,14,0.13,ATL,0.07,1.93,54,0,Grant Holmes
3,17,5,3,2,18.2,0.22,LAA,0.06,2.47,77,0.99,Grayson Rodriguez
1,1,2,1,0,2.2,0.06,TBR,0.12,12.27,17,0,Griffin Jax
3,15,7,3,0,17,0.24,HOU,0.11,0.53,63,0,Hayden Wesneski
2,14,4,2,1,11.4,0.29,HOU,0.08,1.58,49,0.79,Hunter Brown
1,3,3,1,0,4,0.16,STL,0.16,6.75,19,0,Hunter Dobbins
2,18,1,2,4,11.1,0.39,TBR,0.02,4.86,46,3.24,Ian Seymour
2,7,4,2,3,11,0.15,ATH,0.09,5.73,47,2.45,J.T. Ginn
1,5,4,1,1,5,0.23,ATH,0.18,1.8,22,1.8,Jack Perkins
2,8,5,2,2,9.1,0.19,DET,0.12,4.95,43,1.98,Jackson Jobe
2,8,7,2,0,11.2,0.17,WSN,0.15,3.21,47,0,Jackson Kent
3,22,6,3,2,17,0.31,ATH,0.09,2.12,70,1.06,Jacob Lopez
3,17,8,3,1,16,0.26,MIL,0.12,3.94,65,0.56,Jacob Misiorowski
1,1,1,1,0,1.1,0.17,DET,0.17,16.36,6,0,Jacob Waguespack
3,20,6,3,0,16.2,0.32,TEX,0.1,4.44,63,0,Jacob deGrom
2,13,1,2,1,13,0.26,BOS,0.02,2.08,50,0.69,Jake Bennett
3,15,9,3,3,14.1,0.22,WSN,0.13,4.47,67,1.91,Jake Irvin
2,4,2,2,0,8.4,0.11,MIA,0.06,2.14,36,0,Janson Junk
2,11,6,2,1,8.2,0.26,PIT,0.14,5.49,43,1.1,Jared Jones
1,3,2,1,2,3.2,0.13,BOS,0.09,22.5,23,5.62,Jedixson Paez
2,9,3,2,4,8.4,0.2,ATH,0.07,11.79,44,4.29,Jeffrey Springs
3,24,5,3,3,18.4,0.32,PHI,0.07,1.47,76,1.47,Jesús Luzardo
3,12,13,3,1,15.3,0.16,CLE,0.17,4.12,75,0.59,Joey Cantillo
1,1,2,1,0,0.2,0.2,CHW,0.4,135,5,0,Jordan Hicks
1,4,1,1,1,4.1,0.22,ARI,0.06,4.39,18,2.2,Jose Cabrera
2,13,5,2,1,12,0.25,TOR,0.1,6,52,0.75,José Soriano
1,2,4,1,0,3,0.1,CHW,0.19,15,21,0,José Urquidy
1,2,1,1,0,3,0.17,NYM,0.08,3,12,0,Justin Hagenman
2,8,5,2,2,9.3,0.2,SEA,0.12,4.84,41,1.94,Kade Anderson
1,3,1,1,0,5.1,0.14,DET,0.05,1.76,21,0,Keider Montero
2,13,3,2,2,12,0.28,CHC,0.06,3.75,47,1.5,Kevin Gausman
1,4,1,1,2,4,0.22,ARI,0.06,11.25,18,4.5,Kohl Drake
2,15,7,2,1,8.2,0.36,TEX,0.17,4.39,42,1.1,Kumar Rocker
3,13,6,3,4,14.3,0.18,BAL,0.08,7.55,71,2.52,Kyle Bradish
2,8,3,2,6,8.2,0.18,MIL,0.07,10.98,45,6.59,Kyle Harrison
2,7,3,2,1,7,0.24,STL,0.1,1.29,29,1.29,Kyle Leahy
2,3,3,2,1,4.1,0.18,PIT,0.18,4.39,17,2.2,Lake Bachar
3,9,8,3,1,15.1,0.14,SFG,0.12,2.98,66,0.6,Landen Roupp
2,9,3,2,2,10,0.2,SEA,0.07,4.5,44,1.8,Logan Gilbert
2,11,2,2,1,13,0.24,MIL,0.04,1.38,46,0.69,Logan Henderson
3,9,6,3,2,10.2,0.15,SFG,0.1,14.12,61,1.76,Logan Webb
2,4,2,2,4,6.2,0.11,CHW,0.05,11.61,38,5.81,Luis Castillo
3,15,9,3,0,14.3,0.22,TEX,0.13,3.15,67,0,MacKenzie Gore
2,8,5,2,1,9.2,0.18,ATL,0.11,1.96,44,0.98,Martín Pérez
2,10,5,2,2,9,0.26,COL,0.13,3,38,2,Mason Adams
1,0,2,1,0,0.2,0,TOR,0.5,0,4,0,Mason Fluharty
1,1,1,1,0,2,0.11,WSN,0.11,0,9,0,Matt Waldron
2,6,2,2,1,9.2,0.15,SFG,0.05,5.87,40,0.98,Matt Wilkinson
3,11,5,3,2,17.1,0.16,CHC,0.07,4.21,69,1.05,Matthew Boyd
2,16,3,2,4,9.2,0.33,STL,0.06,10.76,48,3.91,Matthew Liberatore
1,4,1,1,1,3.2,0.27,NYY,0.07,2.81,15,2.81,Max Fried
2,14,6,2,0,12,0.3,TOR,0.13,1.5,46,0,Max Scherzer
2,11,7,2,0,12.2,0.22,ARI,0.14,2.21,51,0,Merrill Kelly
2,13,5,2,0,13,0.25,SDP,0.1,0,52,0,Michael King
3,11,6,3,2,15.1,0.16,STL,0.09,8.34,70,1.19,Michael McGreevy
1,3,3,1,0,3.1,0.15,ARI,0.15,17.42,20,0,Michael Soroka
2,16,1,2,1,15,0.3,KCR,0.02,0.6,54,0.6,Michael Wacha
2,5,5,2,0,7.1,0.14,ARI,0.14,7.61,35,0,Mitch Bratt
3,12,6,3,4,13.1,0.18,CIN,0.09,8.24,67,2.75,Nick Lodolo
2,8,0,2,1,12,0.18,TBR,0,2.25,44,0.75,Nick Martinez
3,12,6,3,2,16,0.18,KCR,0.09,3.38,67,1.12,Noah Cameron
2,10,7,2,0,13,0.2,NYM,0.14,0,50,0,Nolan McLean
2,9,3,2,0,12,0.2,CLE,0.07,1.5,46,0,Parker Messick
3,15,9,3,3,14.3,0.22,BOS,0.13,3.78,67,1.89,Patrick Sandoval
2,8,3,2,1,10.2,0.17,PIT,0.07,4.41,46,0.88,Paul Skenes
2,13,4,2,2,10.3,0.28,BOS,0.09,5.24,47,1.75,Payton Tolle
3,14,10,3,1,12.6,0.19,HOU,0.14,9.29,72,0.71,Peter Lambert
2,10,2,2,0,10.2,0.21,STL,0.04,7.06,48,0,Quinn Mathews
3,15,7,3,3,16,0.21,KCR,0.1,5.06,71,1.69,Randy Dobnak
3,8,3,3,0,16.2,0.13,SDP,0.05,2.22,61,0,Randy Vásquez
2,6,6,2,1,10.1,0.12,BOS,0.12,6.24,49,0.89,Ranger Suarez
3,15,1,3,0,19,0.21,LAA,0.01,0.95,72,0,Reid Detmers
2,6,1,2,3,11,0.13,CIN,0.02,4.91,47,2.45,Rhett Lowder
2,9,5,2,2,11.1,0.2,SDP,0.11,2.43,44,1.62,Robbie Ray
2,8,6,2,0,7.3,0.21,MIL,0.15,7.4,39,0,Robert Gasser
2,6,2,2,1,9.1,0.14,NYM,0.05,6.92,44,0.99,Robert Stock
1,3,2,1,1,3.1,0.17,LAD,0.11,11.61,18,2.9,Roki Sasaki
1,3,3,1,0,4,0.18,HOU,0.18,0,17,0,Ronel Blanco
1,6,4,1,0,5.2,0.21,COL,0.14,8.65,28,0,Ryan Feltner
3,8,6,3,0,13.3,0.13,MIA,0.1,0.68,61,0,Ryan Gusto
2,5,7,2,0,12,0.11,LAA,0.16,0.75,45,0,Ryan Johnson
1,3,0,1,0,3.1,0.18,NYY,0,5.81,17,0,Ryan Weathers
2,9,3,2,0,13,0.16,MIA,0.05,3.46,56,0,Sandy Alcantara
3,13,12,3,2,14.2,0.2,CHW,0.19,3.8,64,1.27,Sean Burke
3,9,4,3,5,16.4,0.11,NYM,0.05,8.23,81,2.74,Sean Manaea
1,3,0,1,0,2,0.38,CHW,0,0,8,0,Sean Newcomb
2,7,3,2,2,8.2,0.16,KCR,0.07,10.98,43,2.2,Seth Lugo
2,7,6,2,0,10.4,0.15,BAL,0.13,4.33,46,0,Shane Baz
1,7,0,1,0,7,0.28,TOR,0,0,25,0,Shane Bieber
2,11,4,2,1,10,0.24,MIL,0.09,2.7,45,0.9,Shane Drohan
2,9,3,2,1,10.2,0.21,TBR,0.07,2.65,43,0.88,Shane McClanahan
2,8,3,2,4,7,0.21,CHC,0.08,9,38,5.14,Shota Imanaga
2,11,3,2,2,11,0.22,BOS,0.06,4.91,50,1.64,Sonny Gray
1,4,2,1,1,4,0.2,TOR,0.1,6.75,20,2.25,Spencer Arrighetti
2,1,0,2,0,3,0.08,TOR,0,0,12,0,Spencer Miles
2,20,4,2,2,13.2,0.36,MIN,0.07,3.41,55,1.36,Taj Bradley
2,11,3,2,1,12,0.22,CLE,0.06,2.25,51,0.75,Tanner Bibee
3,10,3,3,2,17.1,0.14,COL,0.04,3.68,71,1.05,Tanner Gordon
2,18,1,2,0,13,0.37,LAD,0.02,2.77,49,0,Tarik Skubal
1,1,1,1,0,1.2,0.17,ARI,0.17,0,6,0,Taylor Clarke
3,10,3,3,1,13,0.15,COL,0.04,9.69,68,0.69,Tomoyuki Sugano
3,24,2,3,3,18.2,0.32,BAL,0.03,5.44,74,1.48,Trevor Rogers
3,11,4,3,4,17.3,0.14,DET,0.05,5.72,78,2.08,Troy Melton
