pitcher_id,pitcher_name,pitcher_team,pitcher_hand,split_dimension,split_value,starts,avg_IP,ERA,K_pct,BB_pct,HR9,avg_pitches,ABQ_allowed,RCV_allowed,OBR_allowed,OSI_allowed,OOR_faced,PALS_faced,wRC_faced,FIP,xFIP,OPS,F5_ERA
434378.0,Justin Verlander,DET,R,osi_tier,Low,1,3.67,12.27,5.3,10.5,2.45,80.0,63.9,37.6,44.9,47.1,50.9,40.8,86.8,7.74,,1.127,14.4
434378.0,Justin Verlander,DET,R,abq_tier,Mid,1,3.67,12.27,5.3,10.5,2.45,80.0,63.9,37.6,44.9,47.1,50.9,40.8,86.8,7.74,,1.127,14.4
434378.0,Justin Verlander,DET,R,rcv_tier,Low,1,3.67,12.27,5.3,10.5,2.45,80.0,63.9,37.6,44.9,47.1,50.9,40.8,86.8,7.74,,1.127,14.4
434378.0,Justin Verlander,DET,R,obr_tier,Low,1,3.67,12.27,5.3,10.5,2.45,80.0,63.9,37.6,44.9,47.1,50.9,40.8,86.8,7.74,,1.127,14.4
434378.0,Justin Verlander,DET,R,hand,R,1,3.67,12.27,5.3,10.5,2.45,80.0,63.9,37.6,44.9,47.1,50.9,40.8,86.8,7.74,,1.127,14.4
434378.0,Justin Verlander,DET,R,location,away,1,3.67,12.27,5.3,10.5,2.45,80.0,63.9,37.6,44.9,47.1,50.9,40.8,86.8,7.74,,1.127,14.4
453286.0,Max Scherzer,TOR,R,osi_tier,High,2,2.33,5.79,25.0,16.7,1.93,55.5,60.0,82.5,81.7,76.5,92.6,63.6,112.6,5.89,,0.997,7.2
453286.0,Max Scherzer,TOR,R,osi_tier,Low,7,4.86,5.03,15.5,7.7,2.12,83.0,45.3,32.9,40.7,39.1,31.4,33.7,91.2,5.84,,0.997,4.37
453286.0,Max Scherzer,TOR,R,osi_tier,Mid,4,4.58,8.35,22.0,13.4,1.47,82.5,57.2,58.5,47.2,53.6,48.1,42.4,104.7,5.06,,0.997,7.65
453286.0,Max Scherzer,TOR,R,abq_tier,High,2,3.0,13.5,10.0,13.3,3.0,54.5,73.4,65.4,70.1,69.3,72.4,44.5,113.5,8.43,,0.997,11.7
