ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
12.27,7.74,2.45,1.13,7.69,5.3,FALSE,10.5,14.4,3.67,1,12.27,,50.6,86.8,19.7,0,434378,64.3,43.4,46.5,37.5,80,season,12.27,,R,Justin Verlander,DET,L14 file or pitcher row missing -- using season data.
6.16,5.59,1.89,0.77,4.98,18.5,TRUE,10.5,5.82,4.38,13,6,6.23,45.8,98.7,33.2,2,453286,51,47.8,48.9,48.7,78.6,L14,4.17,5.79,R,Max Scherzer,TOR,K% drift 11.9 pts (season 18.6 -> L14 30.4); BB% drift 2.6 pts (season 10.5 -> L14 13.0); HR/9 drift 1.89 (season 1.89 -> L14 0.00)
5.88,3.68,0.69,0.79,5.17,20,TRUE,10.4,5.4,4.33,6,8.64,4.58,56.5,107.3,41,2,476594,53.2,53,57.9,66.9,79.3,L14,1.8,7.56,R,Robert Stock,NYM,K% drift 6.4 pts (season 20.0 -> L14 13.6); BB% drift 5.9 pts (season 10.4 -> L14 4.5)
5.27,5.27,1.32,0.85,5.76,11,FALSE,9.4,5.2,4.56,9,6.75,4.03,46.8,99.7,32.4,0,500779,39.8,39.1,43.9,52.4,76.3,season,5.88,7.2,L,Jose Quintana,COL,L14 file or pitcher row missing -- using season data.
5.08,5.5,1.65,0.82,5.02,15.4,TRUE,10.4,5.54,5.67,25,4.35,6.1,48.7,102.1,34.1,2,518876,46,50.5,52.2,58.6,91.1,L14,4.4,7.04,R,Merrill Kelly,ARI,K% drift 6.2 pts (season 15.4 -> L14 21.6); BB% drift 3.3 pts (season 10.4 -> L14 13.7); HR/9 drift 1.65 (season 1.65 -> L14 0.00)
2.06,1.95,0.5,0.57,2.81,30.7,TRUE,4.9,2.17,6,24,2.71,1.45,47.1,97.1,36.4,2,519242,45.3,47.8,48.9,52.7,95,L14,2.29,0.82,L,Chris Sale,ATL,BB% drift 4.9 pts (season 4.9 -> L14 0.0); HR/9 drift 0.50 (season 0.50 -> L14 0.00)
3.14,4.12,0.81,0.66,4.22,17.1,FALSE,10.7,3.19,5.08,22,4.32,2.19,46.7,95.9,34,2,527048,44,48.7,48.9,52.7,80.7,L14,3.2,0.71,L,Martín Pérez,ATL,L14 rates within drift thresholds.
3.29,3.24,1.13,0.67,3.35,25.8,FALSE,5.2,2.7,5.78,18,3.23,3.35,50.8,103.1,40.8,3,543037,48.7,47.1,51,57.2,88.6,L14,4.78,2.31,R,Gerrit Cole,NYY,L14 rates within drift thresholds.
4.21,4.11,1.63,0.74,3.43,24.7,FALSE,5.8,4.5,6.03,22,4.42,3.9,43.8,100.3,38.6,0,543135,40.2,43.1,46.8,55.7,91.2,season,4.1,0.6,R,Nathan Eovaldi,TEX,L14 file or pitcher row missing -- using season data.
2.82,3.45,0.94,0.68,3.63,21.8,TRUE,6.3,3.17,5.75,25,2.87,2.77,41.1,100.5,38.5,2,543243,43,38.6,44.4,52.1,84.5,L14,3.21,1.35,R,Sonny Gray,BOS,HR/9 drift 0.70 (season 0.94 -> L14 1.64)
7.14,5.14,1.49,0.94,5.06,14.7,FALSE,8.8,7.13,4.59,25,5.7,9.12,48.8,101.9,31.7,0,547179,38.5,40.6,44.5,53.3,87.1,season,8.06,4.74,R,Michael Lorenzen,COL,L14 file or pitcher row missing -- using season data.
3.31,3.58,1.31,0.66,3.09,29.4,TRUE,7.8,3.21,5.67,23,3.38,3.23,45.2,100.8,37.9,2,554430,43.7,43.2,47.7,55.7,93.7,L14,3.52,4.15,R,Zack Wheeler,PHI,K% drift 9.4 pts (season 29.4 -> L14 20.0); BB% drift 8.2 pts (season 7.8 -> L14 16.0); HR/9 drift 2.29 (season 1.31 -> L14 3.60)
4.05,4.37,1.32,0.71,4.24,18.7,FALSE,7.3,4.2,5.69,18,2.83,5.4,49.7,98.1,34.7,3,571510,45.1,49.1,50.5,56,89.3,L14,3.68,8.71,L,Matthew Boyd,CHC,L14 rates within drift thresholds.
5.09,4.41,1.17,0.84,4.43,16.7,FALSE,7.7,4.56,4.6,15,3.92,6.6,50.9,97.8,41,0,571578,48.8,50.8,53.6,60.2,81.1,season,6.88,4.76,L,Patrick Corbin,TOR,L14 file or pitcher row missing -- using season data.
5.36,5.13,1.72,0.75,4.44,19.2,FALSE,8.6,5.24,4.27,11,5.13,5.66,52.2,97.4,42.2,0,571927,40.1,55.9,55,64.5,73.1,season,1.5,,L,Steven Matz,TBR,L14 file or pitcher row missing -- using season data.
8.32,5.72,2.72,0.85,4.77,12.2,FALSE,6.1,8.67,4.82,11,7.12,9.93,50.8,97.9,33.9,0,571945,47.8,52,50.9,52,82.6,season,7.79,14.46,R,Miles Mikolas,WSN,L14 file or pitcher row missing -- using season data.
54,3.51,27,0.81,3.49,0,FALSE,0,9,0.33,1,54,,48,95.7,53.9,0,572143,61.2,46,52.4,53.2,11,season,,,R,Burch Smith,DET,L14 file or pitcher row missing -- using season data.
5.65,4.33,1.47,0.84,3.86,22.4,TRUE,8.3,6,4.78,9,7.56,3,50.1,100,43.6,2,579328,42.7,46.8,50.9,61.3,83.1,L14,5.01,8.44,L,Yusei Kikuchi,LAA,BB% drift 4.3 pts (season 8.3 -> L14 4.0); HR/9 drift 1.53 (season 1.47 -> L14 3.00)
3.6,3.3,0,0.86,5.27,17.4,FALSE,13,3.6,5,1,,3.6,52,94.5,38.4,0,592288,36.2,44.6,43.5,47.5,96,season,3.6,,L,Kent Emanuel,CIN,L14 file or pitcher row missing -- using season data.
4.52,3.6,1.16,0.72,3.52,23.8,TRUE,6.6,4.95,5.55,28,4.95,4.14,51.2,101.4,36.5,2,592332,50.5,50.2,52.7,57.2,93.2,L14,3.48,7.12,R,Kevin Gausman,CHC,HR/9 drift 0.34 (season 1.16 -> L14 1.50)
3.28,4.62,1.26,0.7,5.03,19.7,TRUE,11.9,3.81,5.49,26,3.98,2.72,46.4,97.5,33.8,2,592662,43.1,46.7,48.6,54.7,93.3,L14,2.01,4.64,L,Robbie Ray,SDP,HR/9 drift 0.41 (season 1.21 -> L14 1.62)
5.68,6.48,2.79,0.85,4.89,20.7,FALSE,8.8,5.61,4.94,17,7.19,4.22,44.7,102.9,30.6,0,592791,40,43.6,48.5,60.1,83.2,season,3.06,7.2,R,Jameson Taillon,TOR,L14 file or pitcher row missing -- using season data.
9.16,7.64,2.89,1.07,5.83,17,FALSE,10.6,9,4.67,4,7.2,9.88,46.3,98.6,32.6,0,592836,48.3,45.5,46.8,47.2,90,season,5.4,11.57,R,Taijuan Walker,PHI,L14 file or pitcher row missing -- using season data.
2.59,3.72,0.75,0.66,4.53,17.8,TRUE,8,2.96,5.96,28,2.54,2.62,52.8,97.9,37,3,593958,43.7,53.9,52.7,57.7,95.6,L14,2,2.28,L,Eduardo Rodriguez,ARI,K% drift 4.1 pts (season 17.8 -> L14 21.9); BB% drift 2.9 pts (season 8.0 -> L14 11.0); HR/9 drift 0.75 (season 0.75 -> L14 0.00)
1.8,3.96,0,0.74,4.12,21.1,FALSE,5.3,6.48,1,5,2.25,0,54.4,97.5,38.8,0,593974,51.3,55.3,54.2,55.2,12.4,season,0,0,L,Wandy Peralta,SDP,L14 file or pitcher row missing -- using season data.
4,3.08,1.11,0.64,3.05,29.8,TRUE,6.6,4.43,5.28,26,5.86,2.42,50.4,102.2,39.3,3,594798,39.8,47.7,49.9,59.7,88.1,L14,3.76,2.3,R,Jacob deGrom,TEX,BB% drift 2.9 pts (season 6.6 -> L14 9.5); HR/9 drift 1.11 (season 1.11 -> L14 0.00)
13.5,3.06,0,0.57,3.86,16.7,FALSE,16.7,14.4,0.67,1,,13.5,98.5,102.3,57.3,0,595345,61.7,86.2,71.4,61.5,20,season,,13.5,L,Steven Okert,HOU,L14 file or pitcher row missing -- using season data.
3.38,3.21,0,0.6,4.29,20,FALSE,0,1.8,2.67,1,,3.38,50.6,86.8,19.7,0,596001,59.5,40.2,43.1,34.7,31,season,3.38,,R,Jakob Junis,TEX,L14 file or pitcher row missing -- using season data.
