team,pitcher_hand,games,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
ARI,L,22,341,299,81,127,33,3,72,8,21.11437,9.67742,0.2709,0.34615,0.42475,0.15385,0.3392,2.34604,2026-08-05,2026-09-04
ARI,R,27,671,600,142,240,57,5,125,20,18.62891,8.49478,0.23667,0.30585,0.4,0.16333,0.31027,2.98063,2026-08-05,2026-09-04
ATH,L,21,342,313,80,135,25,3,84,14,24.5614,7.30994,0.25559,0.31672,0.43131,0.17572,0.32988,4.09357,2026-08-05,2026-09-04
ATH,R,26,668,597,149,239,55,10,133,18,19.91018,8.23353,0.24958,0.32132,0.40034,0.15075,0.32002,2.69461,2026-08-05,2026-09-04
ATL,L,23,255,234,59,99,18,0,53,9,20.78431,7.05882,0.25214,0.30315,0.42308,0.17094,0.31648,3.52941,2026-08-05,2026-09-04
ATL,R,27,727,667,165,252,52,3,184,17,25.30949,7.15268,0.24738,0.30345,0.37781,0.13043,0.30061,2.33838,2026-08-05,2026-09-04
BAL,L,25,366,333,85,153,29,2,99,18,27.04918,7.9235,0.25526,0.31694,0.45946,0.2042,0.33742,4.91803,2026-08-05,2026-09-04
BAL,R,28,695,622,139,246,59,10,164,25,23.59712,8.48921,0.22347,0.30014,0.3955,0.17203,0.3065,3.59712,2026-08-05,2026-09-04
BOS,L,26,247,222,54,89,21,3,51,6,20.64777,8.50202,0.24324,0.31579,0.4009,0.15766,0.31577,2.42915,2026-08-05,2026-09-04
BOS,R,29,905,780,212,349,90,14,167,26,18.45304,9.94475,0.27179,0.35189,0.44744,0.17564,0.34845,2.87293,2026-08-05,2026-09-04
CHC,L,22,273,243,68,135,26,1,52,17,19.04762,9.52381,0.27984,0.35055,0.55556,0.27572,0.38941,6.22711,2026-08-05,2026-09-04
CHC,R,27,797,708,184,341,72,10,162,40,20.32622,9.03388,0.25989,0.33375,0.48164,0.22175,0.35344,5.01882,2026-08-05,2026-09-04
CHW,L,24,324,278,67,137,40,5,78,17,24.07407,12.34568,0.24101,0.34675,0.49281,0.2518,0.36523,5.24691,2026-08-05,2026-09-04
CHW,R,28,775,674,153,242,86,12,184,18,23.74194,11.09677,0.227,0.32429,0.35905,0.13205,0.30798,2.32258,2026-08-05,2026-09-04
CIN,L,20,260,235,54,81,23,0,66,7,25.38462,8.84615,0.22979,0.29615,0.34468,0.11489,0.28411,2.69231,2026-08-05,2026-09-04
CIN,R,28,768,681,150,277,64,12,199,34,25.91146,8.33333,0.22026,0.29465,0.40675,0.18649,0.30888,4.42708,2026-08-05,2026-09-04
CLE,L,25,265,233,59,92,29,3,50,6,18.86792,10.9434,0.25322,0.3434,0.39485,0.14163,0.32924,2.26415,2026-08-05,2026-09-04
CLE,R,26,753,672,174,248,61,7,132,15,17.52988,8.10093,0.25893,0.32224,0.36905,0.11012,0.30725,1.99203,2026-08-05,2026-09-04
COL,L,24,375,334,77,123,34,3,92,8,24.53333,9.06667,0.23054,0.30481,0.36826,0.13772,0.29885,2.13333,2026-08-05,2026-09-04
COL,R,26,622,547,135,214,62,7,139,16,22.34727,9.96785,0.2468,0.3285,0.39122,0.14442,0.31989,2.57235,2026-08-05,2026-09-04
DET,L,21,305,278,61,96,19,6,77,4,25.2459,6.22951,0.21942,0.28383,0.34532,0.1259,0.2785,1.31148,2026-08-05,2026-09-04
DET,R,26,676,600,129,196,62,12,141,12,20.85799,9.1716,0.215,0.3003,0.32667,0.11167,0.28352,1.77515,2026-08-05,2026-09-04
HOU,L,23,243,218,55,89,17,4,50,7,20.57613,6.99588,0.25229,0.31405,0.40826,0.15596,0.31781,2.88066,2026-08-05,2026-09-04
HOU,R,25,712,636,127,228,62,7,161,22,22.61236,8.70787,0.19969,0.27567,0.35849,0.15881,0.27752,3.08989,2026-08-05,2026-09-04
KCR,L,23,364,324,82,136,30,3,82,10,22.52747,8.24176,0.25309,0.31944,0.41975,0.16667,0.3209,2.74725,2026-08-05,2026-09-04
KCR,R,27,645,576,150,244,60,4,109,21,16.89922,9.30233,0.26042,0.33333,0.42361,0.16319,0.33364,3.25581,2026-08-05,2026-09-04
LAA,L,22,348,313,63,93,22,7,77,5,22.12644,6.32184,0.20128,0.26667,0.29712,0.09585,0.25257,1.43678,2026-08-05,2026-09-04
LAA,R,26,655,580,132,197,52,11,173,12,26.41221,7.93893,0.22759,0.30233,0.33966,0.11207,0.28835,1.83206,2026-08-05,2026-09-04
LAD,L,22,322,292,74,127,22,7,71,12,22.04969,6.8323,0.25342,0.31988,0.43493,0.18151,0.33128,3.72671,2026-08-05,2026-09-04
LAD,R,24,641,561,132,201,66,8,133,13,20.74883,10.29641,0.23529,0.32238,0.35829,0.12299,0.30403,2.02808,2026-08-05,2026-09-04
MIA,L,22,332,287,65,94,35,6,76,4,22.89157,10.54217,0.22648,0.31928,0.32753,0.10105,0.29386,1.20482,2026-08-05,2026-09-04
MIA,R,27,701,615,151,241,70,10,159,22,22.68188,9.98573,0.24553,0.33095,0.39187,0.14634,0.32207,3.13837,2026-08-05,2026-09-04
MIL,L,27,432,383,101,160,39,3,93,13,21.52778,9.02778,0.26371,0.33411,0.41775,0.15405,0.32979,3.00926,2026-08-05,2026-09-04
MIL,R,27,662,575,155,227,73,7,159,15,24.01813,11.02719,0.26957,0.35498,0.39478,0.12522,0.33338,2.26586,2026-08-05,2026-09-04
MIN,L,22,333,301,85,123,23,7,74,5,22.22222,6.90691,0.28239,0.34639,0.40864,0.12625,0.33432,1.5015,2026-08-05,2026-09-04
MIN,R,26,669,588,142,243,60,13,119,24,17.78774,8.96861,0.2415,0.32234,0.41327,0.17177,0.32555,3.58744,2026-08-05,2026-09-04
NYM,L,24,320,293,65,110,25,1,82,10,25.625,7.8125,0.22184,0.28437,0.37543,0.15358,0.29237,3.125,2026-08-05,2026-09-04
NYM,R,26,657,592,157,263,55,5,147,24,22.37443,8.37139,0.2652,0.3313,0.44426,0.17905,0.34015,3.65297,2026-08-05,2026-09-04
NYY,L,25,279,248,69,101,26,2,69,6,24.73118,9.319,0.27823,0.34892,0.40726,0.12903,0.33308,2.15054,2026-08-05,2026-09-04
NYY,R,26,683,601,137,229,64,9,183,22,26.79356,9.37042,0.22795,0.30792,0.38103,0.15308,0.30595,3.22108,2026-08-05,2026-09-04
PHI,L,23,260,226,66,90,28,1,38,4,14.61538,10.76923,0.29204,0.3668,0.39823,0.10619,0.33911,1.53846,2026-08-05,2026-09-04
PHI,R,26,765,663,169,262,84,4,129,17,16.86275,10.98039,0.2549,0.33816,0.39517,0.14027,0.32301,2.22222,2026-08-05,2026-09-04
PIT,L,22,405,360,80,127,34,6,120,10,29.62963,8.39506,0.22222,0.29851,0.35278,0.13056,0.29132,2.46914,2026-08-05,2026-09-04
PIT,R,24,578,508,122,177,55,11,132,12,22.83737,9.51557,0.24016,0.32639,0.34843,0.10827,0.30449,2.07612,2026-08-05,2026-09-04
SDP,L,23,316,280,68,119,30,2,74,13,23.41772,9.49367,0.24286,0.31646,0.425,0.18214,0.32444,4.11392,2026-08-05,2026-09-04
SDP,R,26,667,581,140,225,69,8,130,19,19.49025,10.34483,0.24096,0.32779,0.38726,0.1463,0.31786,2.84858,2026-08-05,2026-09-04
SEA,L,25,430,381,74,118,40,8,114,11,26.51163,9.30233,0.19423,0.28438,0.30971,0.11549,0.27191,2.55814,2026-08-05,2026-09-04
SEA,R,26,547,483,120,204,54,5,125,19,22.85192,9.87203,0.24845,0.32784,0.42236,0.17391,0.32985,3.47349,2026-08-05,2026-09-04
