ops,team,wins,woba,games,win_pct,vs_sp_pa,wrc_plus,qs_against,sp_k9_faced,sp_bb9_faced,sp_whip_faced,sp_xfip_faced,qs_against_pct,opp_starter_hand,pitch_score_against
0.84,ARI,5,0.36,10,0.5,208,111,3,6.7,2.8,1.39,4.23,0.3,R,42.2
,ARI,,,,,,,,,,,,,L,
0.81,ATH,4,0.35,10,0.4,212,111,0,6.9,3.9,1.51,4.5,0,R,40.6
,ATH,,,,,,,,,,,,,L,
0.58,ATL,3,0.26,10,0.3,227,80,5,8,2.1,1.03,3.94,0.5,R,43.3
,ATL,,,,,,,,,,,,,L,
0.64,BAL,5,0.27,10,0.5,205,86,4,8.3,2,0.91,4.26,0.4,R,42.6
,BAL,,,,,,,,,,,,,L,
0.8,BOS,6,0.34,10,0.6,194,108,1,7.9,3.9,1.33,4.69,0.1,R,41.7
,BOS,,,,,,,,,,,,,L,
0.72,CHC,5,0.31,10,0.5,192,98,2,8.6,4.3,1.14,3.96,0.2,R,43.5
,CHC,,,,,,,,,,,,,L,
0.8,CHW,6,0.34,10,0.6,226,108,3,7.7,3.9,1.29,3.87,0.3,R,43
,CHW,,,,,,,,,,,,,L,
0.66,CIN,4,0.29,10,0.4,215,91,3,7.6,3.2,1.18,4.44,0.3,R,41.9
,CIN,,,,,,,,,,,,,L,
0.81,CLE,7,0.35,10,0.7,217,110,3,3.5,3.4,1.53,4.33,0.3,R,41.8
,CLE,,,,,,,,,,,,,L,
0.72,COL,3,0.32,10,0.3,224,98,3,7.6,3.9,1.27,4.08,0.3,R,42.7
,COL,,,,,,,,,,,,,L,
0.66,DET,2,0.29,10,0.2,200,91,2,6.1,2.9,1.08,3.94,0.2,R,43.8
,DET,,,,,,,,,,,,,L,
0.63,HOU,4,0.27,10,0.4,213,86,6,8.5,2.7,1.02,4.83,0.6,R,41.4
,HOU,,,,,,,,,,,,,L,
0.77,KCR,8,0.33,10,0.8,191,104,2,7.2,3.2,1.22,4.38,0.2,R,41.9
,KCR,,,,,,,,,,,,,L,
0.63,LAA,6,0.28,10,0.6,212,87,3,8.2,1.8,1.09,4.56,0.3,R,41.9
,LAA,,,,,,,,,,,,,L,
0.81,LAD,7,0.34,10,0.7,211,108,3,8.3,3.7,1.35,3.98,0.3,R,43.3
,LAD,,,,,,,,,,,,,L,
0.62,MIA,5,0.28,10,0.5,225,86,5,8.1,2.7,1,3.87,0.5,R,42.6
,MIA,,,,,,,,,,,,,L,
0.75,MIL,7,0.33,10,0.7,232,103,4,7.8,3.8,1.48,3.56,0.4,R,44.1
,MIL,,,,,,,,,,,,,L,
0.81,MIN,3,0.35,10,0.3,227,109,5,6.2,2.5,1.3,4.26,0.5,R,42.2
,MIN,,,,,,,,,,,,,L,
0.7,NYM,6,0.3,10,0.6,196,94,4,6.8,2.7,1.08,4.16,0.4,R,43.2
,NYM,,,,,,,,,,,,,L,
0.67,NYY,6,0.3,10,0.6,202,92,5,9.3,3.4,1.09,3.76,0.5,R,42.9
,NYY,,,,,,,,,,,,,L,
0.85,PHI,8,0.37,10,0.8,202,115,2,6.5,4.2,1.64,4.01,0.2,R,42.4
,PHI,,,,,,,,,,,,,L,
0.66,PIT,5,0.29,10,0.5,236,92,4,9.5,2.9,1.19,3.69,0.4,R,43.4
,PIT,,,,,,,,,,,,,L,
0.75,SDP,7,0.33,10,0.7,234,103,4,8.2,4.4,1.35,3.9,0.4,R,42.9
,SDP,,,,,,,,,,,,,L,
0.78,SEA,6,0.34,10,0.6,202,107,1,9.8,4.6,1.56,4.02,0.1,R,43
,SEA,,,,,,,,,,,,,L,
0.73,SFG,2,0.32,10,0.2,223,98,4,7.6,2.6,1.12,3.88,0.4,R,41.4
,SFG,,,,,,,,,,,,,L,
0.71,STL,4,0.31,10,0.4,248,96,3,7.5,1.7,1.01,4.11,0.3,R,42.2
,STL,,,,,,,,,,,,,L,
0.84,TBR,4,0.36,10,0.4,240,113,4,5.4,2.6,1.43,4.55,0.4,R,41.5
,TBR,,,,,,,,,,,,,L,
0.63,TEX,4,0.28,10,0.4,227,87,6,7.8,2.9,1.08,4.72,0.6,R,40.7
,TEX,,,,,,,,,,,,,L,
0.73,TOR,6,0.32,10,0.6,228,100,4,7.3,2.6,1.31,3.49,0.4,R,44.9
,TOR,,,,,,,,,,,,,L,
0.61,WSN,2,0.27,10,0.2,220,84,3,8.1,2.2,0.97,4.13,0.3,R,42.9
,WSN,,,,,,,,,,,,,L,
