team,record_placeholder,osi,abq,rcv,obr,proj_osi,pals,oor,pp_gap,osi_vs_rhp,osi_vs_lhp,abq_vs_rhp,rcv_vs_rhp,obr_vs_rhp,abq_vs_lhp,rcv_vs_lhp,obr_vs_lhp,platoon_gap,platoon_sensitive,avg_pitching_score,avg_ip_per_start,team_k_pct,team_bb_pct,team_era,top_3_sp,bullpen_era,bullpen_osi_allowed,bullpen_high_lev_era,bullpen_ir_scored_pct,closer_name,primary_setup,top_batters,home_osi,away_osi,home_abq,home_rcv,home_obr,away_abq,away_rcv,away_obr,home_wrc,home_woba,home_slg,away_wrc,away_woba,away_slg,home_away_osi_gap,osi_ytd,osi_l30,osi_l14,osi_l7,abq_ytd,abq_l30,abq_l14,abq_l7,rcv_ytd,rcv_l30,rcv_l14,rcv_l7,obr_ytd,obr_l30,obr_l14,obr_l7,window_direction
ARI,--,50.23,64.54,46.67,44.41,48.3,40.8,50.94967352899931,0.4,47.09366030469327,58.29870380871071,63.88771091591162,37.56164803676967,44.937889407114966,66.22780395937984,70.07366219848805,43.03992762348734,-11.2,True,47.3,5.44,17.0,7.9,4.64,"[{""name"": ""Michael Soroka"", ""pitch_score"": 51.7}, {""name"": ""Ryne Nelson"", ""pitch_score"": 46.6}, {""name"": ""Brandon Pfaadt"", ""pitch_score"": 46.1}]",3.19,52.4,3.18,25.4,Brandyn Garcia,Jonathan Loáisiga;Taylor Clarke,,,,,,,,,,,,,,,,,50.23,43.3,46.2,46.2,64.54,61.3,63.5,63.5,46.67,38.0,38.1,38.1,44.41,36.7,42.5,42.5,stable
ATH,--,51.55,39.63,67.39,45.15,43.75,24.5,47.08776739468468,-8.0,54.119754946540965,44.95012467827991,43.41214625267916,66.67443584429498,49.82666459466984,29.899324652524317,69.23202214608443,33.11021441004819,9.2,True,19.8,4.88,20.1,9.9,7.28,"[{""name"": ""Jack Perkins"", ""pitch_score"": 51.1}, {""name"": ""Gage Jump"", ""pitch_score"": 50.8}, {""name"": ""Luis Medina"", ""pitch_score"": 50.7}]",4.43,49.2,4.75,37.6,Jack Perkins,José Suarez;Luis Medina;Brady Basso,,,,,,,,,,,,,,,,,51.55,50.6,52.4,52.4,39.63,43.4,43.2,43.2,67.39,65.8,66.9,66.9,45.15,41.9,45.5,45.5,stable
ATL,--,50.7,50.81,59.51,42.92,44.56,69.8,45.53882554922972,-8.0,53.26063320988199,44.11436703274929,52.447611223457336,62.73485464075513,45.478828199383386,46.59606087016248,51.22320845848155,36.34307213685033,9.1,True,60.5,5.33,22.5,13.5,7.03,"[{""name"": ""Chris Sale"", ""pitch_score"": 55.0}, {""name"": ""Didier Fuentes"", ""pitch_score"": 53.7}, {""name"": ""Spencer Strider"", ""pitch_score"": 50.3}]",2.55,51.4,2.88,24.5,Didier Fuentes,Brent Suter;Dylan Lee;Dylan Dodd,"[{""player_name"": ""Matt Olson"", ""OSI"": 51.9, ""trend"": ""falling"", ""position"": ""1B""}]",41.3,48.7,27.0,44.8,47.3,10.8,65.7,57.4,107.0,0.4,0.5,113.0,0.4,0.5,-7.4,50.7,44.4,37.5,59.1,50.81,35.6,50.8,71.1,59.51,46.3,41.7,45.6,42.92,46.6,46.6,54.1,rising
BAL,--,55.87,33.46,67.87,59.38,50.31,57.2,56.88077669326532,-6.0,56.70463899194887,53.73198204876781,35.07140097589109,66.92848857311424,61.279544368465295,29.33183019966421,70.30607537010295,54.47974529828932,3.0,False,50.3,5.35,25.6,8.5,4.58,"[{""name"": ""Zach Eflin"", ""pitch_score"": 58.2}, {""name"": ""Dean Kremer"", ""pitch_score"": 49.8}, {""name"": ""Kyle Bradish"", ""pitch_score"": 48.8}]",3.5,51.5,3.91,28.1,Anthony Nunez,Grant Wolfram;Josh Walker;Alex Hoppe,"[{""player_name"": ""Gunnar Henderson"", ""OSI"": 26.0, ""trend"": ""rising"", ""position"": ""SS""}]",24.9,29.2,32.2,35.7,11.0,24.0,46.3,17.6,69.0,0.3,0.4,86.0,0.3,0.4,-4.3,55.87,78.2,78.2,78.2,33.46,46.8,46.8,46.8,67.87,95.0,90.6,95.0,59.38,83.1,83.1,83.1,rising
BOS,--,44.4,48.38,28.84,55.52,45.89,28.1,43.28842042798102,5.2,38.53922446037295,59.45462958104784,46.08281008143338,17.88932076219489,51.89314918311599,54.27668332437735,56.989888955809135,64.84749403855076,-20.9,True,74.1,5.26,22.1,7.4,7.51,"[{""name"": ""Ranger Suarez"", ""pitch_score"": 52.8}, {""name"": ""Payton Tolle"", ""pitch_score"": 52.3}, {""name"": ""Garrett Crochet"", ""pitch_score"": 51.8}]",2.1,51.3,1.48,34.7,Garrett Whitlock,Tyron Guerrero;Jovani Morán;Greg Weissert,,,,,,,,,,,,,,,,,44.4,34.1,38.5,38.5,48.38,44.1,46.9,46.9,28.84,18.1,19.4,19.4,55.52,41.9,50.0,50.0,stable
CHC,--,70.67,58.41,64.92,83.36,64.34,59.5,86.01946339995376,-5.7,69.55953478856782,73.51742733239666,58.85935519045637,61.01081648572053,83.72727555237884,57.242647717736766,74.98115457022176,82.40840325846216,-4.0,False,46.7,5.17,20.7,5.8,4.51,"[{""name"": ""Riley Martin"", ""pitch_score"": 56.0}, {""name"": ""Ben Brown"", ""pitch_score"": 51.7}, {""name"": ""Shota Imanaga"", ""pitch_score"": 50.3}]",3.57,49.7,3.26,22.1,Daniel Palencia,Ryan Rolison,"[{""player_name"": ""Pete Crow-Armstrong"", ""OSI"": 54.5, ""trend"": ""stable"", ""position"": ""CF""}, {""player_name"": ""Michael Busch"", ""OSI"": 34.3, ""trend"": ""falling"", ""position"": ""1B""}, {""player_name"": ""Alex Bregman"", ""OSI"": 25.0, ""trend"": ""rising"", ""position"": ""3B""}]",36.2,41.1,36.6,35.7,36.5,30.7,42.0,46.9,104.2,0.4,0.5,103.2,0.4,0.5,-4.9,70.67,71.2,70.3,71.4,58.41,45.4,55.7,53.5,64.92,83.6,77.4,80.2,83.36,75.9,71.9,74.3,stable
CHW,--,57.17,34.87,80.97,50.27,50.85,71.4,59.23612085196518,-6.9,58.00509888982032,55.010138081701925,35.991892460742946,81.38213142973723,51.30844943556638,31.996695498808588,79.91618382617493,47.60074966959638,3.0,False,53.9,4.35,22.2,10.0,6.13,"[{""name"": ""Grant Taylor"", ""pitch_score"": 57.0}, {""name"": ""Sean Burke"", ""pitch_score"": 52.5}, {""name"": ""Sean Newcomb"", ""pitch_score"": 50.1}]",3.22,50.9,2.4,27.7,Grant Taylor,Jordan Hicks,"[{""player_name"": ""Miguel Vargas"", ""OSI"": 73.6, ""trend"": ""falling"", ""position"": ""3B""}]",80.5,78.4,56.7,82.6,93.5,44.0,82.7,96.2,118.0,0.4,0.5,101.0,0.3,0.5,2.1,57.17,55.0,53.7,51.6,34.87,27.7,35.3,28.9,80.97,80.1,66.5,65.1,50.27,50.3,50.3,50.3,stable
CIN,--,44.4,39.64,39.11,52.01,42.36,33.5,43.16533018172299,0.3,38.6683836996349,59.14563085336957,36.72242090943704,30.17269515643722,47.31833791880652,47.15318526712964,62.08655760880765,64.06759843376119,-20.5,True,27.7,5.16,19.1,11.7,7.82,"[{""name"": ""Hunter Greene"", ""pitch_score"": 54.6}, {""name"": ""Chase Burns"", ""pitch_score"": 52.5}, {""name"": ""Brady Singer"", ""pitch_score"": 47.5}]",3.85,51.5,4.05,27.5,Julian Garcia,Pierce Johnson;Sam Moll;Tejay Antone;Luis Mey,"[{""player_name"": ""Sal Stewart"", ""OSI"": 30.3, ""trend"": ""stable"", ""position"": ""1B""}]",34.4,32.2,27.9,24.3,47.2,28.3,33.3,33.6,101.0,0.4,0.5,103.0,0.4,0.5,2.2,44.4,41.4,45.8,62.2,39.64,27.7,42.0,50.0,39.11,41.6,37.2,54.8,52.01,50.9,55.7,63.5,rising
CLE,--,46.49,56.18,41.02,45.22,45.62,36.3,41.57317048047787,-2.5,45.66513262604221,48.60461573426507,55.28480654560661,43.252089389606525,41.76424925819568,58.46967462726,35.26326549242115,54.11263538775666,-2.9,False,67.9,5.5,22.5,9.4,4.03,"[{""name"": ""Gavin Williams"", ""pitch_score"": 55.0}, {""name"": ""Logan Allen"", ""pitch_score"": 51.6}, {""name"": ""Parker Messick"", ""pitch_score"": 51.3}]",2.98,49.9,3.21,21.3,Cade Smith,Matt Festa;Colin Holderman;Erik Sabrowski;Tim Herrin;Hunter Gaddis,,,,,,,,,,,,,,,,,46.49,42.4,44.9,44.9,56.18,51.3,55.1,55.1,41.02,43.9,43.2,43.2,45.22,35.6,39.9,39.9,stable
COL,--,28.05,34.56,9.83,39.93,21.34,14.4,3.659314610607821,-8.0,31.11233073504075,20.19033437930509,37.682593132891135,13.545326926035496,42.37704506926385,26.532289681916875,0.28839492332007,33.64080933915962,10.9,True,16.2,4.71,17.0,10.3,9.56,"[{""name"": ""Gabriel Hughes"", ""pitch_score"": 51.7}, {""name"": ""Chase Dollander"", ""pitch_score"": 50.2}, {""name"": ""Tanner Gordon"", ""pitch_score"": 48.9}]",4.72,53.4,4.69,29.1,Zach Agnos,Brennan Bernardino,,,,,,,,,,,,,,,,,28.05,27.2,29.0,29.0,34.56,36.3,37.3,37.3,9.83,13.3,13.0,13.0,39.93,33.7,37.8,37.8,stable
