Game_PK,MLB_Game_PK,Game_Number,Slate_Date,Time,Away,Home,Away_SP,Home_SP,Away_Hand,Home_Hand,Away_OSI,Home_OSI,Away_FIP,Home_FIP,Away_HR9,Home_HR9,Away_K%,Home_K%
3264116743,824424,1,2026-09-04,2:10 PM ET,DET,CLE,Keider Montero,Logan Allen,R,L,51.7,51.3,3.76,4.57,1.01,0,15.3,15.8
454809794,824387,2,2026-09-04,7:15 PM ET,DET,CLE,Andrew Sears,Foster Griffin,L,L,51.7,51.3,,3.99,,1.34,,22.1
2598439969,824471,1,2026-09-04,6:10 PM ET,MIL,CIN,Shane Drohan,Rhett Lowder,L,R,49.6,47.2,3.29,4.54,0.97,1.29,23.1,18.2
2065092315,823418,1,2026-09-04,6:40 PM ET,ATL,PHI,Chris Sale,Cristopher Sánchez,L,L,47,49.1,1.95,2.5,0.5,0.72,30.7,27.8
3411518746,823338,1,2026-09-04,6:45 PM ET,LAA,PIT,Ryan Johnson,Jared Jones,R,R,50.7,54.1,6.03,4.08,1.87,1.49,16.9,26.6
2136284821,824797,1,2026-09-04,7:05 PM ET,BOS,BAL,Ranger Suarez,Shane Baz,L,R,43,50.5,2.96,3.29,0.58,0.63,23.1,20.8
4036344014,823579,1,2026-09-04,7:10 PM ET,SFG,NYM,Matt Wilkinson,Nolan McLean,L,R,50.5,49.7,3.7,3.32,0.77,0.87,12.8,26.7
435356563,823824,1,2026-09-04,7:10 PM ET,CHC,MIA,Shota Imanaga,Janson Junk,L,R,48.3,52.7,4.68,4.07,1.98,1.06,24,16.2
2639382208,824554,1,2026-09-04,7:40 PM ET,MIN,CHW,Zebby Matthews,Erick Fedde,R,R,49,55.4,4.5,5.09,1.53,2.15,19.9,17.5
2629321652,822852,1,2026-09-04,8:05 PM ET,TBR,TEX,Nick Martinez,Trevor Williams,R,R,51.5,43.4,3.87,,1.05,,14.7,
752524022,824146,1,2026-09-04,8:10 PM ET,ARI,HOU,Merrill Kelly,Cristian Javier,R,R,49.5,48.9,5.5,4.82,1.65,2.01,15.4,16.9
2178153151,824067,1,2026-09-04,8:10 PM ET,TOR,KCR,Jameson Taillon,Daniel Lynch IV,R,L,45.4,53.2,6.48,3.59,2.79,1.72,20.7,16.4
2853977181,824311,1,2026-09-04,8:40 PM ET,STL,COL,Andre Pallante,Ryan Feltner,R,R,49.2,35.9,3.53,5.36,0.66,1.75,17.2,16.1
1398336651,823256,1,2026-09-04,9:40 PM ET,NYY,SDP,Max Fried,Walker Buehler,L,R,44.5,54.6,2.62,4.21,0.3,1.16,23.9,19.9
2727516439,823905,1,2026-09-04,10:10 PM ET,WSN,LAD,Jackson Kent,Blake Snell,L,L,51.2,52.2,4.34,1.72,0.47,0,19.3,33
933568573,823093,1,2026-09-04,10:10 PM ET,ATH,SEA,TBD,Logan Gilbert,R,R,48.8,54,,3.56,,1.23,,26
