player_name,team,split_type,PA,ABQ,RCV,OBR,OSI,projOSI,PP_Gap,trend
Alex Bregman,CHC,overall,614,45.4,59.1,56.0,54.4,46.4,-8.0,falling
Pete Crow-Armstrong,CHC,overall,613,34.3,74.2,68.1,61.8,53.8,-8.0,stable
Iván Herrera,STL,overall,612,42.8,62.2,59.8,56.4,54.6,-1.8,falling
Gunnar Henderson,BAL,overall,610,37.2,66.0,53.2,53.7,53.2,-0.5,rising
Michael Busch,CHC,overall,607,38.9,57.4,63.6,55.3,53.9,-1.4,falling
Bryan Reynolds,PIT,overall,601,38.3,72.6,68.0,62.2,59.5,-2.7,falling
Matt Olson,ATL,overall,596,33.7,70.9,64.1,58.9,53.5,-5.4,falling
Sal Stewart,CIN,overall,595,37.2,59.0,60.9,54.3,48.4,-5.9,falling
Fernando Tatis Jr.,SDP,overall,595,40.3,76.5,64.9,62.8,70.8,8.0,stable
Pete Alonso,BAL,overall,594,36.0,75.9,72.6,64.6,69.5,5.0,falling
Kevin McGonigle,DET,overall,594,50.4,66.5,70.1,63.9,62.1,-1.8,falling
Yordan Alvarez,HOU,overall,593,48.3,81.9,96.3,79.3,82.9,3.6,falling
Junior Caminero,TBR,overall,593,43.5,84.9,68.5,68.0,60.0,-8.0,falling
Miguel Vargas,CHW,overall,591,46.6,86.2,79.3,73.5,80.7,7.2,stable
Zach Neto,LAA,overall,590,26.9,75.5,50.7,53.4,45.4,-8.0,falling
Trea Turner,PHI,overall,589,34.4,50.5,42.3,43.2,39.6,-3.6,falling
Nico Hoerner,CHC,overall,588,49.2,50.7,49.6,49.9,57.9,8.0,falling
Kyle Schwarber,PHI,overall,588,29.4,68.4,74.5,61.1,53.1,-8.0,falling
Bryce Harper,PHI,overall,586,45.3,66.3,84.8,68.4,69.8,1.3,stable
Wilyer Abreu,BOS,overall,585,40.1,55.5,63.5,54.8,53.5,-1.4,stable
Ozzie Albies,ATL,overall,584,43.2,58.8,42.2,48.3,40.3,-8.0,falling
Shohei Ohtani,LAD,overall,582,38.7,74.9,79.8,67.8,70.5,2.7,falling
Rafael Devers,SFG,overall,582,33.5,74.7,57.9,57.7,49.7,-8.0,stable
Yandy Díaz,TBR,overall,582,44.9,76.0,59.5,61.6,54.4,-7.2,falling
Corbin Carroll,ARI,overall,581,39.5,75.2,65.3,62.3,56.9,-5.4,falling
Bo Bichette,NYM,overall,580,38.5,59.4,48.6,49.9,54.4,4.5,stable
Otto Lopez,MIA,overall,579,43.0,71.9,46.4,54.5,46.5,-8.0,falling
Jonathan Aranda,TBR,overall,579,36.5,72.7,62.3,59.5,58.6,-0.9,falling
Alec Burleson,STL,overall,578,41.9,68.9,64.5,60.4,67.6,7.2,falling
Taylor Ward,SEA,overall,577,44.6,63.1,72.6,62.3,70.3,8.0,falling
Geraldo Perdomo,ARI,overall,575,52.5,65.2,65.6,62.2,59.5,-2.7,falling
Xavier Edwards,MIA,overall,574,48.5,67.5,56.7,58.5,50.5,-8.0,falling
Brice Turang,MIL,overall,574,36.8,61.0,64.8,56.5,52.9,-3.6,falling
Manny Machado,SDP,overall,573,39.0,74.1,60.4,59.8,67.0,7.2,falling
Freddie Freeman,LAD,overall,572,44.5,66.6,67.2,61.3,60.9,-0.5,falling
Jordan Walker,STL,overall,572,32.4,70.6,57.4,55.8,49.9,-5.9,falling
Daylen Lile,WSN,overall,569,37.1,70.2,48.2,53.1,54.0,0.9,falling
CJ Abrams,WSN,overall,565,33.8,79.7,55.2,58.4,50.4,-8.0,falling
Jackson Merrill,SDP,overall,563,31.2,73.6,51.4,54.1,62.1,8.0,stable
Brandon Lowe,PIT,overall,563,27.8,76.3,53.9,55.2,47.2,-8.0,falling
Ben Rice,NYY,overall,563,36.0,68.3,71.4,61.5,58.8,-2.7,falling
Luis Arraez,PHI,overall,563,52.5,54.5,42.0,49.0,41.0,-8.0,falling
Ceddanne Rafaela,BOS,overall,558,33.5,50.6,34.5,39.9,31.9,-8.0,falling
Ian Happ,CHC,overall,558,30.1,60.1,58.5,52.0,44.0,-8.0,falling
Randy Arozarena,SEA,overall,556,38.0,73.9,61.3,59.9,51.9,-8.0,falling
Brandon Nimmo,TEX,overall,555,35.8,54.2,58.7,51.4,59.4,8.0,falling
Jo Adell,CLE,overall,554,29.7,66.8,46.2,49.3,57.3,8.0,stable
Isaac Paredes,HOU,overall,553,48.1,62.9,57.7,57.1,49.1,-8.0,falling
Chase Meidroth,CHW,overall,548,36.5,73.9,48.1,54.2,46.2,-8.0,falling
Julio Rodríguez,SEA,overall,546,34.4,66.8,55.1,54.0,62.0,8.0,falling
William Contreras,MIL,overall,546,46.2,56.8,57.4,54.4,56.2,1.8,stable
Cole Young,SEA,overall,545,39.9,65.1,47.3,51.7,54.4,2.7,falling
