Name,Tm,PA,AB,AVG,OBP,SLG,BB%,K%,wOBA,xwOBA,wRC+,ISO,BABIP,Chase%,ZCon%,OCon%,SwStr%,Barrel%,HardHit%,Launch Angle
Matt Olson,ATL,247.0,225.0,0.262,0.324,0.511,0.0769,0.2551,0.361,0.362,129.0,0.249,0.302,,,,,,,
Ozzie Albies,ATL,230.0,214.0,0.29,0.313,0.463,0.0348,0.087,0.332,0.287,109.0,0.173,0.281,,,,,,,
Bryce Harper,PHI,225.0,184.0,0.212,0.333,0.326,0.1556,0.2578,0.301,0.394,88.0,0.114,0.276,,,,,,,
Kyle Schwarber,PHI,214.0,180.0,0.272,0.383,0.522,0.1355,0.285,0.394,0.366,151.0,0.25,0.343,,,,,,,
Bryan Reynolds,PIT,204.0,180.0,0.283,0.368,0.456,0.1127,0.2304,0.363,0.348,130.0,0.173,0.354,,,,,,,
Rafael Devers,SFG,200.0,182.0,0.181,0.25,0.302,0.075,0.28,0.249,0.33,53.0,0.121,0.23,,,,,,,
Pete Crow-Armstrong,CHC,198.0,169.0,0.314,0.414,0.58,0.1162,0.2778,0.43,0.364,175.0,0.266,0.408,,,,,,,
Trea Turner,PHI,194.0,172.0,0.221,0.309,0.314,0.1031,0.1649,0.283,0.293,76.0,0.093,0.255,,,,,,,
Ben Rice,NYY,194.0,176.0,0.25,0.32,0.466,0.0722,0.2784,0.344,0.375,117.0,0.216,0.304,,,,,,,
Shohei Ohtani,LAD,193.0,173.0,0.272,0.333,0.538,0.0725,0.2487,0.37,0.403,134.0,0.266,0.304,,,,,,,
Iván Herrera,STL,193.0,152.0,0.237,0.399,0.375,0.1813,0.1554,0.349,0.331,121.0,0.138,0.265,,,,,,,
Michael Harris II,ATL,192.0,180.0,0.272,0.309,0.467,0.0417,0.1771,0.337,0.343,112.0,0.195,0.295,,,,,,,
Gunnar Henderson,BAL,192.0,174.0,0.23,0.302,0.454,0.0781,0.2083,0.33,0.316,108.0,0.224,0.254,,,,,,,
