K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.24,139,0.28,0.12,0.12,0.37,0.77,0.4,NYM,0.34,120.03,0.36,,,,,,,0.36,A.J. Ewing,
0.28,185,0.25,0.13,0.29,0.36,0.89,0.54,NYY,0.38,146.18,0.29,,,,,,,0.46,Aaron Judge,
0.33,78,0.21,0.09,0.14,0.29,0.64,0.36,LAA,0.29,78.39,0.33,,,,,,,0.22,Adam Frazier,
0.25,24,0.05,0.17,0.05,0.21,0.31,0.11,TOR,0.17,-0.12,0.07,,,,,,,0.21,Addison Barger,
0.18,165,0.26,0.09,0.22,0.33,0.81,0.48,BAL,0.35,123.07,0.29,,,,,,,0.36,Adley Rutschman,
0.36,191,0.17,0.07,0.09,0.25,0.51,0.26,PHI,0.23,40.36,0.26,,,,,,,0.4,Adolis García,
0.27,141,0.2,0.09,0.15,0.27,0.62,0.35,ARI,0.28,69.6,0.24,,,,,,,0.35,Adrian Del Castillo,
0.14,236,0.23,0.07,0.14,0.3,0.67,0.37,PHI,0.3,82.32,0.24,,,,,,,0.31,Alec Bohm,
0.16,264,0.32,0.1,0.25,0.4,0.97,0.58,STL,0.42,166.49,0.35,,,,,,,0.42,Alec Burleson,
0.11,61,0.19,0.1,0.13,0.26,0.58,0.31,TOR,0.26,61.84,0.17,,,,,,,0.27,Alejandro Kirk,
0.14,148,0.23,0.09,0.03,0.33,0.6,0.27,TEX,0.28,79.82,0.28,,,,,,,0.3,Alejandro Osuna,
0.16,297,0.24,0.1,0.11,0.33,0.68,0.35,CHC,0.31,92.68,0.27,,,,,,,0.32,Alex Bregman,
0.18,78,0.22,0.14,0.03,0.33,0.58,0.25,LAD,0.28,72.54,0.27,,,,,,,0.17,Alex Call,
0.26,182,0.24,0.11,0.1,0.33,0.67,0.34,LAD,0.3,89.7,0.33,,,,,,,0.36,Alex Freeland,
0.21,34,0.36,0,0.18,0.38,0.93,0.55,MIN,0.4,159.85,0.44,,,,,,,0.27,Alex Jackson,
0.33,12,0.1,0.08,0,0.25,0.35,0.1,NYY,0.19,17.2,0.17,,,,,,,0.33,Ali Sánchez,
0.36,45,0.26,0.02,0.14,0.27,0.67,0.4,ATH,0.29,80.02,0.38,,,,,,,0.43,Alika Williams,
0.28,64,0.28,0.05,0.27,0.31,0.86,0.55,NYY,0.37,136.08,0.32,,,,,,,0.4,Amed Rosario,
