game_date,home_away,team,opp,team_runs,opp_runs,result
2026-07-16,away,NYM,PHI,4,1,W
2026-07-16,home,PHI,NYM,1,4,L
2026-07-17,home,ARI,STL,4,5,L
2026-07-17,home,ATH,WSN,4,23,L
2026-07-17,home,ATL,TEX,15,1,W
2026-07-17,away,BAL,HOU,3,2,W
2026-07-17,home,BOS,TBR,5,3,W
2026-07-17,home,CHC,MIN,2,5,L
2026-07-17,away,CHW,TOR,12,4,W
2026-07-17,away,CIN,COL,7,2,W
2026-07-17,home,COL,CIN,2,7,L
2026-07-17,away,DET,LAA,2,1,W
2026-07-17,home,HOU,BAL,2,3,L
2026-07-17,home,KCR,SDP,7,6,W
2026-07-17,home,LAA,DET,1,2,L
2026-07-17,away,LAD,NYY,2,1,W
2026-07-17,away,MIA,MIL,1,2,L
2026-07-17,home,MIL,MIA,2,1,W
2026-07-17,away,MIN,CHC,5,2,W
2026-07-17,home,NYY,LAD,1,2,L
2026-07-17,away,SDP,KCR,6,7,L
2026-07-17,home,SEA,SFG,0,7,L
2026-07-17,away,SFG,SEA,7,0,W
2026-07-17,away,STL,ARI,5,4,W
2026-07-17,away,TBR,BOS,3,5,L
2026-07-17,away,TEX,ATL,1,15,L
2026-07-17,home,TOR,CHW,4,12,L
2026-07-17,away,WSN,ATH,23,4,W
2026-07-18,home,ARI,STL,5,3,W
2026-07-18,home,ATH,WSN,15,1,W
2026-07-18,home,ATL,TEX,6,7,L
2026-07-18,away,BAL,HOU,4,2,W
2026-07-18,home,BOS,TBR,7,6,W
2026-07-18,home,CHC,MIN,6,2,W
2026-07-18,away,CHW,TOR,0,1,L
2026-07-18,away,CIN,COL,3,10,L
2026-07-18,home,CLE,PIT,5,3,W
2026-07-18,home,COL,CIN,10,3,W
2026-07-18,away,DET,LAA,7,0,W
2026-07-18,home,HOU,BAL,2,4,L
2026-07-18,home,KCR,SDP,6,1,W
2026-07-18,home,LAA,DET,0,7,L
2026-07-18,away,MIA,MIL,6,8,L
2026-07-18,home,MIL,MIA,8,6,W
2026-07-18,away,MIN,CHC,2,6,L
2026-07-18,away,NYM,PHI,1,6,L
2026-07-18,home,PHI,NYM,6,1,W
2026-07-18,away,PIT,CLE,3,5,L
2026-07-18,away,SDP,KCR,1,6,L
2026-07-18,home,SEA,SFG,4,3,W
2026-07-18,away,SFG,SEA,3,4,L
2026-07-18,away,STL,ARI,3,5,L
2026-07-18,away,TBR,BOS,6,7,L
2026-07-18,away,TEX,ATL,7,6,W
2026-07-18,home,TOR,CHW,1,0,W
2026-07-18,away,WSN,ATH,1,15,L
2026-07-19,home,ARI,STL,8,7,W
2026-07-19,home,ATH,WSN,2,5,L
2026-07-19,home,ATL,TEX,8,5,W
2026-07-19,away,BAL,HOU,5,2,W
2026-07-19,home,BOS,TBR,6,1,W
2026-07-19,home,CHC,MIN,10,1,W
2026-07-19,away,CHW,TOR,3,0,W
2026-07-19,away,CIN,COL,9,6,W
2026-07-19,home,CLE,PIT,1,7,L
2026-07-19,home,COL,CIN,6,9,L
2026-07-19,away,DET,LAA,2,3,L
2026-07-19,home,HOU,BAL,2,5,L
2026-07-19,home,KCR,SDP,2,19,L
2026-07-19,home,LAA,DET,3,2,W
2026-07-19,away,LAD,NYY,1,2,L
2026-07-19,away,MIA,MIL,1,3,L
2026-07-19,home,MIL,MIA,3,1,W
2026-07-19,away,MIN,CHC,1,10,L
2026-07-19,away,NYM,PHI,6,1,W
2026-07-19,home,NYY,LAD,2,1,W
2026-07-19,home,PHI,NYM,1,6,L
2026-07-19,away,PIT,CLE,7,1,W
2026-07-19,away,SDP,KCR,19,2,W
2026-07-19,home,SEA,SFG,6,3,W
2026-07-19,away,SFG,SEA,3,6,L
2026-07-19,away,STL,ARI,7,8,L
2026-07-19,away,TBR,BOS,1,6,L
2026-07-19,away,TEX,ATL,5,8,L
2026-07-19,home,TOR,CHW,0,3,L
2026-07-19,away,WSN,ATH,5,2,W
2026-07-20,home,ARI,ATH,2,5,L
2026-07-20,away,ATH,ARI,5,2,W
2026-07-20,home,ATL,SDP,3,2,W
2026-07-20,away,BAL,BOS,5,6,L
2026-07-20,home,BOS,BAL,6,5,W
2026-07-20,home,CHC,DET,6,8,L
2026-07-20,away,CHW,TEX,10,3,W
2026-07-20,away,CIN,SEA,0,8,L
2026-07-20,home,CLE,MIN,13,4,W
2026-07-20,home,COL,WSN,3,7,L
2026-07-20,away,DET,CHC,8,6,W
2026-07-20,home,HOU,MIA,8,5,W
2026-07-20,home,KCR,SFG,4,3,W
2026-07-20,home,LAA,STL,3,2,W
2026-07-20,away,LAD,PHI,7,10,L
2026-07-20,away,MIA,HOU,5,8,L
2026-07-20,home,MIL,NYM,8,3,W
2026-07-20,away,MIN,CLE,4,13,L
2026-07-20,away,NYM,MIL,3,8,L
2026-07-20,home,NYY,PIT,8,5,W
2026-07-20,home,PHI,LAD,10,7,W
2026-07-20,away,PIT,NYY,5,8,L
2026-07-20,away,SDP,ATL,2,3,L
2026-07-20,home,SEA,CIN,8,0,W
2026-07-20,away,SFG,KCR,3,4,L
2026-07-20,away,STL,LAA,2,3,L
2026-07-20,away,TBR,TOR,7,1,W
2026-07-20,home,TEX,CHW,3,10,L
2026-07-20,home,TOR,TBR,1,7,L
2026-07-20,away,WSN,COL,7,3,W
2026-07-21,home,ARI,ATH,6,5,W
2026-07-21,away,ATH,ARI,5,6,L
