hand,xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,full_name,pitch_pct,player_id,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
L,0.29,337,29.08,-0.55,1.28,Adrian Del Castillo,31.29,680728,ARI,52.23,31.06,4-Seam Fastball,FF,23.26,0.21,2309.12,83.01,94.49,69.32
L,0.38,173,24.86,-0.66,0.55,Adrian Del Castillo,16.06,680728,ARI,54.34,24.05,Sinker,SI,11.39,0.22,2232.22,84.66,94.42,63.83
L,0.16,144,33.33,0.21,-0.07,Adrian Del Castillo,13.37,680728,ARI,40.97,43.53,Slider,SL,34.67,0.1,2477.3,78.26,85.78,64.41
L,0.1,128,28.12,-1.14,0.32,Adrian Del Castillo,11.88,680728,ARI,44.53,23.94,Changeup,CH,35.59,0.04,1693.7,82.31,87.15,73.68
L,0.18,82,30.49,0.68,-0.8,Adrian Del Castillo,7.61,680728,ARI,28.05,33.9,Curveball,CU,45.95,0.28,2687.24,82.29,81.75,73.91
L,0.32,71,32.39,0.71,-0.06,Adrian Del Castillo,6.59,680728,ARI,46.48,7.89,Sweeper,ST,36.36,0.11,2685.28,77.88,82.88,57.58
L,0.46,58,8.62,0.14,0.78,Adrian Del Castillo,5.39,680728,ARI,53.45,40.74,Cutter,FC,5.41,0.29,2410.07,85.68,89.63,83.87
L,0.13,51,17.65,-0.93,0.3,Adrian Del Castillo,4.74,680728,ARI,35.29,18.18,Split-Finger,FS,20,0.19,1444.39,80.98,84.96,77.78
L,0.05,21,38.1,0.37,-0.82,Adrian Del Castillo,1.95,680728,ARI,52.38,30,Knuckle Curve,KC,40,0,2560.52,73.96,81.83,63.64
L,0.35,12,33.33,0.2,-0.38,Adrian Del Castillo,1.11,680728,ARI,33.33,25,Slurve,SV,50,0,2477.83,71.2,83.62,50
L,0.35,700,27.14,-0.35,1.3,Corbin Carroll,33.56,682998,ARI,45.29,27.68,4-Seam Fastball,FF,30.45,0.23,2326.3,85.51,95.16,72.24
L,0.36,366,30.87,-0.05,0.66,Corbin Carroll,17.55,682998,ARI,53.28,23.39,Sinker,SI,18.79,0.42,2220.58,86.45,94.33,55.9
L,0.41,244,27.46,0.06,0.03,Corbin Carroll,11.7,682998,ARI,49.18,43.55,Slider,SL,19.85,0.37,2464.07,86.31,86.52,64.17
L,0.34,200,20.5,-0.81,0.28,Corbin Carroll,9.59,682998,ARI,44,39.29,Changeup,CH,22.81,0.18,1732.92,84.87,86.81,79.55
L,0.39,164,26.22,0.08,0.65,Corbin Carroll,7.86,682998,ARI,48.17,30.59,Cutter,FC,21.52,0.29,2410.1,87.3,90.25,67.09
L,0.3,146,26.03,0.33,0,Corbin Carroll,7,682998,ARI,45.21,22.5,Sweeper,ST,22.58,0.16,2598.09,82.96,83.05,66.67
L,0.43,128,32.03,0.26,-0.79,Corbin Carroll,6.14,682998,ARI,39.84,32.47,Curveball,CU,20.45,0.39,2658.64,87.93,80.55,37.25
