hand,xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,full_name,pitch_pct,player_id,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
L,0.38,172,20.93,0.06,1.11,"Abner, Philip",60.56,691769,ARI,51.74,22.89,4-Seam Fastball,FF,13.25,2366.01,77.8,90.47,71.91
L,0.27,59,28.81,-0.22,-0.51,"Abner, Philip",20.77,691769,ARI,59.32,8.33,Curveball,CU,16.67,2299.42,80.91,81.19,62.86
L,0.68,36,0,-0.84,0.19,"Abner, Philip",12.68,691769,ARI,36.11,43.48,Slider,SL,0,2360.94,92.06,80.91,100
L,0,15,20,0.52,0.44,"Abner, Philip",5.28,691769,ARI,0,26.67,Changeup,CH,75,1568.53,83.9,82.87,0
L,0,2,0,0.3,1.33,"Abner, Philip",0.7,691769,ARI,0,0,Sinker,SI,0,2404,0,89.5,0
R,0.44,228,9.65,0.4,1.26,"Bratt, Mitch",39.58,683352,ARI,46.49,22.95,4-Seam Fastball,FF,8.33,2351.31,84.12,91.54,86.79
R,0.23,154,31.17,-1.12,-0.19,"Bratt, Mitch",26.74,683352,ARI,49.35,33.33,Slurve,SV,20,2360.38,81.77,80.01,57.89
R,0.48,74,21.62,-0.34,0.63,"Bratt, Mitch",12.85,683352,ARI,51.35,33.33,Slider,SL,22.73,2421.84,78.98,86.52,84.21
R,0.32,54,11.11,1.12,0.93,"Bratt, Mitch",9.38,683352,ARI,59.26,18.18,Sinker,SI,0,2239,84.41,90.92,81.25
R,0.21,46,17.39,1.16,0.66,"Bratt, Mitch",7.99,683352,ARI,17.39,36.84,Changeup,CH,20,1680.3,86.53,85.1,75
R,0.24,20,20,-0.72,-0.74,"Bratt, Mitch",3.47,683352,ARI,40,16.67,Curveball,CU,0,2291.6,81.05,76.96,50
R,0.3,24,8.33,-1.3,0.07,"Burgos, Juan",42.86,686228,ARI,25,33.33,Sinker,SI,8.33,2400.04,72.16,96.47,100
R,0.3,21,28.57,0.25,0.46,"Burgos, Juan",37.5,686228,ARI,80.95,50,Cutter,FC,8.33,2581.43,77.7,91.52,58.82
R,0.01,11,9.09,0.99,0.35,"Burgos, Juan",19.64,686228,ARI,63.64,50,Sweeper,ST,11.11,2742.45,83.37,86.57,100
R,0.35,113,29.2,0.08,0.67,"Cabrera, Jose",25.98,703615,ARI,50.44,32.14,Cutter,FC,14,2449.36,81.86,89.85,56.14
R,0.49,107,20.56,-0.96,1.19,"Cabrera, Jose",24.6,703615,ARI,57.94,15.56,4-Seam Fastball,FF,4.44,2315.27,74.43,93.54,61.29
R,0.28,68,35.29,0.91,0.24,"Cabrera, Jose",15.63,703615,ARI,41.18,25,Sweeper,ST,41.67,2559.01,78.95,83.58,50
R,0.29,53,9.43,-1.36,0.32,"Cabrera, Jose",12.18,703615,ARI,22.64,41.46,Changeup,CH,3.7,1792,82.15,86.5,83.33
R,0.16,52,19.23,0.05,-0.18,"Cabrera, Jose",11.95,703615,ARI,38.46,31.25,Curveball,CU,23.08,2349.6,82.22,86.14,80
R,0.39,40,25,-1.44,0.45,"Cabrera, Jose",9.2,703615,ARI,60,6.25,Sinker,SI,21.05,2140.98,89.76,93.06,75
R,0,2,0,0,0,"Cabrera, Jose",0.46,703615,ARI,0,0,Unknown,UNK,0,0,0,0,0
R,0.31,52,23.08,0.09,0.53,"Carrillo, Gerardo",33.77,672629,ARI,48.08,11.11,Cutter,FC,11.11,2447.23,74.85,92.68,60
R,0.1,40,27.5,-1.34,0.49,"Carrillo, Gerardo",25.97,672629,ARI,52.5,42.11,Sinker,SI,5.26,2227.15,78.09,97.09,52.38
R,0.15,31,35.48,-0.58,0.31,"Carrillo, Gerardo",20.13,672629,ARI,29.03,50,Split-Finger,FS,55,864,74.85,84.58,100
R,0.41,13,15.38,-0.72,1.08,"Carrillo, Gerardo",8.44,672629,ARI,15.38,36.36,4-Seam Fastball,FF,33.33,2252.85,86.15,96.92,100
R,0,8,0,0,0,"Carrillo, Gerardo",5.19,672629,ARI,0,0,Unknown,UNK,0,0,0,0,0
R,0.32,6,16.67,0.63,0.01,"Carrillo, Gerardo",3.9,672629,ARI,83.33,100,Sweeper,ST,0,2736.5,72.54,87.23,80
R,0,4,25,0.71,-0.37,"Carrillo, Gerardo",2.6,672629,ARI,50,0,Curveball,CU,50,2779.5,100.4,82.62,100
R,0.31,328,28.96,0.38,0.35,"Clarke, Taylor",30.29,664199,ARI,45.43,27.37,Slider,SL,33.11,2203,84.82,88.3,66.44
R,0.29,305,22.3,-1.24,0.14,"Clarke, Taylor",28.16,664199,ARI,43.93,36.84,Changeup,CH,21.47,1718.47,81.99,89.97,74.63
R,0.45,221,12.22,-0.3,1.01,"Clarke, Taylor",20.41,664199,ARI,43.44,27.2,Cutter,FC,5.45,2244.98,80.41,94.19,79.17
R,0.23,203,30.54,-1.16,0.83,"Clarke, Taylor",18.74,664199,ARI,56.16,33.71,Sinker,SI,2.27,2182.96,82.06,95.18,50.88
R,0.08,22,18.18,-0.4,1.39,"Clarke, Taylor",2.03,664199,ARI,50,36.36,4-Seam Fastball,FF,0,2289.45,83.35,94.31,63.64
R,0,4,0,0,0,"Clarke, Taylor",0.37,664199,ARI,0,0,Unknown,UNK,0,0,0,0,0
R,0.49,18,11.11,-0.58,1.34,"Del Castillo, Adrian",50,680728,ARI,11.11,75,Slider,SL,0,1178.11,76.98,52.14,0
R,0.57,14,28.57,-0.6,1.01,"Del Castillo, Adrian",38.89,680728,ARI,14.29,66.67,Curveball,CU,0,1127.57,93.82,51.4,100
R,0.73,4,0,0,0,"Del Castillo, Adrian",11.11,680728,ARI,0,0,Unknown,UNK,0,0,0,0,0
R,0.44,130,24.62,0.93,1.37,"Drake, Kohl",43.62,684442,ARI,60,15.38,4-Seam Fastball,FF,15.15,2245.23,84.24,91.47,74.36
R,0.65,62,16.13,-0.48,-0.96,"Drake, Kohl",20.81,684442,ARI,32.26,14.29,Curveball,CU,27.27,2511.74,87.86,78.47,80
R,0.26,50,28,1.27,0.69,"Drake, Kohl",16.78,684442,ARI,28,44.44,Changeup,CH,41.67,1865.92,63.67,81.56,57.14
R,0.38,38,31.58,0,0.71,"Drake, Kohl",12.75,684442,ARI,36.84,33.33,Cutter,FC,50,2260.32,92.98,85.87,85.71
R,0.21,18,22.22,-0.02,0.49,"Drake, Kohl",6.04,684442,ARI,55.56,25,Slider,SL,20,2213.11,76.62,82.54,80
R,0.67,54,25.93,-0.7,1.44,"Díaz, Yilber",61.36,700270,ARI,48.15,21.43,4-Seam Fastball,FF,15.38,2217.7,88.41,96.32,76.92
R,0.75,26,30.77,0.02,0.16,"Díaz, Yilber",29.55,700270,ARI,38.46,25,Slider,SL,40,2646.85,89.9,85.55,60
R,0,8,0,0.13,-1.33,"Díaz, Yilber",9.09,700270,ARI,25,33.33,Knuckle Curve,KC,0,2905.75,0,79.5,0
R,0.44,862,29.58,-0.27,1.39,"Gallen, Zac",36.49,668678,ARI,57.08,17.03,4-Seam Fastball,FF,7.87,2309.73,86.33,93.44,56.91
R,0.37,512,23.05,0.38,0.36,"Gallen, Zac",21.68,668678,ARI,43.36,33.1,Slider,SL,25.84,2350.86,84.02,88.8,77.03
R,0.37,433,21.48,0.34,-0.83,"Gallen, Zac",18.33,668678,ARI,36.49,40.36,Knuckle Curve,KC,20.37,2432.76,83.75,81.53,66.46
R,0.28,420,22.62,-1.05,0.36,"Gallen, Zac",17.78,668678,ARI,34.76,35.77,Changeup,CH,21.67,1542.59,84.32,86.65,71.92
R,0.54,124,25,-0.9,1.13,"Gallen, Zac",5.25,668678,ARI,41.13,42.47,Sinker,SI,9.52,2176.62,86.08,92.84,62.75
