hand,xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,full_name,pitch_pct,player_id,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
L,0.2,21,9.52,0.36,1.29,"Bratt, Mitch",38.89,683352,ARI,33.33,28.57,4-Seam Fastball,FF,10,2420.57,88.24,92.21,85.71
L,0.35,17,23.53,-1.1,-0.14,"Bratt, Mitch",31.48,683352,ARI,41.18,50,Slurve,SV,20,2388.06,80.95,80.79,71.43
L,0.41,12,50,-0.29,0.66,"Bratt, Mitch",22.22,683352,ARI,58.33,40,Slider,SL,57.14,2470,70.83,87.54,71.43
L,0.19,4,25,1.25,0.94,"Bratt, Mitch",7.41,683352,ARI,75,100,Sinker,SI,0,2277,69.13,92.05,66.67
R,0.31,16,25,-1.24,0.16,"Burgos, Juan",40,686228,ARI,25,33.33,Sinker,SI,25,2463.62,85.33,95.74,100
R,0.16,14,28.57,0.09,0.41,"Burgos, Juan",35,686228,ARI,42.86,50,Cutter,FC,25,2552.57,87.9,90.87,66.67
R,0.01,10,20,1.18,0.48,"Burgos, Juan",25,686228,ARI,60,0,Sweeper,ST,33.33,2766.6,92.8,86.86,100
R,0.48,70,15.71,-0.94,1.18,"Cabrera, Jose",31.39,703615,ARI,50,17.14,4-Seam Fastball,FF,0,2315.8,71.77,93.4,62.86
R,0.48,68,32.35,0.1,0.69,"Cabrera, Jose",30.49,703615,ARI,42.65,30.77,Cutter,FC,25.93,2447.75,82.05,89.82,51.72
R,0.24,31,35.48,0.87,0.19,"Cabrera, Jose",13.9,703615,ARI,38.71,26.32,Sweeper,ST,45.45,2594.39,87.03,83.55,50
R,0.2,25,32,0.03,-0.28,"Cabrera, Jose",11.21,703615,ARI,40,26.67,Curveball,CU,40,2393.96,82.85,86.85,60
R,0.5,15,26.67,-1.32,0.44,"Cabrera, Jose",6.73,703615,ARI,33.33,20,Changeup,CH,0,1826.87,93.26,86.68,60
R,0.48,14,7.14,-1.39,0.54,"Cabrera, Jose",6.28,703615,ARI,71.43,0,Sinker,SI,0,2141.14,103.24,93.36,90
R,0.37,43,13.95,-1.2,0.2,"Clarke, Taylor",29.66,664199,ARI,44.19,45.83,Changeup,CH,4,1700.63,83.12,90.34,73.68
R,0.63,41,19.51,0.38,0.42,"Clarke, Taylor",28.28,664199,ARI,41.46,25,Slider,SL,13.33,2219.8,91.52,88.9,52.94
R,1.1,32,18.75,-0.34,0.95,"Clarke, Taylor",22.07,664199,ARI,43.75,27.78,Cutter,FC,7.14,2235.09,88.65,94.46,64.29
R,0.09,28,35.71,-1.14,0.85,"Clarke, Taylor",19.31,664199,ARI,50,57.14,Sinker,SI,0,2197.68,75.54,95.46,35.71
R,0,1,0,-0.63,1.64,"Clarke, Taylor",0.69,664199,ARI,0,0,4-Seam Fastball,FF,0,2402,0,95.5,0
R,0.63,138,34.78,-0.3,1.35,"Gallen, Zac",37.7,668678,ARI,65.22,16.67,4-Seam Fastball,FF,7.14,2326.78,91.87,93.04,53.33
R,0.27,76,28.95,-1.13,0.44,"Gallen, Zac",20.77,668678,ARI,28.95,37.04,Changeup,CH,18.75,1605.84,82.76,86.58,54.55
R,0.37,70,17.14,0.28,0.47,"Gallen, Zac",19.13,668678,ARI,34.29,39.13,Slider,SL,22.22,2337.66,89.59,89.19,75
