player_id,full_name,team,team_abbr,position,position_type,bats,throws,jersey_number,status
545121,Ildemaro Vargas,Arizona Diamondbacks,ARI,1B,1B,S,R,6,active
694374,Tim Tawa,Arizona Diamondbacks,ARI,1B,1B,R,R,13,active
571448,Nolan Arenado,Arizona Diamondbacks,ARI,3B,3B,R,R,28,active
672515,Gabriel Moreno,Arizona Diamondbacks,ARI,C,C,R,R,14,active
543510,James McCann,Arizona Diamondbacks,ARI,C,C,R,R,8,active
699912,Jose Fernandez,Arizona Diamondbacks,ARI,DH,DH,R,R,11,active
663457,Lars Nootbaar,Arizona Diamondbacks,ARI,DH,DH,L,R,21,active
682998,Corbin Carroll,Arizona Diamondbacks,ARI,RF,OF,L,L,7,active
691783,Jordan Lawlar,Arizona Diamondbacks,ARI,CF,OF,R,R,10,active
678489,Jorge Barrosa,Arizona Diamondbacks,ARI,CF,OF,S,L,1,active
596146,Max Kepler,Arizona Diamondbacks,ARI,LF,OF,L,L,22,active
814439,Ryan Waldschmidt,Arizona Diamondbacks,ARI,CF,OF,R,R,15,active
694297,Brandon Pfaadt,Arizona Diamondbacks,ARI,P,RP,R,R,32,active
805299,Brandyn Garcia,Arizona Diamondbacks,ARI,P,RP,L,L,55,active
642701,Dennis Santana,Arizona Diamondbacks,ARI,P,RP,R,R,59,active
571882,Derek Law,Arizona Diamondbacks,ARI,P,RP,R,R,38,active
593958,Eduardo Rodriguez,Arizona Diamondbacks,ARI,P,RP,L,L,57,active
672629,Gerardo Carrillo,Arizona Diamondbacks,ARI,P,RP,R,R,68,active
642528,Jonathan Loáisiga,Arizona Diamondbacks,ARI,P,RP,R,R,43,active
703615,Jose Cabrera,Arizona Diamondbacks,ARI,P,RP,R,R,53,active
666661,Juan Morillo,Arizona Diamondbacks,ARI,P,RP,R,R,62,active
679885,Justin Martinez,Arizona Diamondbacks,ARI,P,RP,R,R,63,active
656464,Kevin Ginkel,Arizona Diamondbacks,ARI,P,RP,L,R,37,active
518876,Merrill Kelly,Arizona Diamondbacks,ARI,P,RP,R,R,29,active
664199,Taylor Clarke,Arizona Diamondbacks,ARI,P,RP,R,R,45,active
672695,Geraldo Perdomo,Arizona Diamondbacks,ARI,SS,SS,S,R,2,active
622268,Donovan Walton,Athletics,ATH,2B,2B,L,R,29,active
643446,Jeff McNeil,Athletics,ATH,2B,2B,L,R,22,active
683021,Michael Stefanic,Athletics,ATH,2B,2B,R,R,17,active
691777,Max Muncy,Athletics,ATH,3B,3B,R,R,3,active
695720,Tommy White,Athletics,ATH,3B,3B,R,R,47,active
680869,Zack Gelof,Athletics,ATH,3B,3B,R,R,20,active
661531,Brian Serven,Athletics,ATH,C,C,R,R,10,active
641680,Jonah Heim,Athletics,ATH,C,C,S,R,15,active
666126,Carlos Cortes,Athletics,ATH,RF,OF,L,R,26,active
703607,Henry Bolte,Athletics,ATH,CF,OF,R,R,33,active
671732,Lawrence Butler,Athletics,ATH,RF,OF,L,R,4,active
669620,Brady Basso,Athletics,ATH,P,RP,R,L,66,active
688297,Chris Roycroft,Athletics,ATH,P,RP,R,R,56,active
665660,Elvis Alvarado,Athletics,ATH,P,RP,R,R,37,active
695611,Gage Jump,Athletics,ATH,P,RP,L,L,61,active
663687,Hogan Harris,Athletics,ATH,P,RP,R,L,36,active
669372,J.T. Ginn,Athletics,ATH,P,RP,R,R,35,active
678022,Jack Perkins,Athletics,ATH,P,RP,R,R,50,active
682052,Jacob Lopez,Athletics,ATH,P,RP,L,L,57,active
605488,Jeffrey Springs,Athletics,ATH,P,RP,L,L,59,active
660761,José Suarez,Athletics,ATH,P,RP,L,L,54,active
695034,Kade Morris,Athletics,ATH,P,RP,R,R,67,active
665622,Luis Medina,Athletics,ATH,P,RP,R,R,46,active
656240,Scott Blewett,Athletics,ATH,P,RP,R,R,49,active
675961,Alika Williams,Athletics,ATH,SS,SS,R,R,12,active
687231,Darell Hernaiz,Athletics,ATH,SS,SS,R,R,2,active
621566,Matt Olson,Atlanta Braves,ATL,1B,1B,L,R,28,active
645277,Ozzie Albies,Atlanta Braves,ATL,2B,2B,S,R,1,active
663586,Austin Riley,Atlanta Braves,ATL,3B,3B,R,R,27,active
686948,Drake Baldwin,Atlanta Braves,ATL,C,C,L,R,30,active
669221,Sean Murphy,Atlanta Braves,ATL,C,C,R,R,12,active
642086,Dominic Smith,Atlanta Braves,ATL,DH,DH,L,L,8,active
676551,Brewer Hicklen,Atlanta Braves,ATL,RF,OF,R,R,53,active
657041,Lane Thomas,Atlanta Braves,ATL,LF,OF,R,R,20,active
643289,Mauricio Dubón,Atlanta Braves,ATL,LF,OF,R,R,14,active
671739,Michael Harris II,Atlanta Braves,ATL,CF,OF,L,L,23,active
573262,Mike Yastrzemski,Atlanta Braves,ATL,LF,OF,L,L,18,active
660670,Ronald Acuña Jr.,Atlanta Braves,ATL,RF,OF,R,R,13,active
700363,AJ Smith-Shawver,Atlanta Braves,ATL,P,RP,R,R,32,active
608718,Brent Suter,Atlanta Braves,ATL,P,RP,L,L,39,active
693821,Bryce Elder,Atlanta Braves,ATL,P,RP,R,R,55,active
519242,Chris Sale,Atlanta Braves,ATL,P,RP,L,L,51,active
800311,Didier Fuentes,Atlanta Braves,ATL,P,RP,R,R,72,active
689266,Dylan Dodd,Atlanta Braves,ATL,P,RP,L,L,46,active
669276,Dylan Lee,Atlanta Braves,ATL,P,RP,L,L,52,active
656550,Grant Holmes,Atlanta Braves,ATL,P,RP,L,R,66,active
527048,Martín Pérez,Atlanta Braves,ATL,P,RP,L,L,33,active
628452,Raisel Iglesias,Atlanta Braves,ATL,P,RP,R,R,26,active
678061,Ray Kerr,Atlanta Braves,ATL,P,RP,L,L,62,active
641816,Tyler Mahle,Atlanta Braves,ATL,P,RP,R,R,54,active
682989,Victor Mederos,Atlanta Braves,ATL,P,RP,R,R,58,active
673490,Ha-Seong Kim,Atlanta Braves,ATL,SS,SS,R,R,7,active
624413,Pete Alonso,Baltimore Orioles,BAL,1B,1B,R,R,25,active
702616,Jackson Holliday,Baltimore Orioles,BAL,2B,2B,L,R,7,active
677942,Blaze Alexander,Baltimore Orioles,BAL,3B,3B,R,R,23,active
687952,Christian Encarnacion-Strand,Baltimore Orioles,BAL,3B,3B,R,R,32,active
691723,Coby Mayo,Baltimore Orioles,BAL,3B,3B,R,R,16,active
665966,Carlos Narváez,Baltimore Orioles,BAL,C,C,R,R,75,active
694212,Samuel Basallo,Baltimore Orioles,BAL,C,C,L,R,29,active
650968,Yohel Pozo,Baltimore Orioles,BAL,C,C,R,R,79,active
681047,Christian Franklin,Baltimore Orioles,BAL,CF,OF,R,R,27,active
