H,K,R,BB,ER,HR,IP,date,result,game_pk,pitches,home_away,pitcher_id,entry_inning,opponent_ABQ,opponent_OBR,opponent_OSI,opponent_RCV,pitcher_hand,pitcher_name,pitcher_team,batters_faced,opponent_team,inherited_scored,batter_hand_faced,inherited_runners,opponent_ABQ_tier,opponent_OSI_tier,leverage_situation
4,3,1,2,1,0,6.1,2026-04-19,other,825100,84,home,694297,3,55.6,10.8,31.3,37.2,R,Brandon Pfaadt,ARI,24,TOR,0,RHH,1,Mid,Low,low
2,5,4,3,4,1,3,2026-04-25,other,825093,56,home,694297,4,40,41.5,45.9,55.2,R,Brandon Pfaadt,ARI,13,SDP,0,RHH,0,Low,Low,low
1,2,1,0,1,1,1,2026-04-30,other,823795,15,away,694297,7,68.4,69.6,63,51.5,R,Brandon Pfaadt,ARI,4,MIL,0,LHH,0,High,Mid,medium
4,1,2,3,2,0,2.1,2026-05-03,other,824687,52,away,694297,6,62.7,75.3,65.4,55.9,R,Brandon Pfaadt,ARI,14,CHC,0,RHH,0,Mid,High,low
2,5,0,0,0,0,3,2026-05-12,other,822903,39,away,694297,6,41.6,41.3,43.1,46.1,R,Brandon Pfaadt,ARI,11,TEX,0,LHH,0,Low,Low,low
2,0,4,1,2,0,0.1,2026-05-17,other,824358,16,away,694297,8,37.6,31.8,28.7,18.9,R,Brandon Pfaadt,ARI,5,COL,0,LHH,0,Low,Low,high
0,0,0,0,0,0,1,2026-05-20,hold,825084,9,home,694297,8,44.9,26.1,46,69.6,R,Brandon Pfaadt,ARI,3,SFG,0,RHH,0,Low,Low,high
2,0,1,0,1,1,1.2,2026-05-23,hold,825080,23,home,694297,6,37.6,31.8,28.7,18.9,R,Brandon Pfaadt,ARI,7,COL,1,,1,Low,Low,medium
3,3,1,0,1,1,1.2,2026-05-29,other,823135,31,away,694297,6,38.7,41.5,47.3,60.2,R,Brandon Pfaadt,ARI,8,SEA,0,LHH,0,Low,Low,medium
3,1,2,2,2,0,1,2026-06-03,other,825077,37,home,694297,7,71.5,97.1,84.6,79.8,R,Brandon Pfaadt,ARI,9,LAD,0,LHH,0,High,High,medium
0,2,0,0,0,0,2,2026-05-01,other,824686,20,away,805299,6,62.7,75.3,65.4,55.9,R,Brandyn Garcia,ARI,6,CHC,0,RHH,0,Mid,High,medium
0,2,0,0,0,0,1,2026-05-05,other,825092,11,home,805299,9,37.6,70.4,69.1,90.1,R,Brandyn Garcia,ARI,3,PIT,0,RHH,0,Low,High,high
1,1,0,0,0,0,1,2026-05-07,other,825090,12,home,805299,7,37.6,70.4,69.1,90.1,R,Brandyn Garcia,ARI,3,PIT,0,LHH,0,Low,High,high
0,0,0,0,0,0,1,2026-05-08,other,825088,6,home,805299,9,43.1,47.1,45,44.1,R,Brandyn Garcia,ARI,3,NYM,0,LHH,0,Low,Low,high
0,1,0,0,0,0,0.2,2026-05-11,hold,822901,7,away,805299,7,41.6,41.3,43.1,46.1,R,Brandyn Garcia,ARI,2,TEX,0,RHH,0,Low,Low,high
2,1,0,0,0,0,1,2026-05-18,other,825087,16,home,805299,8,44.9,26.1,46,69.6,R,Brandyn Garcia,ARI,4,SFG,0,LHH,0,Low,Low,high
0,0,0,1,0,0,0.2,2026-05-20,hold,825084,9,home,805299,7,44.9,26.1,46,69.6,R,Brandyn Garcia,ARI,3,SFG,0,RHH,0,Low,Low,medium
0,0,0,0,0,0,0.1,2026-05-22,hold,825082,2,home,805299,7,37.6,31.8,28.7,18.9,R,Brandyn Garcia,ARI,1,COL,0,LHH,2,Low,Low,high
