game_id,away,home,side,convergence_count,convergence_direction,is_convergence_play,signals_fired
,SFG,ATL,away,3,lineup,False,3
,SFG,ATL,home,3,low,False,3
,NYM,TBR,away,2,pitching,False,2
,NYM,TBR,home,4,process,True,3
,SDP,CIN,away,3,lineup,False,3
,SDP,CIN,home,4,process,True,3
,MIA,WSN,away,4,lineup,True,4
,MIA,WSN,home,1,profile,False,1
,SEA,BOS,away,3,pitching,False,3
,SEA,BOS,home,2,pitching,False,2
,DET,MIN,away,1,profile,False,1
,DET,MIN,home,2,pitching,False,2
,MIL,CHC,away,5,process,True,4
,MIL,CHC,home,3,pitching,False,3
,ATH,TEX,away,4,low,True,4
,ATH,TEX,home,2,lineup,False,2
,CHW,HOU,away,3,lineup,False,3
,CHW,HOU,home,2,pitching,False,2
,BAL,COL,away,2,lineup,False,2
,BAL,COL,home,5,process,True,4
,NYY,LAA,away,3,lineup,False,3
,NYY,LAA,home,3,pitching,False,3
,PHI,ARI,away,2,pitching,False,2
,PHI,ARI,home,5,process,True,4
