date,pitcher_name,pitcher_id,pitcher_team,pitcher_hand,opponent_team,home_away,stadium,IP,ER,R,H,BB,K,HR,pitches,strikes,game_score,batters_faced,game_pk,f5_er,team_result,opponent_OSI,opponent_ABQ,opponent_RCV,opponent_OBR,opponent_OSI_tier,opponent_ABQ_tier
2026-03-31,Max Scherzer,453286,TOR,R,COL,home,Rogers Centre,6.0,1,1,4,1,4,1,83,56,39.2,22,822836,0,W,31.1,37.7,13.5,42.4,Low,Low
2026-04-06,Max Scherzer,453286,TOR,R,LAD,home,Rogers Centre,2.0,2,2,2,1,2,1,36,24,32.4,9,822832,6,L,82.1,68.3,76.5,95.7,High,High
2026-04-12,Max Scherzer,453286,TOR,R,MIN,home,Rogers Centre,2.1,8,8,5,2,3,2,68,41,8.7,15,822828,8,L,50.6,40.9,66.3,43.0,Mid,Low
2026-04-18,Max Scherzer,453286,TOR,R,ARI,away,Chase Field,6.0,2,2,5,1,1,0,74,50,35.2,22,825098,2,L,47.1,63.9,37.6,44.9,Low,Mid
2026-04-24,Max Scherzer,453286,TOR,R,CLE,home,Rogers Centre,2.1,7,7,6,3,0,3,82,51,5.3,16,822827,7,L,45.7,55.3,43.3,41.8,Low,Mid
2026-06-10,Max Scherzer,453286,TOR,R,PHI,home,Rogers Centre,3.1,5,5,5,3,4,2,82,51,16.0,18,822804,6,L,31.4,35.3,32.8,27.6,Low,Low
2026-07-27,Max Scherzer,453286,TOR,R,WSN,away,Nationals Park,2.2,1,1,4,3,4,0,75,44,27.2,15,822705,2,W,69.3,50.4,86.9,65.8,High,Mid
2026-08-02,Max Scherzer,453286,TOR,R,STL,home,Rogers Centre,6.0,1,1,4,1,5,0,84,58,40.2,23,822783,1,L,44.8,39.1,49.5,44.3,Low,Low
2026-08-08,Max Scherzer,453286,TOR,R,PHI,away,Citizens Bank Park,5.1,2,2,5,0,4,2,84,58,33.4,21,823426,0,W,31.4,35.3,32.8,27.6,Low,Low
2026-08-13,Max Scherzer,453286,TOR,R,BOS,home,Rogers Centre,5.0,1,1,3,2,4,0,92,61,38.5,20,822776,1,L,38.5,46.1,17.9,51.9,Low,Low
2026-08-19,Max Scherzer,453286,TOR,R,TBR,away,Tropicana Field,4.0,7,7,5,3,1,1,73,42,14.8,21,822937,7,L,54.8,77.1,52.8,42.5,Mid,High
2026-08-25,Max Scherzer,453286,TOR,R,KCR,home,Rogers Centre,5.0,2,2,4,5,4,0,92,51,27.5,23,822773,2,L,53.4,61.0,53.3,48.8,Mid,Mid
2026-08-30,Max Scherzer,453286,TOR,R,SEA,home,Rogers Centre,7.0,0,0,1,1,10,0,97,67,53.9,23,822766,0,W,52.6,46.7,57.9,51.7,Mid,Low
2026-03-30,Justin Verlander,434378,DET,R,ARI,away,Chase Field,3.2,5,5,6,2,1,1,80,53,16.9,19,825108,8,L,47.1,63.9,37.6,44.9,Low,Mid
2026-03-26,Nathan Eovaldi,543135,TEX,R,PHI,away,Citizens Bank Park,4.2,5,5,8,0,7,2,80,55,16.6,22,823486,5,L,31.4,35.3,32.8,27.6,Low,Low
2026-04-01,Nathan Eovaldi,543135,TEX,R,BAL,away,Oriole Park at Camden Yards,4.0,6,6,8,3,5,1,88,55,7.8,23,824860,7,L,56.7,35.1,66.9,61.3,Mid,Low
2026-04-07,Nathan Eovaldi,543135,TEX,R,SEA,home,Globe Life Field,6.0,2,2,6,2,7,1,93,60,29.2,26,822916,2,W,52.6,46.7,57.9,51.7,Mid,Low
2026-04-13,Nathan Eovaldi,543135,TEX,R,ATH,away,Sutter Health Park,7.0,0,0,3,2,7,0,84,53,45.3,26,825024,0,W,54.1,43.4,66.7,49.8,Mid,Low
2026-04-18,Nathan Eovaldi,543135,TEX,R,SEA,away,T-Mobile Park,5.0,2,4,8,1,3,1,95,66,22.5,25,823151,3,L,52.6,46.7,57.9,51.7,Mid,Low
2026-04-24,Nathan Eovaldi,543135,TEX,R,ATH,home,Globe Life Field,6.0,6,6,6,1,3,4,86,59,20.2,25,822909,6,L,54.1,43.4,66.7,49.8,Mid,Low
2026-04-29,Nathan Eovaldi,543135,TEX,R,NYY,home,Globe Life Field,7.0,0,0,4,1,7,0,102,70,44.3,26,822907,0,W,67.5,41.0,74.8,77.6,High,Low
2026-05-06,Nathan Eovaldi,543135,TEX,R,NYY,away,Yankee Stadium,8.0,1,1,3,0,8,1,101,72,49.0,27,823550,0,W,67.5,41.0,74.8,77.6,High,Low
2026-05-17,Nathan Eovaldi,543135,TEX,R,HOU,away,Daikin Park,7.0,0,0,5,2,8,0,94,64,39.3,27,824192,0,W,48.9,36.5,64.8,42.7,Low,Low
2026-05-23,Nathan Eovaldi,543135,TEX,R,LAA,away,Angel Stadium,7.0,3,3,5,2,6,1,97,68,32.3,29,824030,3,L,27.5,23.2,47.0,13.1,Low,Low
2026-05-28,Nathan Eovaldi,543135,TEX,R,HOU,home,Globe Life Field,7.0,5,5,4,2,6,2,90,55,30.9,27,822896,5,L,48.9,36.5,64.8,42.7,Low,Low
2026-06-02,Nathan Eovaldi,543135,TEX,R,STL,away,Busch Stadium,6.0,4,4,11,1,7,1,93,66,11.6,31,823052,2,W,44.8,39.1,49.5,44.3,Low,Low
2026-06-09,Nathan Eovaldi,543135,TEX,R,KCR,away,Kauffman Stadium,5.2,4,4,4,3,3,1,88,58,28.3,23,824105,1,L,53.4,61.0,53.3,48.8,Mid,Mid
2026-06-14,Nathan Eovaldi,543135,TEX,R,BOS,away,Fenway Park,7.0,3,3,6,1,6,2,94,63,30.9,26,824751,2,W,38.5,46.1,17.9,51.9,Low,Low
2026-06-21,Nathan Eovaldi,543135,TEX,R,SDP,home,Globe Life Field,6.0,3,3,7,1,9,0,94,67,27.2,25,822883,3,W,54.2,44.8,57.1,57.5,Mid,Low
2026-06-26,Nathan Eovaldi,543135,TEX,R,TOR,away,Rogers Centre,7.0,0,0,5,1,9,0,92,59,41.9,26,822796,0,W,31.7,59.4,33.8,12.6,Low,Mid
2026-07-02,Nathan Eovaldi,543135,TEX,R,DET,home,Globe Life Field,5.0,3,3,6,1,9,2,85,53,25.5,22,822884,3,W,55.9,48.3,66.0,51.9,Mid,Low
2026-07-09,Nathan Eovaldi,543135,TEX,R,LAA,home,Globe Life Field,6.0,3,4,6,2,10,0,99,74,28.2,27,822877,1,W,27.5,23.2,47.0,13.1,Low,Low
2026-07-19,Nathan Eovaldi,543135,TEX,R,ATL,away,Truist Park,4.0,4,4,6,2,2,3,81,51,17.8,20,824897,4,L,53.3,52.4,62.7,45.5,Mid,Mid
2026-07-25,Nathan Eovaldi,543135,TEX,R,SEA,home,Globe Life Field,7.0,1,1,3,1,8,0,91,61,45.9,24,822869,1,W,52.6,46.7,57.9,51.7,Mid,Low
2026-07-31,Nathan Eovaldi,543135,TEX,R,HOU,away,Daikin Park,5.0,6,6,10,1,5,2,94,60,6.9,26,824164,6,L,48.9,36.5,64.8,42.7,Low,Low
2026-08-07,Nathan Eovaldi,543135,TEX,R,BAL,home,Globe Life Field,5.1,1,1,4,2,2,0,86,56,36.4,22,822863,1,W,56.7,35.1,66.9,61.3,Mid,Low
2026-04-10,Patrick Corbin,571578,TOR,L,MIN,home,Rogers Centre,4.0,4,4,6,1,3,2,85,52,19.6,21,822829,4,W,50.6,40.9,66.3,43.0,Mid,Low
2026-04-16,Patrick Corbin,571578,TOR,L,MIL,away,American Family Field,5.2,1,1,4,1,6,0,79,50,39.3,20,823801,1,L,68.4,69.5,56.0,78.7,High,High
2026-04-21,Patrick Corbin,571578,TOR,L,LAA,away,Angel Stadium,5.0,1,1,2,2,3,0,65,40,41.5,18,824045,1,W,27.5,23.2,47.0,13.1,Low,Low
2026-04-26,Patrick Corbin,571578,TOR,L,CLE,home,Rogers Centre,4.2,2,2,6,2,4,0,84,52,26.6,20,822824,2,W,45.7,55.3,43.3,41.8,Low,Mid
2026-05-01,Patrick Corbin,571578,TOR,L,MIN,away,Target Field,5.1,2,2,6,1,4,1,79,53,28.8,23,823713,2,W,50.6,40.9,66.3,43.0,Mid,Low
2026-05-06,Patrick Corbin,571578,TOR,L,TBR,away,Tropicana Field,5.1,2,2,5,2,1,0,61,37,30.8,22,822985,2,L,54.8,77.1,52.8,42.5,Mid,High
2026-05-12,Patrick Corbin,571578,TOR,L,TBR,home,Rogers Centre,4.1,3,3,9,1,1,0,86,51,16.7,23,822817,3,L,54.8,77.1,52.8,42.5,Mid,High
2026-05-18,Patrick Corbin,571578,TOR,L,NYY,away,Yankee Stadium,4.0,3,3,6,3,3,1,79,47,19.8,20,823549,3,L,67.5,41.0,74.8,77.6,High,Low
2026-05-23,Patrick Corbin,571578,TOR,L,PIT,home,Rogers Centre,6.0,1,1,5,0,7,0,84,57,39.2,23,822814,0,W,57.1,32.3,82.2,50.6,Mid,Low
2026-05-28,Patrick Corbin,571578,TOR,L,BAL,away,Oriole Park at Camden Yards,5.0,1,1,4,1,4,1,80,49,36.5,21,824834,1,W,56.7,35.1,66.9,61.3,Mid,Low
2026-06-03,Patrick Corbin,571578,TOR,L,ATL,away,Truist Park,5.0,4,4,6,2,1,1,85,53,22.5,23,824917,4,L,53.3,52.4,62.7,45.5,Mid,Mid
2026-06-08,Patrick Corbin,571578,TOR,L,PHI,home,Rogers Centre,3.0,5,5,4,4,3,1,79,44,16.5,18,822806,5,L,31.4,35.3,32.8,27.6,Low,Low
2026-06-14,Patrick Corbin,571578,TOR,L,NYY,home,Rogers Centre,3.2,2,2,7,0,3,0,76,50,24.9,18,822801,2,L,67.5,41.0,74.8,77.6,High,Low
2026-06-20,Patrick Corbin,571578,TOR,L,CHC,away,Wrigley Field,3.2,3,3,6,3,4,1,101,57,18.9,20,824665,3,W,69.6,58.9,61.0,83.7,High,Mid
2026-06-26,Patrick Corbin,571578,TOR,L,TEX,home,Rogers Centre,4.1,5,5,7,1,5,1,94,57,17.1,21,822796,5,L,36.8,41.9,45.1,26.3,Low,Low
2026-03-28,Miles Mikolas,571945,WSN,R,CHC,away,Wrigley Field,5.0,4,6,6,3,4,1,97,57,20.5,25,824701,6,L,69.6,58.9,61.0,83.7,High,Mid
2026-04-03,Miles Mikolas,571945,WSN,R,LAD,home,Nationals Park,4.1,11,11,11,1,4,4,87,56,-9.3,25,822758,11,L,82.1,68.3,76.5,95.7,High,High
2026-04-08,Miles Mikolas,571945,WSN,R,STL,home,Nationals Park,3.0,2,2,5,3,3,0,55,34,23.1,17,822753,3,L,44.8,39.1,49.5,44.3,Low,Low
2026-04-30,Miles Mikolas,571945,WSN,R,NYM,away,Citi Field,4.0,3,3,3,1,3,1,79,49,32.8,16,823634,3,W,42.6,36.8,49.2,40.5,Low,Low
2026-05-06,Miles Mikolas,571945,WSN,R,MIN,home,Nationals Park,5.1,2,2,3,0,3,1,74,52,40.4,19,822740,2,W,50.6,40.9,66.3,43.0,Mid,Low
2026-05-12,Miles Mikolas,571945,WSN,R,CIN,away,Great American Ball Park,3.1,1,2,3,2,2,0,71,45,34.0,16,824521,2,W,38.7,36.7,30.2,47.3,Low,Low
2026-06-29,Miles Mikolas,571945,WSN,R,BOS,away,Fenway Park,7.0,6,6,9,0,3,2,97,68,17.9,30,824741,6,L,38.5,46.1,17.9,51.9,Low,Low
2026-07-06,Miles Mikolas,571945,WSN,R,HOU,home,Nationals Park,6.0,7,7,9,2,3,2,99,63,9.2,27,822712,6,W,48.9,36.5,64.8,42.7,Low,Low
2026-07-26,Miles Mikolas,571945,WSN,R,ARI,home,Nationals Park,4.0,3,3,4,1,1,2,63,39,28.2,18,822706,4,W,47.1,63.9,37.6,44.9,Low,Mid
2026-08-01,Miles Mikolas,571945,WSN,R,ATL,away,Truist Park,6.0,4,4,9,1,3,3,94,60,16.2,27,824890,4,L,53.3,52.4,62.7,45.5,Mid,Mid
