ERA,FIP,HR9,OPS,xFIP,K_pct,BB_pct,F5_ERA,avg_IP,starts,OOR_faced,wRC_faced,PALS_faced,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,split_value,pitcher_hand,pitcher_name,pitcher_team,split_dimension
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Low,R,Justin Verlander,DET,osi_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Mid,R,Justin Verlander,DET,abq_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Low,R,Justin Verlander,DET,rcv_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Low,R,Justin Verlander,DET,obr_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,R,R,Justin Verlander,DET,hand
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,away,R,Justin Verlander,DET,location
9,9.1,4.5,1.01,,22.2,11.1,10.8,2,1,100,120.6,62,453286,73,99.1,86.3,81.4,36,High,R,Max Scherzer,TOR,osi_tier
10.35,8.6,3.6,1.01,,12.9,10.8,8.28,4,5,26.1,97,36.1,453286,43,26.7,36.7,43.5,77.8,Low,R,Max Scherzer,TOR,osi_tier
9,9.1,4.5,1.01,,22.2,11.1,10.8,2,1,100,120.6,62,453286,73,99.1,86.3,81.4,36,High,R,Max Scherzer,TOR,abq_tier
13.5,10.89,5.14,1.01,,15.5,12.7,9.45,3.5,4,25.7,101,38,453286,39.3,29.1,38.2,47.7,78.8,Low,R,Max Scherzer,TOR,abq_tier
3,3.27,0,1.01,,4.5,4.5,3.6,6,1,27.7,80.9,28.7,453286,57.7,17.1,30.6,26.6,74,Mid,R,Max Scherzer,TOR,abq_tier
20.77,11.87,6.23,1.01,,20.8,12.5,12.6,2.17,2,72.8,116.4,53.9,453286,56.2,66.5,68.4,79.2,52,High,R,Max Scherzer,TOR,rcv_tier
7.64,7.85,3.06,1.01,,11.5,10.3,6.75,4.42,4,21.2,93.2,33.7,453286,43.9,24.9,33.2,35.1,80.2,Low,R,Max Scherzer,TOR,rcv_tier
9,9.1,4.5,1.01,,22.2,11.1,10.8,2,1,100,120.6,62,453286,73,99.1,86.3,81.4,36,High,R,Max Scherzer,TOR,obr_tier
10.35,8.6,3.6,1.01,,12.9,10.8,8.28,4,5,26.1,97,36.1,453286,43,26.7,36.7,43.5,77.8,Low,R,Max Scherzer,TOR,obr_tier
10.23,8.65,3.68,1.01,,13.7,10.8,8.7,3.67,6,38.4,100.9,40.4,453286,48,38.8,44.9,49.8,70.8,R,R,Max Scherzer,TOR,hand
3,3.27,0,1.01,,4.5,4.5,3.6,6,1,27.7,80.9,28.7,453286,57.7,17.1,30.6,26.6,74,away,R,Max Scherzer,TOR,location
12.94,10.66,5.06,1.01,,16.2,12.5,9.72,3.2,5,40.5,104.9,42.8,453286,46.1,43.1,47.8,54.4,70.2,home,R,Max Scherzer,TOR,location
6,6.66,2,0.85,,6.8,9.1,7.2,4.5,2,84.1,118.6,63.6,500779,44.7,70.4,65.2,74,81.5,High,R,Jose Quintana,COL,osi_tier
5.06,4.88,1.12,0.85,,12.4,9.5,4.63,4.57,7,40.3,95,40.2,500779,39.9,33.2,37.8,41.6,74.9,Low,R,Jose Quintana,COL,osi_tier
7.2,8.5,3.6,0.85,,4,4,9,5,1,100,120.6,62,500779,51.8,70.4,61.3,57.8,90,High,R,Jose Quintana,COL,abq_tier
3.63,4.89,1.04,0.85,,13,11,3.6,4.95,7,46.1,100.1,45.4,500779,37.1,40.8,43.3,50.7,80.6,Low,R,Jose Quintana,COL,abq_tier
40.5,3.1,0,0.85,,0,0,12.6,1.33,1,27.7,80.9,28.7,500779,57.7,17.1,30.6,26.6,33,Mid,R,Jose Quintana,COL,abq_tier
6,6.66,2,0.85,,6.8,9.1,7.2,4.5,2,84.1,118.6,63.6,500779,44.7,70.4,65.2,74,81.5,High,R,Jose Quintana,COL,rcv_tier
6,4.16,1,0.85,,14.3,6.5,5.4,4.5,4,39.5,89,34.2,500779,40.5,32.1,34.9,34,71.5,Low,R,Jose Quintana,COL,rcv_tier
3.86,5.81,1.29,0.85,,10,13.3,3.6,4.67,3,41.4,102.9,48.2,500779,39.1,34.7,41.7,51.7,79.3,Mid,R,Jose Quintana,COL,rcv_tier
6,6.66,2,0.85,,6.8,9.1,7.2,4.5,2,84.1,118.6,63.6,500779,44.7,70.4,65.2,74,81.5,High,R,Jose Quintana,COL,obr_tier
5.06,4.88,1.12,0.85,,12.4,9.5,4.63,4.57,7,40.3,95,40.2,500779,39.9,33.2,37.8,41.6,74.9,Low,R,Jose Quintana,COL,obr_tier
5.27,5.27,1.32,0.85,,11,9.4,5.2,4.56,9,50.1,100.2,45.4,500779,41,41.5,43.9,48.8,76.3,R,R,Jose Quintana,COL,hand
6.75,5.51,0.96,0.85,,11.6,15.1,5.76,3.73,5,43.9,98.7,44,500779,44.7,41.6,47.1,55,68.8,away,R,Jose Quintana,COL,location
4.03,5.07,1.61,0.85,,10.5,4.2,4.5,5.58,4,57.8,102.2,47.1,500779,36.3,41.3,39.9,41.1,85.8,home,R,Jose Quintana,COL,location
12.46,5.87,2.08,0.89,,20.8,12.5,10.8,4.33,1,75.9,106.2,58.7,518876,62.7,75.3,65.4,55.9,92,High,R,Merrill Kelly,ARI,osi_tier
3.35,4.41,1.18,0.89,,12.9,5.4,3.86,6.52,7,34,100.5,33,518876,40.7,33.1,42.1,53.6,90.9,Low,R,Merrill Kelly,ARI,osi_tier
7.85,7.85,2.95,0.89,,13.6,12.4,7.97,5.24,7,62.7,107.2,56.1,518876,58.1,60.1,60.7,63.1,93.9,Mid,R,Merrill Kelly,ARI,osi_tier
6.75,7.6,2.81,0.89,,13.2,11.8,6.6,5.33,3,58.2,111.1,48.8,518876,73.6,59.8,60.3,51.4,96.3,High,R,Merrill Kelly,ARI,abq_tier
5.07,5.7,1.94,0.89,,13.8,7.7,5.76,6.03,10,44.2,101.9,42.7,518876,42,41.8,48.5,60.7,90.8,Low,R,Merrill Kelly,ARI,abq_tier
7.84,4.75,0.87,0.89,,14,12,8.1,5.17,2,68,104.1,54.1,518876,56.8,65,59.7,55.8,94,Mid,R,Merrill Kelly,ARI,abq_tier
7.16,6.71,2.6,0.89,,15.7,9.4,7.92,5.53,5,57.3,104.5,54.9,518876,45.2,48,56.6,74.7,90.6,High,R,Merrill Kelly,ARI,rcv_tier
4.28,5.44,1.98,0.89,,14.4,5.4,4.95,6.83,4,29.4,98.9,28.3,518876,47.5,34,39.9,41.1,94.2,Low,R,Merrill Kelly,ARI,rcv_tier
5.68,5.69,1.42,0.89,,11.4,11.4,5.7,5.28,6,58.2,107,49,518876,56.4,58.6,57.1,55.8,92.5,Mid,R,Merrill Kelly,ARI,rcv_tier
6.86,6.35,1.83,0.89,,15.5,14.4,6.75,4.92,4,66.5,108.5,61.1,518876,61.1,70.9,63.8,57.6,93.5,High,R,Merrill Kelly,ARI,obr_tier
3.83,5.02,1.57,0.89,,12.7,5.6,4.27,6.46,8,35.4,102,32.4,518876,45.9,33.7,43.5,53.1,91.1,Low,R,Merrill Kelly,ARI,obr_tier
10.57,8.51,3.52,0.89,,14.3,11.7,10.8,5.11,3,67.8,103.3,59.3,518876,47.7,58.3,60.6,72.6,94,Mid,R,Merrill Kelly,ARI,obr_tier
5.71,5.94,1.97,0.89,,13.7,9,6.24,5.78,15,50.2,104,45.5,518876,50.3,48.5,52.3,58.2,92.3,R,R,Merrill Kelly,ARI,hand
4.67,5.66,1.5,0.89,,10.3,9.9,5.2,6,9,48.5,106.1,44,518876,52.8,49.2,51.9,54.4,93.1,away,R,Merrill Kelly,ARI,location
7.44,6.41,2.76,0.89,,18.7,7.7,7.8,5.44,6,52.7,100.9,47.7,518876,46.6,47.5,53,63.8,91.2,home,R,Merrill Kelly,ARI,location
1.38,2.25,0.69,0.62,,28.8,3.8,1.8,6.5,2,87.9,113.4,60.4,519242,66.2,85.1,74,67,101,High,R,Chris Sale,ATL,osi_tier
2.78,2.88,0.97,0.62,,29,6.3,2.62,5.88,11,29.1,96.6,37.3,519242,39.8,27.4,36.5,44.7,95.3,Low,R,Chris Sale,ATL,osi_tier
1.04,1.77,0,0.62,,26.8,7,1.2,5.78,3,62,103.1,61.3,519242,55.9,57.7,58.4,60.9,97.3,Mid,R,Chris Sale,ATL,osi_tier
1.42,2.15,0.71,0.62,,28,2,1.8,6.33,2,82.2,115.5,60.5,519242,69,82.3,72.9,64.9,101.5,High,R,Chris Sale,ATL,abq_tier
2.64,2.84,0.97,0.62,,29.4,6,2.45,5.88,11,33.6,97.5,38.3,519242,38.6,32,39.5,48.8,94.8,Low,R,Chris Sale,ATL,abq_tier
