ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
12.27,7.74,2.45,,7.05,5.3,FALSE,10.5,14.4,3.67,1,12.27,,28.4,85.1,29.2,0,434378,54.4,19.8,31.9,29.6,80,season,12.27,,R,Justin Verlander,DET,Fewer than 2 L14 starts (0) -- using season data.
10.23,8.78,3.68,,6.25,13.7,FALSE,10.8,8.7,3.67,6,3,12.94,41,100.4,45.6,0,453286,47.9,43,45.6,46.8,70.8,season,7.64,9,R,Max Scherzer,TOR,Fewer than 2 L14 starts (0) -- using season data.
5.27,5.35,1.32,,5.89,11,FALSE,9.4,5.2,4.56,9,6.75,4.03,47.4,100.7,45,0,500779,40.3,39,41.6,45.4,76.3,season,5.06,7.2,R,Jose Quintana,COL,Fewer than 2 L14 starts (0) -- using season data.
5.71,5.82,1.78,,5.36,13.1,FALSE,9.3,6.37,5.82,13,4.31,8.13,49.2,102.7,51.1,0,518876,45.9,45.9,49.7,56.7,92.3,season,3.35,12.46,R,Merrill Kelly,ARI,Fewer than 2 L14 starts (0) -- using season data.
2.14,2.71,0.64,,3.06,28.9,FALSE,6.1,2.44,6,14,3.16,1.09,44.7,100.2,51.9,0,519242,46.7,42.2,45.4,48.1,96.4,season,2.83,1.38,R,Chris Sale,ATL,Fewer than 2 L14 starts (0) -- using season data.
3.62,4.25,1.39,,4.41,21.3,FALSE,6.6,3.3,5.39,6,4.2,3.12,45.1,98.1,44.2,0,543037,52.1,36.7,44.6,48.3,82.7,season,5.03,,R,Gerrit Cole,NYY,Fewer than 2 L14 starts (0) -- using season data.
4.24,4.4,1.64,,3.39,23.7,FALSE,5.7,4.68,6.22,15,4.11,4.5,49,102.2,53.4,0,543135,40.5,45,48,56.7,91.9,season,4.17,0.6,R,Nathan Eovaldi,TEX,Fewer than 2 L14 starts (0) -- using season data.
2.95,3.81,1.06,,3.69,21.1,FALSE,6.4,3.34,5.45,14,3.29,2.61,44.7,99.3,51.7,0,543243,42.9,41,43.4,46.4,81,season,2.36,4.26,R,Sonny Gray,BOS,Fewer than 2 L14 starts (0) -- using season data.
7.2,4.8,1.56,,4.35,18,FALSE,7.2,7.09,4.69,16,6.21,8.2,49.8,100.5,47.7,0,547179,39.6,40.6,41.9,44.9,86.8,season,8.88,3,R,Michael Lorenzen,COL,Fewer than 2 L14 starts (0) -- using season data.
2.11,3.48,1.05,,3.27,26.6,FALSE,6.9,1.64,6.21,11,2.17,2.03,43.3,99.5,49.7,0,554430,45.9,38.9,44.3,49.4,95.5,season,1.65,6,R,Zack Wheeler,PHI,Fewer than 2 L14 starts (0) -- using season data.
5.02,2.35,0.63,,2.7,28.9,FALSE,8.3,5.1,4.78,6,5.19,4.95,40,92.9,48.5,0,571510,38.6,33.7,39.6,47,84.3,season,3.6,,R,Matthew Boyd,CHC,Fewer than 2 L14 starts (0) -- using season data.
4.73,4.56,1.11,,4.71,16.2,FALSE,7.9,4.24,4.62,14,3.92,5.96,53.6,105.9,54.7,0,571578,49.1,51.2,53.2,58.5,80.2,season,5.6,6.35,R,Patrick Corbin,TOR,Fewer than 2 L14 starts (0) -- using season data.
5.48,5.39,1.76,,4.55,19,FALSE,8.7,5.4,4.6,10,5.13,5.95,56.4,102.4,56.4,0,571927,43.8,53,54.2,62.8,78.3,season,6.11,3.6,R,Steven Matz,TBR,Fewer than 2 L14 starts (0) -- using season data.
8.28,5.31,2.52,,4.58,16.1,FALSE,8.5,8.1,4.17,6,5.84,10.66,67.2,103.8,51.1,0,571945,52.1,66.9,60.6,59.5,77.2,season,4.91,14.46,R,Miles Mikolas,WSN,Fewer than 2 L14 starts (0) -- using season data.
54,3.51,27,,3.13,0,FALSE,0,9,0.33,1,54,,62.5,96.7,70.4,0,572143,66.4,53.9,57.8,56.2,11,season,,,R,Burch Smith,DET,Fewer than 2 L14 starts (0) -- using season data.
5.81,3.68,0.87,,4.26,23.2,FALSE,9.9,6.17,4.43,7,7.2,3.27,59,101.5,60.9,0,579328,46.3,56.6,55.9,62,81,season,3.52,9.35,R,Yusei Kikuchi,LAA,Fewer than 2 L14 starts (0) -- using season data.
4.36,3.42,1.33,,3.62,23.6,FALSE,5.6,4.55,5.59,17,5.4,3.7,50.3,104.3,50.2,0,592332,52.2,49.1,51.5,53.7,92.2,season,3.96,6.28,R,Kevin Gausman,TOR,Fewer than 2 L14 starts (0) -- using season data.
3.98,4.79,1.55,,4.71,21,FALSE,11.7,4.68,5.42,15,5.35,2.93,54.8,101.2,53.5,0,592662,48.9,52.9,53,55.9,95.5,season,4.42,3,R,Robbie Ray,SFG,Fewer than 2 L14 starts (0) -- using season data.
5.19,6.31,2.66,,4.7,20.6,FALSE,8,5.26,5.21,13,6.21,4.19,51.6,102.6,50.6,0,592791,43.8,47.8,50,57,86.8,season,3.35,7.2,R,Jameson Taillon,CHC,Fewer than 2 L14 starts (0) -- using season data.
9.16,7.78,2.89,,5.5,17,FALSE,10.6,9,4.67,4,7.2,9.88,38.4,96.2,46.6,0,592836,43.4,36.3,39.3,39.8,90,season,8.36,,R,Taijuan Walker,PHI,Fewer than 2 L14 starts (0) -- using season data.
