team,pitcher_hand,games,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
ARI,L,22,341,299,81,127,33,3,72,8,21.11437,9.67742,0.2709,0.34615,0.42475,0.15385,0.3392,2.34604,2026-08-04,2026-09-03
ARI,R,28,705,632,148,252,59,5,128,22,18.15603,8.36879,0.23418,0.30243,0.39873,0.16456,0.30825,3.12057,2026-08-04,2026-09-03
ATH,L,22,347,318,81,136,25,3,84,14,24.20749,7.20461,0.25472,0.31503,0.42767,0.17296,0.32769,4.03458,2026-08-04,2026-09-03
ATH,R,27,700,626,156,248,58,10,142,18,20.28571,8.28571,0.2492,0.32092,0.39617,0.14696,0.31832,2.57143,2026-08-04,2026-09-03
ATL,L,24,260,239,60,103,18,0,53,10,20.38462,6.92308,0.25105,0.30116,0.43096,0.17992,0.31849,3.84615,2026-08-04,2026-09-03
ATL,R,28,756,694,171,263,53,4,190,18,25.13228,7.01058,0.2464,0.30239,0.37896,0.13256,0.30061,2.38095,2026-08-04,2026-09-03
BAL,L,25,339,308,79,141,28,2,89,16,26.25369,8.25959,0.25649,0.32153,0.45779,0.2013,0.33938,4.71976,2026-08-04,2026-09-03
BAL,R,28,718,643,142,251,60,11,168,25,23.39833,8.35655,0.22084,0.29749,0.39036,0.16952,0.30336,3.48189,2026-08-04,2026-09-03
BOS,L,25,243,218,53,88,21,3,49,6,20.16461,8.64198,0.24312,0.31687,0.40367,0.16055,0.31731,2.46914,2026-08-04,2026-09-03
BOS,R,29,911,786,221,360,91,13,161,26,17.67289,9.98902,0.28117,0.35951,0.45802,0.17684,0.35585,2.85401,2026-08-04,2026-09-03
CHC,L,22,298,268,74,146,27,1,59,18,19.79866,9.0604,0.27612,0.34343,0.54478,0.26866,0.38223,6.04027,2026-08-04,2026-09-03
CHC,R,27,780,690,184,340,73,10,156,40,20.0,9.35897,0.26667,0.34231,0.49275,0.22609,0.36159,5.12821,2026-08-04,2026-09-03
CHW,L,24,345,294,73,144,44,5,83,17,24.05797,12.75362,0.2483,0.35465,0.4898,0.2415,0.3676,4.92754,2026-08-04,2026-09-03
CHW,R,28,755,655,146,235,85,12,177,18,23.44371,11.25828,0.2229,0.32228,0.35878,0.13588,0.30697,2.38411,2026-08-04,2026-09-03
CIN,L,21,268,240,54,81,26,0,67,7,25.0,9.70149,0.225,0.29851,0.3375,0.1125,0.28335,2.61194,2026-08-04,2026-09-03
