team,opp_starter_hand,games,wins,win_pct,qs_against,qs_against_pct,wrc_plus,ops,woba,pitch_score_against,vs_sp_pa,sp_k9_faced,sp_bb9_faced,sp_whip_faced,sp_xfip_faced
ARI,R,10,3,0.3,5,0.5,96,0.72,0.308,41.3,225,5.7,2.5,1.1,4.31
ARI,L,10,7,0.7,4,0.4,98,0.721,0.313,43.5,204,7.3,2.3,1.19,3.85
ATH,R,10,3,0.3,2,0.2,99,0.719,0.317,41.4,239,7.7,3.0,1.27,4.59
ATH,L,10,4,0.4,3,0.3,97,0.701,0.31,43.4,198,8.3,2.5,1.25,4.03
ATL,R,10,6,0.6,3,0.3,95,0.695,0.303,43.1,207,8.3,2.5,1.21,3.78
ATL,L,10,6,0.6,7,0.7,97,0.718,0.31,42.8,217,6.9,1.9,1.16,4.12
BAL,R,10,5,0.5,2,0.2,99,0.738,0.318,43.3,213,7.6,2.7,1.13,4.38
BAL,L,10,7,0.7,2,0.2,100,0.747,0.321,42.6,185,11.4,3.0,1.2,4.43
BOS,R,10,6,0.6,2,0.2,103,0.745,0.33,41.7,225,7.5,4.0,1.25,4.42
BOS,L,10,7,0.7,3,0.3,98,0.718,0.313,42.8,206,8.7,3.1,1.11,4.27
CHC,R,10,3,0.3,2,0.2,100,0.744,0.32,42.3,240,7.6,3.1,1.11,4.15
CHC,L,10,7,0.7,2,0.2,113,0.852,0.362,42.6,174,7.7,4.0,1.37,4.02
CHW,R,10,5,0.5,3,0.3,94,0.673,0.301,42.4,230,6.7,4.3,1.24,3.98
CHW,L,10,3,0.3,2,0.2,123,0.937,0.393,42.6,195,9.8,4.2,1.53,4.04
CIN,R,10,3,0.3,2,0.2,99,0.719,0.316,41.6,186,8.2,3.4,1.27,4.44
CIN,L,10,5,0.5,1,0.1,93,0.686,0.299,42.2,216,9.5,2.3,1.15,4.3
CLE,R,10,9,0.9,1,0.1,116,0.862,0.37,40.9,230,5.1,3.6,1.62,4.88
CLE,L,10,4,0.4,2,0.2,103,0.746,0.329,42.5,164,6.6,4.4,1.29,4.18
COL,R,10,3,0.3,4,0.4,96,0.705,0.308,41.8,215,8.3,3.1,1.2,4.11
COL,L,10,2,0.2,3,0.3,98,0.72,0.315,43.5,215,8.2,2.9,1.21,3.83
DET,R,10,3,0.3,5,0.5,75,0.541,0.239,43.7,212,6.5,1.9,0.88,3.74
DET,L,10,4,0.4,1,0.1,91,0.659,0.292,43.1,191,7.7,4.1,1.14,3.77
HOU,R,10,5,0.5,6,0.6,79,0.566,0.254,42.5,236,7.5,3.4,1.0,4.52
HOU,L,10,5,0.5,3,0.3,98,0.725,0.312,42.2,215,8.7,2.4,1.23,4.23
KCR,R,10,9,0.9,1,0.1,112,0.827,0.359,40.3,187,6.6,4.4,1.49,4.55
KCR,L,10,4,0.4,5,0.5,85,0.621,0.273,43.4,221,7.8,2.6,1.02,3.58
LAA,R,10,4,0.4,3,0.3,108,0.791,0.347,42.0,191,8.4,2.9,1.37,4.26
LAA,L,10,2,0.2,7,0.7,63,0.442,0.203,43.0,232,7.9,2.2,0.77,4.08
LAD,R,10,7,0.7,1,0.1,113,0.841,0.362,41.6,206,7.3,4.5,1.54,4.29
LAD,L,10,4,0.4,4,0.4,96,0.715,0.308,42.6,245,7.6,1.7,1.09,4.02
MIA,R,10,5,0.5,4,0.4,88,0.63,0.28,42.7,213,9.0,2.7,1.02,3.75
MIA,L,10,5,0.5,3,0.3,91,0.635,0.29,42.5,220,6.8,4.4,1.19,3.9
MIL,R,10,6,0.6,3,0.3,110,0.808,0.352,43.0,222,8.6,4.2,1.57,3.99
MIL,L,10,7,0.7,4,0.4,100,0.734,0.319,42.3,214,6.1,2.9,1.32,3.71
MIN,R,10,3,0.3,3,0.3,109,0.823,0.348,42.8,197,4.2,2.6,1.15,4.38
