team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
ARI,CH,Changeup,530,488,100,175,24,3,98,16,18.49057,4.5283,0.20492,0.24144,0.35861,0.15369,0.2607,3.01887,2026-05-03,2026-08-31
ARI,CS,Slow Curve,1,1,0,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
ARI,CU,Curveball,186,171,41,58,11,3,52,2,27.95699,5.91398,0.23977,0.2957,0.33918,0.09942,0.28392,1.07527,2026-05-03,2026-08-31
ARI,EP,Eephus,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
ARI,FA,Fastball,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
ARI,FC,Cutter,301,265,79,119,28,3,37,7,12.29236,9.30233,0.29811,0.37037,0.44906,0.15094,0.36178,2.32558,2026-05-03,2026-08-31
ARI,FF,4-Seam Fastball,1215,1027,234,414,164,7,216,36,17.77778,13.49794,0.22785,0.33582,0.40312,0.17527,0.32928,2.96296,2026-05-03,2026-08-31
ARI,FS,Splitter,159,146,29,47,12,0,41,3,25.78616,7.54717,0.19863,0.25949,0.32192,0.12329,0.25726,1.88679,2026-05-03,2026-08-31
ARI,KC,Knuckle Curve,53,50,15,26,1,1,13,2,24.5283,1.88679,0.3,0.32075,0.52,0.22,0.36,3.77358,2026-05-03,2026-08-31
ARI,SI,Sinker,757,655,199,290,78,10,77,17,10.17173,10.30383,0.30382,0.38267,0.44275,0.13893,0.36465,2.24571,2026-05-03,2026-08-31
ARI,SL,Slider,545,500,121,204,32,6,120,17,22.01835,5.87156,0.242,0.29282,0.408,0.166,0.3064,3.11927,2026-05-03,2026-08-31
ARI,ST,Sweeper,300,264,49,73,22,10,90,4,30.0,7.33333,0.18561,0.27,0.27652,0.09091,0.2513,1.33333,2026-05-03,2026-08-31
ARI,SV,Slurve,12,12,4,4,0,0,3,0,25.0,0.0,0.33333,0.33333,0.33333,0.0,0.29667,0.0,2026-05-03,2026-08-31
ATH,CH,Changeup,471,437,97,130,27,2,105,7,22.29299,5.73248,0.22197,0.26866,0.29748,0.07551,0.25365,1.4862,2026-05-03,2026-08-31
ATH,CS,Slow Curve,2,1,0,0,0,1,1,0,50.0,0.0,0.0,0.5,0.0,0.0,0.36,0.0,2026-05-03,2026-08-31
ATH,CU,Curveball,153,143,34,53,5,4,55,2,35.94771,3.26797,0.23776,0.28289,0.37063,0.13287,0.28914,1.30719,2026-05-03,2026-08-31
ATH,EP,Eephus,17,15,5,9,1,1,0,1,0.0,5.88235,0.33333,0.41176,0.6,0.26667,0.43824,5.88235,2026-05-03,2026-08-31
ATH,FA,Fastball,3,1,1,2,1,0,0,0,0.0,33.33333,1.0,0.66667,2.0,1.0,0.65333,0.0,2026-05-03,2026-08-31
ATH,FC,Cutter,274,242,80,153,22,4,42,18,15.32847,8.0292,0.33058,0.38971,0.63223,0.30165,0.43467,6.56934,2026-05-03,2026-08-31
ATH,FF,4-Seam Fastball,1140,978,241,434,137,16,269,48,23.59649,12.01754,0.24642,0.34714,0.44376,0.19734,0.34989,4.21053,2026-05-03,2026-08-31
ATH,FS,Splitter,137,131,23,49,6,0,40,6,29.19708,4.37956,0.17557,0.21168,0.37405,0.19847,0.2546,4.37956,2026-05-03,2026-08-31
