abq,obr,oor,osi,rcv,pals,team,abq_l7,obr_l7,osi_l7,pp_gap,rcv_l7,abq_l14,abq_l30,abq_ytd,obr_l14,obr_l30,obr_ytd,osi_l14,osi_l30,osi_ytd,rcv_l14,rcv_l30,rcv_ytd,away_abq,away_obr,away_osi,away_rcv,away_slg,away_wrc,home_abq,home_obr,home_osi,home_rcv,home_slg,home_wrc,proj_osi,team_era,top_3_sp,away_woba,home_woba,abq_vs_lhp,abq_vs_rhp,obr_vs_lhp,obr_vs_rhp,osi_vs_lhp,osi_vs_rhp,rcv_vs_lhp,rcv_vs_rhp,team_k_pct,bullpen_era,closer_name,platoon_gap,team_bb_pct,top_batters,primary_setup,avg_ip_per_start,window_direction,home_away_osi_gap,platoon_sensitive,avg_pitching_score,record_placeholder,bullpen_osi_allowed,bullpen_high_lev_era,bullpen_ir_scored_pct
59.21,24.15,40.18,37.24,36.5,32,ARI,58.5,24.7,37,-2,35.6,57.4,57.2,59.21,21.6,21,24.15,34.7,34.3,37.24,33.5,33,36.5,,,,,,,,,,,,,35.27,4.65,"[{""name"": ""Michael Soroka"", ""pitch_score"": 51.7}, {""name"": ""Ryne Nelson"", ""pitch_score"": 46.6}, {""name"": ""Brandon Pfaadt"", ""pitch_score"": 46.1}]",,,61.55,59.21,22.25,24.15,48.44,37.24,69.01,36.5,15.9,3.23,Brandyn Garcia,-11.2,8.1,,Jonathan Loáisiga;Kevin Ginkel;Ryan Thompson;Taylor Clarke;Juan Morillo,5.47,stable,,TRUE,47.3,--,52,3.29,21.2
43.39,34.88,41.71,47.14,63.84,24.3,ATH,43.6,36.1,47.5,-8,63.3,43.8,43.7,43.39,36.4,36.2,34.88,47.7,47.8,47.14,63.3,64,63.84,,,,,,,,,,,,,39.14,6.39,"[{""name"": ""Jack Perkins"", ""pitch_score"": 51.1}, {""name"": ""Gage Jump"", ""pitch_score"": 50.8}, {""name"": ""Luis Medina"", ""pitch_score"": 50.7}]",,,29.88,43.39,18.16,34.88,37.97,47.14,66.4,63.84,22.2,4.52,Mason Barnett,9.2,9.8,,José Suarez;Luis Medina,4.89,stable,,TRUE,19.8,--,45.9,4.35,37.2
49.08,42.1,48.87,51.64,64.36,65,ATL,49.2,43.1,52.4,-7.6,65.3,48.1,47.5,49.08,43.1,42.7,42.1,51.8,51.2,51.64,64.4,63.6,64.36,,,,,,,,,,,,,44.05,7.06,"[{""name"": ""Chris Sale"", ""pitch_score"": 55.0}, {""name"": ""Didier Fuentes"", ""pitch_score"": 53.7}, {""name"": ""Spencer Strider"", ""pitch_score"": 50.3}]",,,43.23,49.08,32.96,42.1,42.49,51.64,52.85,64.36,22.7,2.55,Raisel Iglesias,9.1,13.6,,Tyler Kinley;Danny Young;Dylan Lee;Dylan Dodd;Didier Fuentes,5.23,stable,,TRUE,60.5,--,48.1,2.87,22.4
43.84,63.49,63.51,58.13,62.23,69.5,BAL,44.3,74.1,64.1,-1.8,66.9,44,43.8,43.84,73.8,73.5,63.49,64.8,64.8,58.13,69.3,69.8,62.23,,,,,,,,,,,,,56.36,4.77,"[{""name"": ""Zach Eflin"", ""pitch_score"": 58.2}, {""name"": ""Dean Kremer"", ""pitch_score"": 49.8}, {""name"": ""Kyle Bradish"", ""pitch_score"": 48.8}]",,,38.1,43.84,56.69,63.49,55.16,58.13,65.6,62.23,25.3,3.18,Anthony Nunez,3,8.5,,Grant Wolfram;Yennier Cano,5.32,stable,,FALSE,50.3,--,48,3.48,25.2
38.54,30.87,33.44,28.74,19.3,35.1,BOS,38.5,30.6,28.4,2.9,18.6,39.3,40.1,38.54,30.1,30.1,30.87,28.1,28,28.74,17.8,17,19.3,,,,,,,,,,,,,31.6,8.09,"[{""name"": ""Ranger Suarez"", ""pitch_score"": 52.8}, {""name"": ""Payton Tolle"", ""pitch_score"": 52.3}, {""name"": ""Garrett Crochet"", ""pitch_score"": 51.8}]",,,46.73,38.54,43.83,30.87,49.65,28.74,58.4,19.3,22.1,2.63,Garrett Whitlock,-20.9,7.7,,Tyron Guerrero;Jovani Morán;Greg Weissert;Justin Slaten,5.27,stable,,TRUE,74.1,--,46.4,2.61,29.9
62.68,75.86,81.27,66.26,57.84,58.1,CHC,62.7,75.7,65.9,-4.2,56.9,63.7,63.9,62.68,75.6,75.4,75.86,65.6,65.4,66.26,55.7,55.1,57.84,,,,,,,,,,,,,62.07,4.43,"[{""name"": ""Riley Martin"", ""pitch_score"": 56.0}, {""name"": ""Ben Brown"", ""pitch_score"": 51.7}, {""name"": ""Shota Imanaga"", ""pitch_score"": 50.3}]",,,61.06,62.68,74.54,75.86,70.21,66.26,71.81,57.84,20.9,3.96,Trent Thornton,-4,5.7,,Tyler Ferguson;Ryan Rolison,5.16,stable,,FALSE,46.7,--,47,3.88,31
31.04,50.32,61.06,56.6,82.04,66.9,CHW,32.2,52,57.8,-3.6,82.8,33.3,33.4,31.04,53.5,54,50.32,58.5,58.5,56.6,82.2,81.5,82.04,,,,,,,,,,,,,53.05,5.13,"[{""name"": ""Grant Taylor"", ""pitch_score"": 57.0}, {""name"": ""Sean Burke"", ""pitch_score"": 52.5}, {""name"": ""Sean Newcomb"", ""pitch_score"": 50.1}]",,,27.04,31.04,46.61,50.32,53.61,56.6,80.58,82.04,23.2,3.25,Grant Taylor,3,8.2,,Jordan Hicks,4.51,stable,,FALSE,53.9,--,47.7,2.83,34.5
36.19,44.71,47.63,37.85,31.2,44.4,CIN,37.7,47.1,39.3,3.1,31.5,38.9,39.1,36.19,48.3,48.7,44.71,40.2,40.4,37.85,32,31.9,31.2,,,,,,,,,,,,,40.97,7.61,"[{""name"": ""Hunter Greene"", ""pitch_score"": 54.6}, {""name"": ""Chase Burns"", ""pitch_score"": 52.5}, {""name"": ""Brady Singer"", ""pitch_score"": 47.5}]",,,46.62,36.19,61.46,44.71,58.33,37.85,63.11,31.2,19.6,3.48,Emilio Pagán,-20.5,11.9,,Pierce Johnson;Sam Moll;Tejay Antone;Brock Burke,5.13,stable,,TRUE,27.7,--,48.2,3.69,23.2
45.23,19.41,29.12,33.91,42.41,42,CLE,45.4,20.3,34.5,-5.4,43.1,46,46.5,45.23,21.5,21.9,19.41,34.9,35.1,33.91,42.4,42.1,42.41,,,,,,,,,,,,,28.47,4.04,"[{""name"": ""Gavin Williams"", ""pitch_score"": 55.0}, {""name"": ""Logan Allen"", ""pitch_score"": 51.6}, {""name"": ""Parker Messick"", ""pitch_score"": 51.3}]",,,48.42,45.23,31.76,19.41,36.85,33.91,34.42,42.41,22.3,3.02,Cade Smith,-2.9,9.3,,Matt Festa;Colin Holderman;Franco Aleman;Erik Sabrowski;Tim Herrin;Hunter Gaddis,5.53,stable,,FALSE,67.9,--,48.8,3.11,22.8
33.62,21.35,0,21.68,13.55,19.1,COL,34.6,23,22.7,-8,13.8,35.1,35.2,33.62,24.6,25.2,21.35,23.5,23.6,21.68,13.9,13.5,13.55,,,,,,,,,,,,,13.68,9.38,"[{""name"": ""Gabriel Hughes"", ""pitch_score"": 51.7}, {""name"": ""Chase Dollander"", ""pitch_score"": 50.2}, {""name"": ""Tanner Gordon"", ""pitch_score"": 48.9}]",,,22.47,33.62,12.61,21.35,10.76,21.68,0.29,13.55,17.7,4.83,Zach Agnos,10.9,10.1,,Brennan Bernardino,4.63,stable,,TRUE,16.2,--,51.4,4.89,30.8
