Slate_Date,Time,Away,Home,Away_SP,Away_Hand,Away_K%,Away_BB%,Away_HR9,Away_FIP,Away_PitchScore,Home_SP,Home_Hand,Home_K%,Home_BB%,Home_HR9,Home_FIP,Home_PitchScore,Away_OSI,Home_OSI,Lineup_Edge
2026-08-31,6:05 PM ET,SFG,ATL,Anthony Molina,R,0.0952381,0.04761905,1.8,5.513211345672607,44.8,Bryce Elder,R,0.2045929,0.07724426,1.42521994,4.476847709268982,60.5,40.3,53.3,ATL +13.0
2026-08-31,6:40 PM ET,NYM,TBR,Robert Stock,R,--,--,--,--,64.4,Ian Seymour,L,0.28104575,0.08823529,1.46606335,4.158460214403592,75.3,47.7,54.8,TBR +7.1
2026-08-31,6:40 PM ET,SDP,CIN,Michael King,R,0.21165049,0.09708738,0.93351064,4.1344879414444495,51.2,Brady Singer,R,0.1938326,0.07048458,1.82903226,5.2132113457403495,27.7,54.2,38.7,SDP +15.5
2026-08-31,6:45 PM ET,MIA,WSN,Ryan Gusto,R,0.20529801,0.07284768,0.79411765,3.5837995809667254,65.3,Will Dion,L,0.30769231,0.03846154,1.52830189,3.2830226663952846,36.7,51.1,69.3,WSN +18.2
2026-08-31,6:45 PM ET,SEA,BOS,George Kirby,R,0.2962963,0.10185185,0.71052632,3.3895271351826493,81.9,Payton Tolle,L,0.26478149,0.06940874,1.04210526,3.397421871988397,74.1,49.1,38.5,SEA +10.6
2026-08-31,7:40 PM ET,DET,MIN,Jackson Jobe,R,--,--,--,--,71.7,Taj Bradley,R,0.27579365,0.09722222,1.2679558,3.908791456147868,51.6,55.9,50.6,DET +5.3
2026-08-31,7:40 PM ET,MIL,CHC,Kyle Harrison,L,0.29618768,0.05865103,1.07569721,3.113211345672608,91.7,Clay Holmes,R,0.20930233,0.08372093,0.51265823,3.2271353962983085,46.7,68.4,73.5,CHC +5.1
2026-08-31,8:05 PM ET,ATH,TEX,Gage Jump,L,0.25468165,0.09363296,1.0,3.732258964720226,19.8,Jacob deGrom,R,0.29596413,0.05381166,1.30513595,3.2582264514171704,63.9,54.1,40.6,ATH +13.5
2026-08-31,8:10 PM ET,CHW,HOU,Anthony Kay,L,0.1862955,0.08779443,1.21543408,4.955655075516902,53.9,Peter Lambert,R,0.23310023,0.09090909,0.96116505,3.928745326255132,34.6,58.0,43.3,CHW +14.7
2026-08-31,8:40 PM ET,BAL,COL,Kyle Bradish,R,0.22754491,0.10379242,0.91525424,3.875923210079387,50.3,Tanner Gordon,R,0.20622568,0.05058366,2.01724138,4.975280311189849,16.2,56.7,31.1,BAL +25.6
2026-08-31,9:38 PM ET,NYY,LAA,Elmer Rodríguez,R,--,--,--,--,79.4,Walbert Ureña,R,--,--,--,--,48.7,67.5,27.5,NYY +40.0
2026-08-31,9:40 PM ET,PHI,ARI,Aaron Nola,R,0.23293173,0.07831325,2.05263158,5.095667486023485,70.6,Brandon Pfaadt,R,0.15909091,0.06818182,1.0,4.238211345672608,47.3,31.4,47.1,ARI +15.7
